Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
2,1,0,1,1,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,0,0,0,0
6,0,0,0,1,1,0,0,0,0,0
7,0,0,0,1,1,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0
10,1,0,1,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0
12,1,0,0,1,0,0,0,0,0,1
13,0,0,0,1,1,0,0,1,1,0
14,0,1,0,0,0,0,1,1,0,0
15,0,0,0,1,1,0,1,0,1,0
16,0,0,1,0,0,0,0,0,0,0
17,1,1,0,1,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,1,0,0
20,0,0,0,1,1,0,1,0,0,0
21,1,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0
25,1,0,1,0,0,0,0,0,0,0
26,0,1,1,0,0,0,0,0,0,0
27,0,0,0,1,1,0,0,0,0,0
28,0,0,0,0,1,0,0,1,0,1
29,0,1,0,0,0,0,0,0,0,0
30,0,1,1,0,0,0,0,0,0,0
31,0,1,1,0,0,0,0,0,0,0
32,0,1,0,0,0,0,1,0,0,0
33,0,0,1,0,0,0,0,0,0,0
34,1,0,1,0,1,0,0,0,0,1
35,0,0,0,1,0,1,1,0,0,0
36,0,1,0,1,0,0,0,0,0,0
37,0,1,1,0,0,0,1,0,1,1
38,0,1,0,1,0,0,0,0,0,0
39,1,1,1,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0
41,1,0,1,1,0,0,0,0,0,0
42,0,1,0,0,0,0,1,0,0,0
43,1,0,0,0,1,0,0,1,1,0
44,1,1,0,0,0,0,0,1,0,0
45,0,0,1,0,1,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0
47,0,0,0,1,0,0,0,0,0,0
48,1,0,0,0,0,0,0,1,0,0
49,0,1,0,0,0,0,0,0,0,0
50,0,0,1,1,0,0,0,0,0,0
51,0,0,0,1,0,0,0,0,0,0
52,0,1,0,0,0,0,0,0,0,0
53,0,1,0,0,0,1,0,0,1,0
54,1,0,0,1,0,0,0,0,0,0
55,1,0,1,0,1,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,1,0,1,0,0
58,0,0,1,0,0,0,0,0,0,0
59,0,0,1,0,0,0,0,0,0,0
60,0,1,0,1,0,0,0,0,0,0
61,0,0,0,1,0,0,0,0,0,0
62,0,0,1,1,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,0
65,1,1,1,0,0,0,0,0,0,0
66,0,1,0,1,0,0,0,0,0,0
67,0,1,1,1,0,0,0,0,0,0
68,0,0,1,0,0,0,0,0,1,1
69,1,0,1,0,0,0,0,0,0,0
70,1,1,0,1,1,1,0,0,0,0
71,0,0,0,1,0,0,0,0,0,0
72,0,0,0,1,0,0,0,1,0,0
73,1,0,0,0,0,0,0,0,0,0
74,0,1,0,0,0,0,0,0,1,0
75,0,0,0,1,1,0,0,0,0,0
