Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,1,0,1,1,0,1,1,0,0,1
1,0,1,1,1,0,1,0,0,1,1
2,0,0,1,0,1,0,0,1,0,0
3,0,0,1,0,0,1,0,1,1,0
4,1,1,1,0,1,0,0,1,1,1
5,0,1,1,0,1,0,1,0,0,1
6,1,1,1,1,0,1,1,0,1,1
7,0,1,0,1,0,1,1,0,0,1
8,0,1,1,1,0,1,0,0,1,1
9,1,1,1,0,0,1,0,1,0,0
10,0,1,1,1,1,0,0,0,1,1
11,1,0,1,1,1,0,0,1,1,1
12,0,1,1,1,1,0,0,1,1,0
13,0,1,1,1,1,0,1,1,1,0
14,0,1,1,1,1,0,0,0,1,1
15,0,1,0,1,1,1,0,1,1,1
16,1,1,0,1,1,0,1,0,1,0
17,0,1,1,0,1,0,1,0,1,0
18,1,0,1,0,1,1,1,1,0,0
19,0,0,1,1,0,0,1,1,0,1
20,1,1,0,1,0,0,0,0,0,0
21,1,1,1,1,0,0,1,1,0,0
22,1,0,1,1,0,0,0,1,1,0
23,0,0,1,0,1,0,1,1,1,0
24,0,0,0,0,1,1,1,1,1,1
25,1,0,1,1,0,0,0,1,0,1
26,0,1,1,0,0,0,0,0,1,0
27,1,0,0,1,1,0,0,1,1,0
28,1,0,1,1,1,1,0,0,0,1
29,0,0,1,1,0,1,1,0,1,0
30,0,0,0,1,1,0,1,1,0,0
31,1,1,0,1,0,1,0,0,0,0
32,1,1,0,1,0,1,0,0,1,0
33,1,1,0,0,0,0,1,0,0,0
34,0,0,0,1,1,0,0,1,0,0
35,1,1,1,1,0,0,1,1,1,0
36,0,1,1,1,1,1,1,1,1,1
37,1,0,0,0,1,0,1,0,0,0
38,1,0,1,1,1,0,0,1,0,1
39,1,1,0,1,0,0,1,1,1,1
40,1,1,1,0,1,0,0,0,1,0
41,0,0,1,1,1,0,0,0,0,0
42,0,1,1,1,1,0,0,0,1,1
43,1,1,1,1,1,1,0,0,1,1
44,0,0,0,1,1,0,0,0,1,0
45,0,1,0,1,1,0,0,0,1,0
46,0,1,1,1,1,0,1,1,1,1
47,1,1,1,1,1,0,0,1,1,0
48,0,1,1,0,1,0,0,1,1,1
49,1,0,0,1,1,1,1,1,0,0
50,0,0,1,1,1,1,1,0,0,1
51,0,1,0,0,0,1,1,0,0,1
52,1,1,1,0,0,0,1,0,0,0
53,0,1,1,0,1,1,0,0,1,1
54,0,1,0,0,1,0,1,1,1,0
55,1,1,1,1,0,0,1,1,0,1
56,1,1,0,0,0,1,1,0,0,1
57,1,0,0,1,0,1,1,0,0,1
58,0,0,1,1,0,0,1,1,1,1
59,1,1,1,1,1,0,1,1,1,1
60,0,1,0,1,1,1,0,0,0,1
61,0,1,1,0,1,0,0,0,1,1
62,0,0,0,1,1,0,0,1,0,1
63,1,1,0,1,0,0,1,0,1,1
64,0,1,1,0,1,1,1,0,0,1
65,1,1,0,1,1,0,1,0,0,1
66,1,1,1,1,1,0,1,1,0,1
67,1,0,1,1,1,0,1,1,1,0
68,0,0,1,0,1,0,1,0,0,0
69,0,1,0,1,1,0,0,1,0,0
70,1,0,0,0,1,1,0,1,0,1
71,1,1,1,1,1,1,1,1,0,1
72,0,0,1,0,1,0,0,1,0,1
73,1,0,1,1,1,1,0,0,0,1
74,0,1,0,0,1,1,1,0,0,0
75,1,1,0,0,1,1,1,0,0,1
76,1,1,1,0,1,1,0,0,0,1
77,0,1,0,0,1,0,1,1,0,1
78,1,0,1,1,0,1,0,0,0,1
79,0,1,0,0,1,0,1,0,1,0
80,1,0,1,0,1,0,0,1,1,0
81,0,0,1,0,1,1,0,1,0,0
82,0,0,1,1,0,0,0,0,1,1
83,1,1,0,1,1,0,0,1,0,1
84,0,0,1,1,0,0,0,1,0,1
85,1,1,1,0,1,1,0,1,0,1
86,1,1,1,0,1,0,1,0,1,0
87,0,0,0,1,1,0,0,1,0,1
88,0,0,0,1,1,0,1,0,1,1
89,1,1,1,0,0,0,1,0,0,0
90,0,0,1,1,1,1,0,1,1,1
91,1,0,1,1,0,1,0,0,0,0
92,1,1,1,0,0,0,0,0,1,1
93,0,0,1,1,1,1,0,1,0,0
94,1,1,1,1,1,0,0,1,0,0
95,0,1,0,1,1,0,1,0,1,1
96,0,1,1,1,1,1,0,0,0,1
97,1,1,1,1,1,0,1,1,0,1
98,0,1,0,0,1,1,0,0,1,1
99,0,1,0,1,1,1,0,1,0,1
100,0,0,1,1,0,1,1,0,0,1
101,0,1,1,1,0,0,1,0,0,1
102,0,0,1,0,0,0,1,0,1,0
103,0,0,1,1,1,1,0,1,0,1
104,0,1,1,1,0,0,1,1,0,0
105,0,1,0,1,1,0,1,0,0,1
106,0,0,1,1,0,0,0,0,1,1
107,0,1,0,1,1,0,0,1,1,1
108,1,1,1,1,1,0,1,0,0,1
109,0,1,1,1,0,1,1,0,0,1
110,0,0,1,1,0,0,0,0,0,0
111,0,1,1,1,1,0,1,1,1,0
112,0,1,0,1,0,1,1,0,0,0
113,0,0,1,1,0,1,0,1,1,0
114,0,1,1,1,1,1,0,1,0,0
115,1,1,0,1,0,0,0,0,1,1
116,1,1,0,1,0,0,1,1,1,0
117,0,0,1,1,0,1,0,0,1,0
118,1,1,1,0,1,1,0,0,1,1
119,1,1,0,0,1,0,1,0,1,1
120,0,0,1,1,0,0,0,0,1,0
121,1,0,0,0,1,0,1,1,1,1
122,1,1,1,0,1,1,1,0,0,1
123,0,1,1,1,1,1,0,0,0,0
124,0,1,1,1,0,0,1,1,1,1
125,0,1,0,0,1,1,0,0,1,1
126,1,0,0,1,0,1,0,0,0,1
127,1,1,1,1,0,1,0,0,0,1
128,0,1,1,0,1,0,0,0,1,1
129,1,0,0,1,1,0,1,1,0,1
130,1,1,1,1,0,1,1,0,0,1
131,0,1,1,0,1,1,1,0,0,0
132,0,0,0,0,1,1,1,0,1,1
133,0,0,0,1,1,1,1,1,1,0
134,0,0,0,1,1,0,1,1,1,1
135,0,0,1,1,1,1,1,0,1,0
136,0,1,0,0,0,0,0,0,1,1
137,0,1,0,0,1,0,1,1,1,1
138,1,1,0,1,0,1,0,0,1,0
139,1,0,1,1,1,0,0,1,1,0
140,1,1,1,1,0,0,1,1,1,1
141,0,1,1,1,1,0,1,0,1,0
142,1,1,0,1,0,0,0,1,0,0
143,0,0,1,1,1,0,1,0,0,0
144,1,1,1,1,1,1,1,0,1,1
145,0,1,1,0,0,0,0,1,1,0
146,1,1,1,0,1,0,1,1,1,1
147,1,1,1,0,1,0,1,0,0,1
148,1,0,1,1,1,1,0,0,1,1
149,0,1,1,0,1,0,1,0,0,1
150,1,1,1,1,1,0,1,1,0,1
151,0,1,1,1,1,0,0,0,0,1
152,0,1,0,1,1,0,0,1,1,0
153,0,1,1,0,0,0,1,1,1,0
154,0,1,1,1,1,1,0,1,1,0
155,0,0,1,1,1,0,0,0,1,0
156,0,1,0,1,0,0,1,1,0,0
157,0,0,1,1,0,1,0,1,1,0
158,0,1,1,0,1,0,0,1,0,1
159,1,1,1,1,1,1,1,1,1,0
160,0,0,1,1,0,0,0,0,1,1
161,0,0,0,1,1,1,0,0,0,0
162,0,0,1,0,0,0,0,1,0,1
163,0,1,0,0,1,0,0,1,1,1
164,0,0,1,1,1,1,1,1,0,0
165,1,1,0,1,1,0,0,1,0,1
166,0,0,1,0,1,1,1,0,1,0
167,0,0,1,1,1,0,1,1,1,1
168,0,1,0,0,1,1,0,1,1,1
169,0,0,1,0,1,0,1,1,0,1
170,0,1,1,0,0,1,1,0,0,0
171,1,1,1,1,1,0,1,1,0,1
172,1,0,1,1,1,1,1,1,0,0
173,1,0,1,0,1,0,1,1,0,0
174,0,0,1,0,1,0,1,1,1,1
175,1,1,1,0,0,0,0,1,0,1
176,0,1,1,1,1,0,0,0,0,0
177,0,0,1,1,1,0,1,1,0,0
178,0,1,1,1,1,1,0,1,0,1
179,1,0,0,0,1,0,1,1,1,0
180,0,0,1,1,1,1,1,0,0,0
181,1,1,1,0,1,1,0,0,1,1
182,0,0,1,0,1,1,0,1,0,1
183,0,0,1,0,1,0,0,1,0,0
184,1,0,1,0,0,0,0,0,1,1
185,0,1,0,0,1,0,0,0,1,1
186,1,0,1,1,1,0,1,0,0,0
187,0,1,1,1,0,0,0,1,0,1
188,0,1,0,0,1,0,0,1,0,1
189,0,1,0,1,1,1,1,1,1,1
190,0,1,1,1,1,1,1,0,1,0
191,0,1,0,0,1,0,1,0,0,1
192,1,0,0,1,1,1,0,1,1,1
193,0,0,0,1,1,0,0,1,1,1
194,0,0,0,0,1,1,1,0,1,1
195,1,1,1,1,0,1,1,0,1,0
196,1,0,0,1,1,0,1,1,0,0
197,0,1,1,1,0,0,1,1,1,1
198,0,1,0,1,1,1,0,1,0,0
199,0,1,0,0,1,0,1,0,1,0
