Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0
4,0,1,1,0,0,0,0,0,1,0
5,0,1,1,0,0,0,0,0,0,0
6,0,0,1,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0
13,1,1,1,1,1,0,0,0,0,0
14,1,1,0,0,0,1,0,0,1,0
15,0,1,1,1,1,0,0,0,1,0
16,1,0,0,0,0,0,0,1,1,0
17,0,1,0,1,0,1,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0
19,0,1,0,0,0,0,0,1,1,1
20,0,1,0,0,1,0,0,0,0,0
21,1,1,1,1,1,0,0,0,0,0
22,1,0,1,0,1,0,0,0,0,0
23,1,1,0,1,1,0,0,0,0,1
24,1,0,1,0,0,0,0,0,0,0
25,1,1,1,0,0,1,0,0,0,0
26,1,0,0,1,1,0,0,0,0,0
27,0,1,0,0,0,0,0,0,0,0
28,0,0,0,1,0,0,1,0,0,0
29,0,0,0,1,0,0,0,0,0,0
30,0,0,1,0,0,0,0,1,0,0
31,0,1,1,0,0,0,0,0,1,0
32,0,1,1,1,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0
34,0,0,0,0,1,0,0,0,0,0
35,0,1,0,0,1,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0
37,1,0,0,1,1,0,1,0,0,0
38,0,0,0,0,1,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0
40,1,1,0,1,1,0,1,0,0,0
41,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,1,0,0,0,0,0
43,0,1,1,1,0,0,0,0,0,0
44,1,1,0,1,0,0,0,0,0,0
45,0,0,0,1,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0
47,0,1,0,0,0,0,0,0,0,0
48,1,1,0,1,1,1,0,0,0,0
49,1,0,0,0,0,1,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0
51,0,0,0,0,1,0,0,0,0,0
52,0,0,1,0,1,0,0,0,0,0
53,0,0,0,1,1,0,0,0,0,0
54,0,1,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,0
56,0,0,1,0,0,0,0,0,0,0
57,0,1,0,0,0,0,0,0,0,0
58,0,0,0,0,1,0,1,0,1,0
59,1,1,0,0,0,0,0,0,0,0
60,0,1,0,0,0,1,0,1,1,0
61,0,0,1,0,1,0,0,0,0,1
62,1,0,0,0,1,1,0,0,0,1
63,0,1,0,0,0,0,0,0,0,0
64,0,0,0,1,0,0,1,0,1,0
65,1,0,0,0,1,0,0,0,0,0
66,1,0,1,0,0,0,0,0,0,0
67,0,0,1,0,1,0,0,0,0,0
68,0,0,0,1,0,0,0,0,0,0
69,1,0,0,1,1,0,0,0,0,0
70,1,0,0,0,1,0,0,0,1,0
71,1,0,0,0,0,0,0,0,1,0
72,0,1,0,1,0,0,0,0,0,0
73,1,1,1,0,1,0,0,0,0,0
74,0,0,0,1,0,0,0,0,0,0
75,1,1,0,0,0,0,0,0,0,0
76,0,0,1,0,0,0,0,0,0,0
77,0,1,0,0,0,0,0,0,0,0
78,0,0,1,0,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0
80,0,0,1,0,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,0
82,1,1,0,1,0,0,0,0,1,0
83,0,0,1,1,1,0,1,1,1,0
84,0,0,0,1,0,0,0,0,0,1
85,1,0,0,0,1,0,1,0,0,1
86,0,1,0,1,0,0,0,0,0,0
87,0,1,1,1,0,1,0,1,0,0
88,0,1,1,1,0,0,1,1,0,0
89,0,0,1,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0
93,0,0,0,0,1,0,0,0,0,0
94,0,0,0,0,1,0,0,0,0,0
95,0,1,0,0,0,0,0,0,0,0
96,0,0,0,1,0,0,0,0,0,0
97,0,1,0,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0
99,0,1,0,0,0,0,0,0,0,0
100,1,1,1,0,0,0,0,0,0,0
101,0,0,1,0,0,0,1,0,0,0
102,0,0,0,0,1,0,0,0,1,1
103,0,0,0,1,0,0,1,0,0,0
104,1,1,0,0,1,0,0,0,0,0
105,0,0,0,0,1,0,0,0,0,0
106,0,0,0,1,0,0,0,0,0,0
107,1,0,0,0,0,0,0,0,0,1
108,0,1,0,0,0,0,0,0,0,1
109,0,1,0,0,0,0,0,1,0,0
110,1,0,1,1,1,0,0,0,0,1
111,1,1,0,1,1,0,1,0,0,0
112,1,0,0,0,0,0,1,0,0,0
113,1,0,0,1,0,0,0,0,1,0
114,0,0,1,0,0,0,0,0,0,0
115,1,0,0,0,0,0,0,0,0,0
116,0,1,0,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0,0,0,0
118,0,0,1,0,0,0,0,0,0,0
119,0,0,1,0,0,0,0,0,0,0
120,0,1,0,0,1,0,0,0,0,0
121,0,0,1,0,1,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0
123,0,0,0,0,1,0,0,0,0,0
124,0,0,0,0,1,0,0,0,0,0
125,1,1,1,0,0,0,0,0,0,0
126,0,1,1,1,0,0,0,0,0,0
127,1,0,0,1,0,0,0,0,0,1
128,0,0,0,0,1,0,0,0,0,0
129,0,0,1,1,1,0,0,0,0,0
130,0,0,0,1,0,0,0,0,0,0
131,0,0,0,1,0,0,0,0,0,0
132,0,0,1,1,0,0,0,0,0,0
133,0,0,0,1,0,0,0,0,1,0
134,0,0,0,1,0,0,0,0,0,0
135,0,0,0,1,0,0,0,0,0,0
136,0,1,0,1,0,0,0,0,1,0
137,1,1,1,1,0,0,0,0,1,0
138,1,0,0,0,0,0,0,0,0,0
139,0,1,0,1,0,0,0,0,0,0
140,1,0,0,1,0,0,1,0,0,1
141,0,1,1,0,1,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0
144,1,0,0,0,1,1,1,0,0,1
145,1,0,0,0,0,0,0,0,1,0
146,0,0,1,0,1,0,0,0,0,0
147,1,0,0,0,0,1,0,0,0,0
148,0,0,1,0,0,0,0,0,0,0
149,1,1,0,1,1,0,0,0,0,0
150,0,0,0,0,1,0,0,0,0,0
151,0,1,0,0,0,1,0,0,0,0
152,0,0,0,0,1,0,0,0,0,0
153,0,0,0,0,1,0,0,0,0,0
154,1,0,0,0,0,1,0,0,0,0
155,1,0,0,0,0,0,0,0,0,0
156,0,1,1,0,0,0,0,0,0,0
157,0,1,0,0,0,1,1,1,1,0
158,0,0,0,1,0,0,0,0,0,0
159,1,0,0,1,1,0,1,0,1,0
160,1,0,0,0,1,0,0,0,1,1
161,1,0,1,1,0,0,0,0,1,0
162,1,0,0,0,0,0,0,0,1,0
163,1,0,0,1,0,0,0,0,0,0
164,0,0,1,0,0,0,0,0,0,0
165,0,1,0,1,1,0,0,0,0,0
166,0,0,0,0,1,0,0,0,0,0
167,0,0,0,1,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,0
169,0,1,1,0,0,0,0,1,1,0
170,0,0,0,0,1,0,0,0,0,0
171,0,0,1,0,1,0,0,0,0,0
172,0,0,1,0,0,0,0,0,0,0
173,1,1,0,1,0,0,0,0,0,0
174,0,0,1,1,0,0,0,0,0,0
175,0,1,0,1,0,0,0,0,0,1
176,0,1,0,0,0,1,0,0,0,0
177,0,0,1,0,0,0,0,0,0,0
178,0,1,0,1,0,0,0,0,0,0
179,1,1,0,1,0,0,0,0,0,0
180,0,0,0,1,0,0,1,0,0,0
181,0,0,0,1,0,0,0,0,0,0
182,0,0,0,0,1,0,0,0,0,0
183,1,1,0,0,0,0,0,0,0,0
184,0,1,0,0,0,0,0,0,1,0
185,1,1,0,0,0,0,0,0,0,0
186,1,0,0,0,0,0,0,0,0,0
187,1,1,0,0,0,1,1,0,1,0
188,0,0,1,0,1,0,0,0,0,0
189,0,1,1,0,1,0,0,0,0,0
190,0,1,0,0,0,0,0,0,0,0
