Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
141,0,0,0,1,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0
143,0,0,1,0,0,0,0,0,0,0
144,0,0,1,0,0,0,0,0,1,0
145,1,0,1,0,0,0,1,1,1,0
146,0,0,0,1,0,0,0,1,0,0
147,0,0,0,0,1,0,0,0,0,0
148,0,0,1,0,1,1,0,0,0,0
149,0,1,0,0,1,1,0,0,0,1
150,0,0,0,0,1,0,0,0,0,0
151,1,0,0,1,0,1,0,0,0,0
152,0,0,1,0,0,0,0,0,0,0
153,0,1,0,0,1,0,0,0,0,0
154,0,1,1,0,1,0,0,0,0,0
155,1,1,0,0,0,0,1,1,0,1
156,0,1,0,0,1,0,1,0,0,0
157,0,0,1,0,0,0,0,0,0,0
158,0,0,1,0,0,0,0,0,0,0
159,0,0,0,1,0,0,0,0,0,0
160,0,1,0,1,0,0,0,0,0,0
161,0,1,1,0,0,0,0,0,0,0
162,0,1,0,0,0,0,1,0,0,0
163,0,1,0,0,0,0,0,0,0,1
164,0,0,1,1,0,0,0,0,0,0
165,0,1,0,0,0,0,0,0,0,0
166,1,1,0,0,0,0,0,0,1,0
167,0,1,0,0,0,1,0,1,0,1
168,1,1,0,1,1,1,0,0,0,0
169,1,0,0,0,1,1,1,0,0,0
170,1,1,0,0,1,0,0,0,0,0
171,0,1,1,1,0,0,0,0,0,0
172,0,1,0,1,0,1,0,0,0,0
173,1,1,0,0,0,0,0,0,0,0
174,1,0,0,0,1,0,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0
176,1,0,0,0,0,0,0,0,0,0
177,0,0,0,1,0,0,0,0,0,0
178,0,0,0,0,1,0,0,0,0,0
179,1,1,0,0,1,0,0,0,0,0
180,0,0,1,0,0,0,0,0,0,0
181,0,1,0,1,0,0,0,0,0,0
182,0,0,0,1,0,0,0,0,0,0
183,1,0,0,0,0,1,0,0,0,0
184,0,0,0,1,0,0,0,0,0,0
185,0,1,0,0,0,0,1,0,0,0
186,1,0,1,0,0,0,0,0,0,0
187,0,1,0,1,0,0,0,0,0,0
188,1,0,0,1,0,0,0,0,0,0
189,1,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,0,1,0,0,1
191,1,0,0,0,0,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0,0
193,1,0,0,0,0,0,0,1,0,0
194,0,1,0,0,0,0,0,0,0,0
195,0,1,0,1,0,0,0,0,0,0
196,0,1,0,1,0,0,0,0,0,0
197,0,1,0,0,0,1,0,0,0,0
198,0,1,1,0,0,0,0,0,0,0
199,1,1,0,0,0,0,1,1,1,0
