Generation,Ave_Fitness,All_Mate
0,1.2930130831721949,51
1,1.8097830093163862,66
2,1.9819977731231384,76
3,2.0057509340794666,79
4,1.793643899980077,83
5,1.671179037804653,82
6,1.6086550690344135,79
7,2.1705011934972727,82
8,2.120661020530976,93
9,2.198722181219622,92
10,2.0935188166894587,93
11,2.1115167340743315,89
12,2.282276790949789,89
13,2.054354840788306,89
14,1.8916523697422507,91
15,2.367889348038204,88
16,2.0235838629590677,94
17,2.7195290122698257,95
18,2.0837681880135492,93
19,2.040719083554661,90
20,1.8794053921938036,86
21,2.172837372430778,85
22,2.249840370357835,93
23,2.497564542253305,96
24,2.025326166005155,89
25,2.2774060047361946,84
26,2.5963958742700424,94
27,2.1916093143335185,84
28,2.030128372414911,88
29,1.8595679453304788,87
30,2.063310820824022,90
31,2.019447719410714,81
32,2.160593546752595,77
33,2.132631522190634,77
34,2.4294164918014296,81
35,1.8990635383826409,93
36,1.9781056181702792,90
37,2.3777784832943736,92
38,1.718227356691441,83
39,2.0953798886531048,77
40,2.3469648311721487,88
41,2.457521932784624,89
42,2.380941085475837,95
43,2.0382310137161532,84
44,2.311386792606895,89
45,2.5785799479093208,94
46,2.073537683781049,86
47,1.9199031233894144,88
48,2.5260863434013223,85
49,2.258639642866511,91
50,2.264841287616298,87
51,1.8420993485128656,91
52,2.1766773293028328,96
53,2.3665969125424646,93
54,2.413211293293949,92
55,2.404529361441506,92
56,2.2332074453531368,90
57,1.7514636806288804,85
58,2.2270057280737015,92
59,2.2469676919103243,92
60,2.195782867263782,91
61,1.9712705561064907,84
62,1.9921267477547766,91
63,1.9778032692758005,96
64,2.098713349378766,91
65,2.7818530825631824,90
66,1.737793868046048,84
67,2.1593517296751226,81
68,2.5842853567068613,94
69,2.57936051841305,93
70,2.0283389472066014,92
71,2.3883024397536743,90
72,2.0267960301477292,87
73,2.684601714762418,87
74,2.461619344694198,95
75,2.0950128593509105,85
76,2.4504493297575407,90
77,1.8719371153422728,86
78,2.7003984538870274,87
79,2.4100733525684843,91
80,2.5894611814392072,96
81,1.7025975615941553,93
82,2.400877591466213,92
83,2.0796660664986457,89
84,2.424144029555492,84
85,2.4129300991154725,92
86,2.646429788253232,93
87,2.1714691889645614,87
88,2.422511207900047,88
89,2.860007942646775,93
90,2.0877209772558576,92
91,2.382818037381462,93
92,2.4530954987533296,93
93,2.2329552790108886,87
94,2.1797506357201395,90
95,1.9119640888788674,87
96,2.255074234570505,84
97,2.2751169485497407,81
98,2.1594763748603545,95
99,1.9508548203720784,89
100,2.247775990582613,87
101,2.164687342227107,84
102,2.231341841868418,88
103,2.18604557871209,86
104,1.9900204864917581,87
105,2.2945725798341514,83
106,2.3927715734796906,96
107,1.998321170613909,88
108,2.2466763528746276,94
109,2.3087468915590854,92
110,2.4400954857949637,95
111,2.3346989137738463,87
112,2.283547107090656,82
113,2.230233882744679,80
114,1.852741792506852,87
115,2.0494720618136015,84
116,2.3705673101183407,83
117,2.4251903774453663,92
118,2.428227877753921,93
119,2.584103382808493,92
120,2.191440484159417,85
121,2.215500635516695,85
122,2.104663758624801,93
123,2.210942183111031,88
124,2.3905780623932498,89
125,2.3088767920974003,92
126,1.9413830636822897,85
127,2.007902864040229,87
128,2.181911911832311,92
129,2.139971848396841,88
130,2.3210942326803687,90
131,2.2315118879756435,84
132,2.5685667578241707,89
133,2.240193307138604,93
134,1.923110599735938,88
135,2.3545220031034524,88
136,1.663777599540542,84
137,2.2537519961295067,89
138,2.0128994549854906,88
139,2.336030916774021,91
140,2.592646437479414,93
141,2.238678560748044,91
142,2.0632144829238794,84
143,1.7641590627907024,80
144,2.3296882694224066,87
145,1.8125157346794705,83
146,2.1968807901841036,85
147,1.928238537836613,81
148,1.9664184555951567,89
149,2.280516366499183,87
150,1.9314103707214114,87
151,2.246957440927502,87
152,2.3026905600009626,92
153,2.0338062270644612,89
154,2.2599820031195765,89
155,2.265536355421924,90
156,2.310406669827832,92
157,2.2974297116309668,95
158,2.9255261644981956,91
159,2.528627239478018,94
160,2.4653117989317455,95
161,2.6514865155843985,94
162,2.536086151489397,96
163,2.583267980913649,94
164,2.258438598341651,88
165,2.4265646736358364,93
166,2.459050633053174,93
167,1.8483848221299988,94
168,2.5081402417582606,95
169,2.4042730858959,89
170,1.97240232943087,89
171,2.366773348384311,86
172,2.2036083074556343,93
173,1.9653914365604102,93
174,2.8304099267127403,90
175,2.1150567227139483,90
176,2.2784541939983565,92
177,1.9330005597628108,90
178,1.87359192014573,83
179,2.100051824701325,87
180,2.154531212658093,85
181,2.069273201074422,88
182,2.3269149588380404,94
183,2.138947711999873,91
184,2.1589606493836335,89
185,2.517273973066444,96
186,2.394947665956479,90
187,1.9075119612627487,91
188,1.9866520742193154,89
189,2.134690631785398,93
190,2.3458793057147584,90
191,1.8787557799726284,86
192,1.753966490753793,77
193,2.3933134287336424,87
194,1.904198786740842,91
195,2.1085424471779888,90
196,2.1748990225173204,92
197,1.8560941270489733,89
198,1.9363567813277371,90
199,2.0930785736454287,90
