Generation,Ave_Fitness,All_Mate
0,1.3582590502389758,55
1,2.618646088117382,90
2,2.3451718623399573,88
3,2.075920781421494,92
4,2.315599309144013,92
5,2.713382082427685,94
6,2.4558779238137136,98
7,2.3841709915810174,91
8,2.2355054413271405,88
9,1.7185434763817462,88
10,2.3911303784881413,92
11,2.2764003702140574,86
12,1.9555839740727154,88
13,2.1602438400987647,92
14,2.368016299370518,90
15,1.8414891690135975,93
16,2.09183869706649,92
17,2.2144778751762715,90
18,2.1902003132707675,93
19,2.144145536050278,87
20,2.2664374045805986,92
21,2.2693475474129756,89
22,2.8216547394609552,96
23,1.865356623692466,86
24,2.174768897492638,91
25,2.1733322214005146,92
26,3.197646134510975,92
27,2.780875638454143,94
28,2.3802912859227443,91
29,1.8685539930602875,85
30,2.0703120545920255,89
31,2.2440666117185706,89
32,2.588289949184773,93
33,2.2325186165486275,91
34,2.012016217869096,89
35,2.271950619328673,92
36,2.7341692461293086,91
37,2.1325202104744436,85
38,2.5573797228557873,89
39,2.0023898035427767,90
40,1.8863735125686987,89
41,2.0751124242609826,88
42,2.2877026836286056,91
43,1.7044178446606155,89
44,1.8748164391752953,82
45,2.0348512337889475,90
46,2.6258656586224327,93
47,2.078464838288277,91
48,2.4699532284738877,91
49,1.8253722382753506,85
50,2.335774941365263,93
51,2.2142011386557616,89
52,2.2745228525741727,91
53,2.1571390561956356,89
54,2.5302747932682172,91
55,2.4180990931326276,87
56,2.3587394001713196,91
57,2.8951728481415655,89
58,2.029814435152052,93
59,2.356917194070438,90
60,2.1119107543989157,91
61,2.333252722456283,83
62,1.94863345919592,91
63,2.2761444512446305,90
64,2.3521472796924803,90
65,2.3650024378191565,90
66,2.1904124512341134,94
67,2.246026360587085,89
68,2.7566983679296504,96
69,2.062334802014041,88
70,2.142490574142304,87
71,1.5507345159957817,91
72,2.3607374313678466,92
73,2.3306197441697942,90
74,2.3077504675637415,95
75,2.4759143791763254,90
76,2.1348534937356605,94
77,1.7016340727735206,89
78,2.5117221472514686,90
79,2.1312009712666122,92
80,2.819787734539961,91
81,1.8660816726825615,90
82,2.4595752481237896,92
83,2.0410271446894703,89
84,2.290485083023472,93
85,2.6443543368279463,95
86,2.678913005478587,90
87,2.2158486169588407,90
88,1.878112074071864,87
89,2.1916610051068055,95
90,2.012059706727416,91
91,2.101293716716869,89
92,2.435982938192157,87
93,2.2334049032818877,95
94,2.0103932737498758,91
95,2.0985925633038915,90
96,2.4735210710470175,92
97,2.0881073114275206,91
98,2.562475778249117,91
99,2.19768448916409,93
100,3.165367927725717,93
101,2.0928817497819536,91
102,2.139297544754375,90
103,1.8683113482588098,88
104,2.405319671188847,90
105,2.356432876126761,90
106,1.8351728100428033,89
107,2.687128192421745,93
108,2.119650621319724,88
109,2.1649655805727654,89
110,2.191512037624082,88
111,2.1702898034591764,90
112,2.251501723202026,87
113,2.4422000553764374,93
114,2.256459857521711,93
115,1.9969625546732497,91
116,2.586321175688583,82
117,1.8388417261039656,88
118,1.8152501591955126,94
119,2.070696114347615,88
120,2.4477500241479233,92
121,1.9450329563799977,93
122,2.3950426952524775,89
123,2.3131795343053576,94
124,2.088474826250319,91
125,2.41832869195852,93
126,2.366355396212798,90
127,2.3580317866540157,88
128,3.09418285714982,95
129,2.057161087561221,87
130,2.3275420798684054,92
131,2.0279858239485544,91
132,1.7600655172134423,85
133,1.8970070234747682,91
134,2.229793054710061,92
135,2.1942509563142463,90
136,2.2815913244725663,94
137,2.5869134574226162,91
138,1.844758976504298,91
139,2.5802239146341144,89
140,2.5459611158673634,95
141,2.0734381182902495,88
142,2.4045189020735247,95
143,2.65708189450706,90
144,2.3541892291951507,91
145,2.187495101373879,91
146,2.3647010560579558,88
147,2.36135753486725,92
148,2.5237789986723453,91
149,2.1352735536898986,95
150,2.2971778877682887,94
151,2.167774055141453,93
152,2.531330136789731,94
153,2.1700721158144227,93
154,2.191981212301063,86
155,2.138410689167995,91
156,2.235513745981647,93
157,2.0401802650347105,89
158,2.3309755910809002,95
159,1.7290297513832646,87
160,2.4878344484022152,94
161,2.3191007499638108,92
162,1.5977214439512784,92
163,1.8232055528109643,84
164,2.6363157898843292,93
165,2.611683070917944,96
166,2.41725342670444,86
167,2.0791260769893585,87
168,2.328847887729376,89
169,2.1179190781367896,92
170,2.6997286781023098,87
171,2.635098414436442,89
172,2.153773759121059,92
173,2.1159386372753906,88
174,2.5599537082452146,92
175,2.184265736531404,95
176,1.9573414803763367,94
177,2.801290310531361,92
178,2.1335072561355743,92
179,2.3807221158341916,93
180,2.511370635957994,92
181,2.1093916579734637,93
182,2.5562748454594155,91
183,2.348081638662243,92
184,1.8531473781880166,90
185,2.556730186015146,91
186,2.1169416597406077,93
187,2.202308202093132,90
188,2.4788210171990164,93
189,2.612487602025807,90
190,2.3051961786525297,94
191,2.23088331111649,96
192,2.2109322007007144,86
193,2.415192796655046,94
194,2.5586886155462594,86
195,2.2695158526862214,85
196,1.9904196240137453,90
197,2.362770855870019,95
198,1.8805356930047838,90
199,2.216213080731225,96
