Generation,Ave_Fitness,Std_Fitness,Ave_Threshold,Std_Threhold
0,6.019356386254277,2.1235320806184146,5.0078388743601545,3.028227152104085
1,0.0,0.0,5.370734689238125,2.340357841786187
2,0.0,0.0,5.366477738369406,2.445147950050192
3,0.0,0.0,5.360347369502058,2.12179320789194
4,0.0,0.0,5.065660987426091,1.8830328520928943
5,0.0,0.0,4.861495685602231,2.078735365475752
6,0.0,0.0,5.545940662242189,1.9978431436153443
7,0.0,0.0,6.0082455086743485,1.798962593637722
8,0.0,0.0,6.1146874962356,1.8113961902919007
9,0.0,0.0,6.197462604728554,1.6315723664863744
10,0.0,0.0,6.421982351456463,1.5437197831149316
11,0.0,0.0,6.763623042677193,1.4020901289264767
12,0.0,0.0,6.76067548542643,1.4139473184870832
13,0.0,0.0,6.59756232153573,1.4841425441542209
14,0.0,0.0,6.3602388222659,1.6789851138746752
15,0.0,0.0,6.68277023542513,1.6641425255935676
16,0.0,0.0,6.430630933098123,1.8362851185586517
17,0.0,0.0,6.347005478117285,1.8603399604327788
18,0.0,0.0,6.536296175636769,1.77954740892633
19,0.0,0.0,6.660967132724641,1.6572049735214225
20,0.0,0.0,6.624738244302665,1.718994203974552
21,0.0,0.0,6.440788121677291,1.8811799378492873
22,0.0,0.0,6.619935561364222,1.8374948810643397
23,0.0,0.0,6.832006889808037,1.7300067325173674
24,0.0,0.0,6.826724647141354,1.7896304688169986
25,0.0,0.0,7.080439409804261,1.579099241899841
26,0.0,0.0,7.256101636059681,1.3001982324996368
27,0.0,0.0,7.109396446311117,1.4333781268071035
28,0.0,0.0,6.942732453430706,1.5140184490617483
29,0.0,0.0,6.96317780959007,1.5062695193899132
30,0.0,0.0,7.2357522146821065,1.199563587474086
31,0.0,0.0,7.274700227575697,1.0987304178323702
32,0.0,0.0,7.243447751076571,1.10677334286564
33,0.0,0.0,6.994030720157571,1.3188962653015444
34,0.0,0.0,7.109628473351213,1.2727138858494176
35,0.0,0.0,7.284290368539534,1.0863664317086374
36,0.0,0.0,7.519091321866515,0.4850123677638883
37,0.0,0.0,7.544771690362669,0.46500086020956605
38,0.0,0.0,7.627729247179945,0.5529440037550237
39,0.0,0.0,7.677886956961478,0.5118566022155336
40,0.0,0.0,7.52354261319535,0.7245511237931147
