Generation,Average Fitness,Stddev Fitness,Average Threshold,Stdev Threhold
0,3.2135966763053134,2.662734785249825,5.318372243413077,6.321565068987783
1,4.8778578414273985,1.1996636171760475,-0.12158977022397646,3.677802487116199
2,5.040503004230489,0.3183868384149418,-1.5108017772794669,3.2540701895172757
3,5.225185258103112,0.43881647705341537,-1.3512096513722625,4.037341783836551
4,5.261954840463399,0.6449223605838865,-0.8027197346890057,4.604269558979187
5,5.984145971211863,0.6156523273096147,4.342257049040901,3.0064639059558425
6,6.093529598888431,1.4289918780157076,5.841787683885398,0.14518776544590434
7,6.459163700767886,0.4044249526467653,5.857095620981244,0.20956882099171767
8,6.606387022702617,0.34188847949018886,5.986143734106716,0.16308547014336564
9,6.253374998676048,1.4529300250139061,6.075349510575878,0.1869131584487814
10,6.743447271559558,0.39390632536486075,6.146611367285383,0.19102961076707903
11,6.397640426067794,1.5444081599316972,6.180398021584081,0.18512629334734404
12,6.676179856625685,0.2387102367469556,6.252173855569571,0.1669771782087678
13,4.406073458174116,3.2412248359339615,6.33188391325597,0.21884088796915346
14,5.023269044255813,2.9080498232090037,6.365877019905918,0.21810917758454076
15,5.793567901703428,2.4404523834345033,6.454022573288154,0.115642520473855
16,5.780706719294935,2.4434625558588663,6.435728096241836,0.16088700050763652
17,4.877643873273046,3.210547731126547,6.510391742736405,0.16721071745194255
18,4.412456963192076,3.2422402993650508,6.500651575870622,0.10808307470887883
19,4.793544392791793,3.141352486395308,6.546845310721662,0.1764487297800116
20,3.4038381787627814,3.4108283258375107,6.512310077979033,0.18669436598034198
21,4.410145051531025,3.245097530041526,6.4510420410290745,0.15371734073624221
22,5.297240571012256,3.08280080019599,6.5282332511638375,0.14365277856107758
23,6.0165860114843195,2.5594450370984183,6.5317361031312995,0.24125717073072864
24,5.557701125742538,2.797246213924355,6.442329445832056,0.23264718657560932
25,5.484674921448897,2.7624214766483557,6.4504997274420885,0.22686259990737076
26,4.455425540028615,3.281243029406484,6.624274609436085,0.2580189129718721
27,5.573259645016753,2.806392146931,6.534062916084913,0.26694765077964355
28,4.482860665450089,3.3010570401186516,6.523831452489115,0.2327291159642292
29,4.149850183323452,3.3944889018830984,6.54192368705769,0.2354543464924241
30,6.649045932311127,1.5839762083106443,6.444009056197727,0.1195544452076116
31,5.585329107201521,2.806103979909918,6.466321447516412,0.1543593246907204
32,4.846681214906784,3.1918026554028387,6.5281038903032425,0.17115505313356874
33,5.535533637756652,2.781334682531969,6.4903530672846,0.15200460484706962
34,4.783708065564499,3.13730581919233,6.531821173797146,0.15329999970140545
35,5.223525930493499,3.030985260989491,6.5246856959315025,0.1926370871028534
36,4.785453096476076,3.1375800107558263,6.536393564225321,0.23198941715965402
37,3.780569280153484,3.4282363226056254,6.541356481121556,0.24111621732490862
38,6.11045252468807,2.0574984284696627,6.378576634700736,0.21513721437527483
39,3.7179691624956774,3.3699973794233,6.442169440851957,0.29684152702723876
40,5.132258959323282,2.9837976579389793,6.349259570139628,0.3517136521009236
41,6.062851792730949,2.0830230295120424,6.280001705788459,0.4390375957143237
42,3.664390778270454,3.3280947779193486,6.503598347077417,0.5420727544832858
43,5.230848086181336,2.634734499645568,6.123825526864483,0.4363299206676195
44,6.173485297380607,1.4420919842360598,6.028833708520518,0.17964057119527707
45,6.554312966015452,0.3123094092091043,6.0350906326171145,0.29565530086968417
46,5.639493196909115,2.3927985840982435,6.265951893343805,0.16514791284467187
47,6.030570151338033,2.0246336874375155,6.278420268310862,0.20503916667047986
48,4.986199319599268,2.893221243023224,6.2714652015691374,0.2623154084252697
49,3.9934394081033995,3.267022627514361,6.3790303233065675,0.32818922865650163
50,6.178057494602896,2.0932711772773898,6.416180962734989,0.3048596072652364
51,5.276744859978021,3.06428037704526,6.500382915470617,0.30478382008313193
52,5.099915131735822,2.957373952972383,6.473467927378688,0.23682351105826258
53,4.812838938660422,3.162108763551414,6.583350010900463,0.16954839938277322
54,4.921295335390253,3.2327145960736003,6.659059448408186,0.14008987307174134
55,3.892898947577945,3.5254977107443586,6.701664901460889,0.11603663584469079
56,3.8780727280957676,3.517875955488495,6.620043120528727,0.16254645402747625
57,2.818976535858158,3.458518657320433,6.621565805705231,0.1351388373960468
58,4.5060647071894495,3.314475740748467,6.578078174923791,0.11721341580492457
59,3.495450937191066,3.5031299544898955,6.576057073053159,0.12330336518708915
60,5.241302468941239,3.039031457688215,6.542452358469305,0.1197812587982811
61,5.167164909862994,2.999003085231433,6.4910209527087686,0.10262483527713503
62,4.830821804318318,3.1709400859084287,6.532915228401285,0.1325374043914332
63,4.8280585357065595,3.1721313838827614,6.540028318872463,0.14107079343561135
64,4.480551508760882,3.2961524017695143,6.5013618145683925,0.13379923835381388
65,4.782703526751701,3.1368226889392594,6.511099128435293,0.22628498388638285
66,4.508395398557234,3.31772574243567,6.489178542811757,0.19739391086512498
67,4.447975602569917,3.272193580059112,6.444426631501871,0.1794369124456196
68,4.823648362040225,3.1654400553054862,6.496575661626876,0.23821396051527047
69,4.973581410752766,2.8824126174598743,6.365190180901959,0.23357665614309175
70,4.668526508496095,3.0664896784492575,6.336761744685804,0.1575485132295229
71,6.207882578527203,2.0969674675881693,6.3622124483540095,0.18622778291809855
72,5.032090328514205,2.9130791433981265,6.287901084920758,0.1459179965627867
73,6.124165828897714,2.0560167899680546,6.321898554341188,0.14109167530725983
74,5.580866958850188,2.3545562933007735,6.2157108540673125,0.18693803067743536
75,5.754725096855834,2.447485976650909,6.271035060371666,0.22143783988372676
76,5.398471415773046,2.70752784156489,6.268261864765095,0.22664437342376828
77,4.728875370575832,3.1081962344988767,6.314486733965837,0.18445446263216558
78,5.392921396168417,2.714558077987966,6.243463394412113,0.22603263905805077
79,4.673831985872523,3.0623661204639774,6.289569213118144,0.2497370917496374
80,5.415229994486973,2.7182368057106125,6.314767022383177,0.17173247985371481
81,5.723201057347614,2.411108047459692,6.328698344010363,0.15101476453772256
82,5.545327473071844,2.784543553752507,6.369504900832302,0.17730682789847366
83,6.006027811028721,2.0114992164393923,6.285817809913053,0.12304821415704503
84,5.6163804426040445,2.3715713706396455,6.242111967462164,0.16109692041570764
85,6.4382164714967045,1.5103028463225403,6.2791925354301,0.1304219019143068
86,6.108548058446188,2.053334775087731,6.3092249593230445,0.19359318405954512
87,5.6935755016126395,2.4036550125622287,6.323805878596521,0.17696599271918093
88,5.706399691639081,2.418306079836687,6.3588970116404795,0.20836554504157767
89,6.250918121672303,2.123817445103002,6.4482127286091835,0.2259740364956098
90,5.260318024704373,3.050999103682209,6.567126804725317,0.14009108576368046
91,5.206283576641144,3.022473083165844,6.538249734614077,0.1435764720108609
92,5.739023612776462,2.9544857458981446,6.538292622987481,0.15496423419931304
93,4.080824759152863,3.335296260929378,6.592999517458149,0.17089211629806667
94,4.448584750731329,3.2665068683858784,6.54898658668972,0.15772449937528094
95,5.487408460903874,2.7605035060195338,6.4751822231020455,0.14438243802735196
96,5.130405884091057,2.976748485899441,6.433431824897417,0.15961584827810144
97,4.923257457198253,3.2553276799529476,6.475232950412173,0.14277563531124457
98,4.862937974828044,3.1948639165854904,6.5066396259524,0.12522672805228727
99,5.785625848952679,2.4383417722019805,6.47502997133796,0.1734695060144712
100,5.511591825021228,2.764833795392598,6.485019121387469,0.14577968010745665
101,6.211256839156997,2.086261347788665,6.456914133837809,0.16048630628881755
102,6.167374347401398,2.0729238989240972,6.526488556799984,0.15526370333488781
103,4.227294442020961,3.458704427470579,6.668551182976126,0.15554949888323144
104,3.565874368065989,3.5822367344943777,6.699714499720059,0.1659232589876587
105,4.239572543757657,3.4706359992520635,6.647640927442376,0.130034046822621
106,4.195456242259276,3.431582835244549,6.596218652247915,0.14108591094370168
107,4.880487439026849,3.2038075295023356,6.545431816740786,0.1436889668421837
108,4.447323560690649,3.27698459517212,6.519855143378909,0.1826621428922908
109,4.2515538964453565,3.481056949419441,6.565051241001429,0.15041418168683665
110,3.8381732551261956,3.478883065331848,6.616350379162794,0.176202706618383
111,5.296096870670345,3.0799201229568696,6.636682274998113,0.14225554972888135
112,4.868291468920816,3.191487246201071,6.600768622183496,0.16602836176728084
113,3.4940908086518205,3.502854136402157,6.63388679405477,0.2260559980688172
114,3.400832243760558,3.4076625560122378,6.5758654127254585,0.25130997515785297
115,4.826743442605713,3.1797214796276188,6.525854540010506,0.23216778759577014
116,4.4455482933702175,3.2678110154963855,6.531311513206733,0.20227089327843625
117,5.198310481562311,3.0245511969965637,6.412083522168471,0.2358231446452709
118,6.217299745675473,2.0848206813081416,6.408499535457207,0.18155974437155684
119,5.441049260264423,2.732028126251626,6.489203917626247,0.19600636531350593
120,4.683853030658564,3.4601923071896716,6.626409853131166,0.10100398547912114
121,5.631346504320764,2.8338059950495595,6.635992296032908,0.12423585147193945
122,5.007572600511501,3.2898508892872695,6.6031629853028875,0.1528587192542652
123,4.2472045784818,3.4744435369687037,6.633541594360193,0.129004935451738
124,5.37370651349231,3.11825879927403,6.649362491139134,0.14533755062199896
125,5.617677308092246,2.8347254273586713,6.587666958496472,0.17109148429731683
126,4.857827097826935,3.187998541003716,6.622554011840839,0.16400115354374367
127,4.298594579884449,3.5229987874291124,6.72665353187864,0.20994307601127252
128,2.807231421421421,3.44176375006855,6.79355925917056,0.2587911532814083
129,5.639677159767506,2.835744074860031,6.674428209687136,0.2539618963190309
130,4.257414532337387,3.484499225164738,6.684442750250424,0.266103403663157
131,4.900902907300038,3.21705991681815,6.654465321038252,0.14721388710247582
132,2.8526166238265858,3.496944805383737,6.666744079280626,0.13672822989222352
133,4.9004009302028795,3.2111316451322782,6.592248876028966,0.19400912818695815
134,4.55785212003018,3.348322727327533,6.589200997604145,0.1444499734320623
135,3.8479503159216044,3.4940605080817284,6.553354736314494,0.15164819123283815
136,4.180311332506771,3.4210734024364258,6.615674169913149,0.195726939298802
137,4.278429179218795,3.5066199948460666,6.748723805416056,0.17263670539847295
138,3.491707218975658,3.4941828486103295,6.74595230222743,0.15338795787884568
139,3.8776665851413945,3.5195236847930818,6.732824827971385,0.1469580402929687
140,5.6889979277058345,2.858946718921203,6.684917969572551,0.1433004114283211
141,3.9479085538520664,3.5811334284935508,6.775279692532526,0.14182549822949428
142,4.107384747759847,3.73456690366795,6.8070932782596385,0.16197871894978644
143,3.256308865170925,3.6069172630409567,6.796350877869559,0.22071497691980385
144,4.629085790421781,3.4011342713009203,6.73415585208957,0.184968769273403
145,4.216256796807945,3.455939571776627,6.5958728888803435,0.11357178763598293
146,5.322537496948161,3.0816905294076613,6.547641528019106,0.12907301194426654
147,4.818988305569878,3.1607300981958617,6.5688173416521725,0.12774035497953162
148,5.008111255531903,3.2861333534609782,6.593319110454237,0.1378285257314368
149,4.9141102958180305,3.227567331912364,6.612377584188285,0.2025279809822856
150,3.814399170535647,3.4575829787668653,6.655042420526135,0.2680807553658607
151,5.530173394458628,2.7790563263880865,6.570533161254393,0.228816220613024
152,4.245287530779423,3.476897066326688,6.595838492747161,0.23771450215890047
153,5.630791689697806,2.835604664909368,6.630783590784347,0.29296290728455116
154,3.219787613928765,3.5712742705247678,6.676257278641676,0.2319170871150622
155,3.7806274674138542,3.423397041083258,6.613616744985279,0.2758270109329985
156,3.475767898745599,3.4866232942035813,6.620399403914808,0.30010735699037994
157,4.323869982307494,3.542071975940333,6.634956604060217,0.28686647149902
158,3.791908806484252,3.442050659894321,6.629646645067373,0.30067403939034604
159,5.154207921418028,2.9847165140369163,6.551150406091388,0.2516339023035536
160,5.210506421286602,3.020697514523265,6.61165751042075,0.25715898354653205
161,4.805991796714513,3.156708091234679,6.54742470970498,0.14308417248537258
162,4.901245333926934,3.2466637366548974,6.485745733959613,0.14286293723373913
163,4.869412090010114,3.203554692667838,6.432702287588763,0.12453505333534011
164,6.278947301449217,2.118959575550958,6.431587326698727,0.14059925166488169
165,5.207272573265209,3.0197452457745975,6.499744159098631,0.1769669659902693
166,4.783196945769609,3.1397304027460424,6.472883670049863,0.18871464240187025
167,4.168261214767329,3.410779190792287,6.490082502515909,0.13102421514990972
