Mating_Steps,Fitness_Mating,Num_Look_Before_1_Mating
2,19.254563972727833,7
2,14.485200057652115,7
3,13.530959836509972,7
2,13.370296236632758,7
3,12.862487053898878,7
2,11.91191254912773,7
3,11.49973159341702,7
3,11.34350816067004,7
3,11.046795394000505,7
3,10.955882648017639,7
2,10.70996927608363,7
2,10.27633864450118,7
3,9.97800839853543,7
2,9.9391360291078,7
2,9.763616389688112,7
2,9.461821503324234,7
3,9.330295704626614,7
2,9.25201207957969,7
2,9.021615578685326,7
2,8.890551439729448,7
3,8.763748204758993,7
3,8.216266090783689,7
3,8.072426956622062,7
2,7.792921889190996,7
2,7.458487686671765,7
2,7.319903027765923,7
2,7.086758941063998,7
3,7.055400750867115,7
2,6.735882817908308,7
2,6.4908131576664765,7
2,6.490063527078872,7
3,6.446269847141647,7
3,6.347199331331115,7
2,6.166485348582761,7
3,6.151998392274966,7
3,6.073440735214266,7
3,5.953656589252217,7
2,5.637580979472247,7
3,5.580042494038452,7
3,5.471152932585156,7
2,5.419550325463881,7
3,5.31603365279949,7
2,5.250365169493383,7
3,5.018462549994973,7
3,4.940224612342698,7
2,4.8001686214188135,7
2,4.788951822626926,7
2,4.5684426940609795,7
2,4.496711969256286,7
3,4.445423770321232,7
2,4.401574597764404,7
3,4.308197628871346,7
2,4.234038566953594,7
3,4.212362626272615,7
2,4.154710878597064,7
2,4.126826623053933,7
2,4.118741765679706,7
3,4.030074161691899,7
3,3.9759970890425116,7
3,3.9693559111726104,7
3,3.91005524685231,7
2,3.8639771715755717,7
3,3.6833720714366187,7
3,3.47496687109179,7
2,3.365890084938936,7
3,3.2887147704695305,7
2,3.147137093518441,7
3,3.1452920780530933,7
2,3.106008236562678,7
3,2.9006531112003637,7
3,2.890342728870693,7
2,2.887519979681146,7
3,2.4041748133202745,7
3,2.1805578547740536,7
2,2.0354209508275654,7
2,1.8717196267428329,7
3,1.5830055710361037,7
3,1.4450579578099845,7
3,1.386496096764371,7
2,0.0,7
3,0.0,7
2,0.0,7
2,0.0,7
2,0.0,7
2,0.0,7
3,0.0,7
2,0.0,7
2,0.0,7
3,0.0,7
2,0.0,7
3,0.0,7
2,0.0,7
3,0.0,7
2,0.0,7
2,0.0,7
2,0.0,7
2,0.0,7
2,0.0,7
3,0.0,7
2,0.0,7
