Mating_Steps,Fitness_Mating,Num_Look_Before_1_Mating
2,14.882805086030807,15
2,13.654167665787583,15
2,12.754817901604756,15
3,11.790526285345662,15
3,11.619227755796333,15
2,9.547635862820316,10
2,9.454855732129914,10
1,9.291141315549101,19
2,9.007279299638183,10
2,8.725897926120524,15
2,8.531209651878456,10
2,7.825817138395593,10
2,7.715082852937037,15
2,7.308780315200142,15
2,7.173246958588482,10
3,7.025349978759637,14
2,7.016086519069978,15
2,6.961429450597343,15
1,6.864960060331748,19
2,6.66079543520862,10
2,6.2529093416952435,10
2,6.153927737214776,10
3,6.012013922485515,7
2,5.8125381432176795,15
2,5.679754288055442,10
3,5.351360775889852,7
2,5.277549357494529,15
2,5.236620402269631,10
3,4.9124253629818115,10
2,4.765327001765297,10
2,4.61496081570251,10
2,4.582368941519444,10
2,4.529326237277196,15
2,4.473034560585286,10
2,4.460914795321251,10
3,4.297803979909762,10
2,4.2762926355574855,15
2,4.275856024155104,15
2,4.136042907570217,10
2,4.126485089785371,15
1,4.073865531724255,19
2,3.990479146113529,10
3,3.9258136701363577,15
2,3.910670960016734,11
2,3.9087706861434155,10
2,3.435090003659427,15
2,3.3708840819556674,15
2,3.282668800865503,7
2,3.221999979540815,15
2,2.9865855281780638,10
2,2.652699620254979,7
2,2.5841506379895733,15
2,2.474442111592019,15
2,2.380639543799041,10
3,2.359843727329899,10
2,2.208905582664385,10
2,1.9331982749089196,15
1,1.8722160699096593,19
2,1.6937983985382656,15
2,1.58400145280664,10
2,1.185849206649488,10
2,1.150763752431243,15
2,0.9017234488606238,15
3,0.6697380131793378,10
3,0.40705474347878123,14
2,0.3571996305793754,15
3,0.19977930509510244,12
2,0.014097904608190603,7
2,0.0,15
3,0.0,6
2,0.0,10
2,0.0,15
2,0.0,15
2,0.0,16
2,0.0,10
2,0.0,10
1,0.0,19
1,0.0,19
2,0.0,10
2,0.0,10
2,0.0,10
2,0.0,15
2,0.0,15
2,0.0,10
2,0.0,15
2,0.0,15
1,0.0,19
2,0.0,10
2,0.0,10
2,0.0,15
2,0.0,10
2,-0.016046099758006083,10
4,-0.09570437652659791,12
3,-1.0274253192006553,10
2,-1.1083783842501518,15
2,-2.2507469778012315,10
3,-3.4413170479105695,10
3,-3.9296497666830437,14
4,-5.191816547824072,12
6,-7.3748316047758955,8
