Mating_Steps,Fitness_Mating,Num_Look_Before_1_Mating
4,10.70226177145035,5
3,9.995002314843994,5
4,8.297456010521483,8
4,8.240204483807917,5
3,7.4439676577903064,8
3,7.237908488448152,8
3,7.212692368412096,8
3,7.054786290076926,5
3,6.8457677822988465,5
3,6.174152656942383,5
3,5.646764694019922,8
3,5.6327232745589,5
4,5.26557668655531,8
3,5.258586637433883,8
3,4.993314979370636,5
4,4.951053764432794,5
3,4.727576454811476,8
3,4.708816183835282,5
4,4.53228522294717,8
3,4.452937711071474,8
4,4.230282913452735,5
4,4.065745037407465,8
3,4.050185274184381,8
3,3.721603741666895,5
5,3.661717496826168,0
3,3.472536657535681,5
4,3.4558596404792787,8
3,3.218563876247109,8
4,2.780123475579085,8
3,2.578016091029081,5
3,2.508761098455107,5
4,2.4146865901260313,5
4,2.354618390790727,5
3,2.267997372790145,5
3,2.162099679882477,8
3,2.1311136711425274,8
5,2.1075597977225122,6
3,2.0266033808427046,8
3,1.485532499345668,8
4,1.2118303434750057,5
4,1.2102451846378433,5
3,0.9723613748130457,5
3,0.9701409546324911,8
3,0.8491323650103837,5
3,0.7387892979080952,8
3,0.6732140660966319,8
3,0.6571231301286726,8
3,0.5713345359350601,5
3,0.12952695132872538,8
3,0.09101494991190595,5
3,0.0,5
5,0.0,4
2,0.0,8
2,0.0,9
3,0.0,5
3,0.0,5
3,0.0,8
3,0.0,8
4,0.0,5
2,0.0,9
4,0.0,8
3,0.0,5
4,0.0,8
3,0.0,8
3,0.0,8
4,-0.15207672556262253,8
4,-0.21868558416728412,7
3,-0.3195685814415148,8
3,-0.3457265787062944,5
3,-0.5582615033764267,8
3,-0.5672989843839646,5
4,-0.5710173908304474,4
3,-1.1052409980569244,8
4,-1.1384538644607733,8
4,-1.1944404412806549,5
5,-1.2396284947374596,6
3,-1.274789240528614,8
4,-1.303519946701642,5
2,-1.4700538913620305,9
5,-1.5054684712225317,5
3,-2.149146640204938,8
3,-2.3001615074471653,8
4,-2.5762153760723354,8
5,-2.8399237422646353,0
3,-2.8648754945871344,5
3,-2.964369631409272,8
3,-3.188774592870481,8
3,-3.4502395906192644,8
3,-3.628314436739992,5
3,-3.830190487777873,8
3,-3.87012738203571,5
4,-3.952984743271645,4
3,-4.14205301238487,5
3,-4.183160637858216,5
4,-5.247474549851487,5
3,-5.270470342971148,8
4,-5.981537890714431,8
5,-7.8812156597040826,5
5,-8.102587966240346,0
5,-8.62060292792048,0
