Generation,Ave_Fitness,Std_Fitness
0,6.064922807615121,1.6216694530275089
1,5.466420444247911,1.3603556021170018
2,5.595780635484627,1.4873767719260722
3,5.300383610754736,1.26344745968801
4,5.407040843962522,1.0119977784797072
5,5.332013594022105,1.0541569080391986
6,5.970825930461759,1.8928014359141112
7,5.462841298475036,1.1385036789140148
8,5.101392475909909,1.94172528795186
9,5.0355919176503,1.3000368579982753
10,4.791672951741691,1.4052324848300752
11,5.5780819230117435,1.5994586078283188
12,5.439179648883369,1.6571176800351382
13,5.2381240785853045,1.4305175454001964
14,5.360026049391263,1.0767677041262462
15,5.009895280293066,1.5855159108552876
16,5.037204066939989,1.3255965858862415
17,4.964942385203949,1.1842441674651287
18,5.336727596861425,1.2110429612043905
19,5.533463412487222,1.0311765100739472
20,5.1900670171350765,1.321987519477198
21,5.791931221873936,1.5832649584116407
22,5.826907913753039,1.4431025486052116
23,5.276033133548473,1.15311710109206
24,5.742378323382665,0.7788094157838976
25,5.615797599573629,1.49729186560433
26,5.607206158441642,1.3007989720479478
27,4.98615829895855,1.2256533268797687
28,5.116016882035234,1.3973292869421938
29,5.333663597165489,1.081920861568486
30,5.905818164432768,1.3615084593683604
31,5.695977819160685,1.2791686991362439
32,5.394685611019765,1.073481494662701
33,5.332392383946328,1.27528808410308
34,5.195740091453642,1.2249639591033576
35,5.301448205274459,1.299829143516042
36,5.267117904653622,1.216442986272338
37,5.311693073360919,1.114773759326323
38,4.87127832481915,0.9337095782333253
39,5.2488122981244825,1.0095888554827508
40,5.239632172028595,1.4147833057518346
41,5.136481736993626,1.0979764164592756
42,5.272862864904814,1.123460163948869
43,5.664771742986786,0.7874991655594833
44,5.488292644908461,1.162967777808805
45,5.127533054215454,1.4194135970992574
46,4.779903398766495,0.8000750608981471
47,5.441261858267443,1.2050654032306596
48,5.20429462818108,1.113845945289581
49,5.6446120047381125,0.9997023357338118
50,5.517401428813968,0.9569289509925067
51,5.298109620105828,0.9909542589712537
52,5.58194960557096,1.093269918013221
53,5.347832113617173,2.2459743133579346
54,5.189230503689819,1.6364771906680755
55,5.352692316351993,1.2046036341942432
56,5.434372416211039,1.1318224988212218
57,5.515246455489662,1.2575480529247596
58,5.164781735369042,1.098254741939101
59,5.208976868511559,0.8489822138341966
60,5.374610201732257,0.8307075709671877
61,5.246075580783526,1.048546873335222
62,5.538649727369725,1.1312644463997268
63,5.415800012293564,1.4579295655944682
64,5.792158336546722,1.097213263967443
65,4.547336522316381,1.2411007830970435
66,5.203122452328246,0.847578006953313
67,5.573320641928027,1.375895691168317
68,5.097237410485567,1.2274857332642721
69,5.237433786091604,1.0403076010050025
70,5.335053597977621,1.1215815737909354
71,5.589102543404843,1.0827196396842844
72,4.96482985065447,0.9721054372315785
73,4.727225054564928,1.3096548758026458
74,5.140649322556891,1.0962757867003299
75,5.166395057261465,1.060454664670552
76,5.386298553108235,1.2218931319693929
77,5.126559081009766,1.3350950110850932
78,5.227332299772337,1.203472857710457
79,5.179175707825504,0.7541187789633448
80,5.304029823478428,1.6203986212446104
81,4.755865446597417,1.2413952796870127
82,5.086037244761309,1.0717327389197109
83,5.299615806341387,1.4356373636481445
84,5.108014057742327,1.3880949654723271
85,5.406571294127495,1.1152800636500046
86,5.035687064385426,1.5864681721172098
87,5.478130176420637,1.1199694675317617
88,4.706736845204192,1.6639804378418332
89,5.248058701447018,1.016013361724369
90,5.164179601872318,0.8894532293088887
91,5.292294641315921,1.1504758486035176
92,5.341132419141741,0.964247248899578
93,5.590547773520119,1.1751009978962175
94,5.749448066265321,1.0883500937271486
95,5.642051319040655,1.7930501321674706
96,5.067139615359526,0.8259566604410311
97,5.790205616190132,1.3698376008109672
98,5.4040226517475975,1.2106428353793666
99,5.051531737458201,1.5190338516765003
