Generation,Average Fitness,Stddev Fitness,Average Threshold,Stdev Threhold
0,5.676091689463559,0.29966117499437056,4.959281878931099,0.260587792213909
1,5.651687360133757,0.26508709940327124,5.081416562669122,0.24362800591906744
2,5.64350885554562,0.20502587608171913,4.986116964906706,0.3625524895945366
3,5.657130616330567,0.33883640429717454,4.92270662773273,0.30525442653811313
4,5.6112292289516645,0.2145270119201541,4.896522775157669,0.20744645441662113
5,5.748696896737966,0.27454332401255616,4.903404600377979,0.2764914910477044
6,5.744341968374345,0.2700167727578364,5.102853508744362,0.2964038755470876
7,5.654183257067839,0.2747327088814604,4.999621117962376,0.24596759057345874
8,5.6903498823667045,0.2790579506716117,4.927325136277704,0.35816862364091967
9,5.73856020495114,0.3680356609556645,4.948656542376479,0.25547650227546104
10,5.578542226588686,0.22080545436254018,4.901610409512452,0.29648307724408046
11,5.587701827654194,0.2758396177880883,5.01151267152966,0.25027346439399695
12,5.784394121276206,0.3183536493025777,5.114691354078642,0.2779005321049684
13,5.627842544725124,0.36305218001626843,5.04574383572253,0.28433262712926316
14,5.673179587914675,0.32533989764106636,4.954073065518585,0.34210578244228396
15,5.701651230372844,0.32156171828738594,5.03007262647168,0.2287817758766495
16,5.7649764972514985,0.22119238494931745,5.022870086767166,0.3087699836769414
17,5.67855755579248,0.3180770559934348,4.965376196311633,0.24993829609686322
18,5.76072695735331,0.27502979283679285,5.075413803181538,0.3547528813770787
19,5.7665938360880515,0.36948109457103373,5.044183938747197,0.3829985218149168
20,5.620352744541849,0.2509045347890727,4.99540612186197,0.28440618635131404
21,5.749829907469929,0.32105031350669017,5.095856389690597,0.304503093312851
22,5.584468219479537,0.2910302573234087,5.017122316082878,0.2786034718120191
23,5.575458539164929,0.289795742702901,4.908549216621138,0.25212053397183615
24,5.678114929567225,0.23733762266201774,4.981238010419586,0.25146611197917695
25,5.733596792679327,0.3042088627234359,5.065899022803622,0.3294443683568702
26,5.665973022728906,0.2792612491250293,4.976665706350897,0.30980113828359945
27,5.741980875117615,0.26989308327109157,5.029289844109739,0.32470417043332195
28,5.745970315218656,0.25313955705167696,4.9741562864587845,0.3127840972374855
29,5.599816338530033,0.2874940995005376,4.848111046526172,0.3013912767821327
30,5.6650434445764315,0.3101321383733948,5.011766839103987,0.37793200348594647
31,5.815183532059621,0.3394101009695461,5.027908261330256,0.26967449562643625
32,5.700323405984665,0.2875866944983207,4.971671078052763,0.31201060579592493
33,5.6731761596732015,0.28797928920431326,5.047895291464865,0.3522721298100005
34,5.765952408968101,0.31992130668827096,4.946747028825831,0.2643486552914706
35,5.672494659172006,0.22639062661507034,5.060426591421522,0.23619543815351476
36,5.648566714554472,0.18849672685711358,5.087188217474138,0.2641496973780035
37,5.661585236448447,0.31180965483690126,4.991613663687149,0.31477918161447394
38,5.5689909198713465,0.2418432741444733,5.005897272273692,0.41072819448313735
39,5.72799229559566,0.33047980082072537,4.991513061679489,0.29430022626957303
40,5.6773466436036415,0.22934505639933606,5.017101924084221,0.30158207734158876
41,5.645364184769226,0.26194385827193584,4.98720180157435,0.3695455431979431
42,5.69867748761184,0.25146506330219526,5.067148476074611,0.31478390916187027
43,5.6398934827912255,0.36283235682842235,4.9632517223062225,0.33183637106774616
44,5.6506291931976875,0.1915969391655527,5.021549718172804,0.22448048764379042
45,5.549809830516566,0.20386911991528125,4.898372330851017,0.3148942876222424
46,5.592942127314041,0.2667855724420049,4.872182574645095,0.3360366472439558
47,5.662591408254507,0.3062644486568405,5.030441512147627,0.26426561021820744
48,5.692124116791294,0.24195297588338396,5.047113483139402,0.3363291023005047
49,5.715669495188304,0.33899019582409906,4.9680392404096745,0.329384267529734
