Generation,Average Fitness,Stddev Fitness,Average Threshold,Stdev Threhold
0,6.235726758086853,7.131431748055403,3.966521998651691,4.888852281800561
1,7.8451167063126,7.075904914621682,4.12333173535116,5.061739235313099
2,5.695552552281606,7.782850399072845,3.586062761760997,4.314865785450155
3,6.30172627911581,8.565824061550428,5.410916430481481,5.407881641983738
4,10.468871846465188,6.772523433674454,5.421863737277873,3.5229407344895862
5,10.564819304535922,8.47570753047053,3.844661280936576,4.105582185960238
6,10.830097861830984,8.263897164773965,4.569640771458101,4.216377314514829
7,7.396368313322225,6.646071291862207,6.253886437668102,5.094087358386934
8,7.486326018786196,7.690887157023118,5.141421036339702,4.012762904024185
9,9.806038163464468,8.557586256166571,5.257040117316758,4.350167063536109
10,10.186150641311995,7.386969165865649,4.767324930062619,4.749234679322974
11,8.178854191438262,7.217303167352916,5.579214802464174,4.065075190506528
12,7.673348548475012,7.320502616912413,5.712048655618452,4.231990352850721
13,8.614490727959588,5.781762222263804,4.7035966110856915,2.4636479274806944
14,5.133741003065728,6.60014514357079,4.3776217566653415,2.9153093811403625
15,8.578100208730465,6.988801833243226,5.376991925099182,3.141066271319264
16,10.314162461226424,5.708115835291058,6.130957045548219,3.7049063320337203
17,7.6692902626258475,7.617740224330211,5.489973685828012,4.738029075134498
18,6.953238633053959,8.025763881962858,3.6834187260381235,3.5845140110386917
19,7.520251215927457,5.807202519603636,5.456015330486089,4.328348392251974
20,6.294869991778394,6.5280177194830955,2.4714934085348106,4.635746967689074
21,7.569237061901143,8.413625689206,6.159521015194081,4.283625430048874
22,6.54119064532801,6.913597809543496,4.443811682489647,4.5663044494644405
23,7.9649384405989325,5.942265331884379,3.9872270627561974,3.1831194607898836
24,5.6854488807602435,8.983500452017818,4.813147576816865,5.182528916382282
25,9.831758042875238,8.189546045068418,4.68859417526652,4.845706654796786
26,9.100181439809747,9.624214219095578,4.438086849355658,4.045607980234299
27,7.693924094560178,8.892787048447609,4.624714857296632,3.9133845301020425
28,6.696618766288199,8.534137650293296,4.8532826268466,3.7697293663650258
29,11.124107513095188,7.61414208815225,6.896608546235697,4.825081974103153
30,10.700923418014188,7.110224987612682,6.633864774690535,3.6772201767808395
31,7.888376014714756,8.882301523301427,3.3930654089228036,4.7615099026642485
32,10.84944101064411,8.477558753746283,4.273329518811888,5.613256883092293
33,6.417979974111795,6.012117780818775,3.0904459425991897,3.9992672481893115
34,8.11366695082341,7.277309058682513,4.161188372234193,5.135447815626966
35,11.404001399972088,7.222479572379718,6.122911410935129,3.356530338596453
36,5.163695166867844,5.412091309417705,4.459970663176051,3.8862301441605624
37,10.754980481463638,8.02541100411923,5.539099698277078,4.829075066943892
38,10.575667184509248,5.496871496275685,4.581311702665785,3.031034292159861
39,9.486027928301104,5.830399172097894,3.494568982158858,3.8973456430287294
40,9.591760229862686,4.174631011481027,5.703501641282164,3.036313452693766
41,8.460548415494582,6.176704011450221,4.7026646689665075,4.268209635747537
42,7.952620652550552,6.1958679674280095,5.494183219680778,3.778663868919043
43,10.767916982360507,8.04968545997825,4.640519125974351,4.044091463157264
44,8.914874591905129,6.687786473727399,4.817165945398376,4.178898547264592
45,9.347218396160985,7.333828432769622,5.759749989521746,4.901322268154519
46,8.185468013247121,8.589032054998722,4.238562034246888,4.944647210118464
47,9.984497315316728,7.148049980818989,6.636922323114743,2.8625148927908253
48,7.381045237587675,7.989001493773197,3.318399518052272,4.914253588210966
49,8.568778975532371,7.620006498125446,5.527097897101841,4.232609744188332
50,8.220032500693684,6.919099706239354,4.733237969704788,3.586599666577483
51,6.372053282070094,9.661084325629808,3.935898704419146,4.326529757123552
52,9.604660151916418,8.487896376898592,5.8047193142655855,4.492755822907257
53,8.541699809182427,5.756142240269253,4.70389415059965,4.2447578054866835
54,9.027118032182539,7.113929949677174,3.267621761439963,4.321124159362316
55,7.703273153793151,7.959403315221321,4.285405919841187,5.52792090448411
56,9.628099452060972,8.431469191813827,5.252316790701609,5.040283639047736
57,11.208343924496287,6.727638400095473,6.493444312971017,3.33330220060498
58,7.359333694809107,9.944658725438247,2.5894620174026435,4.7847281955336305
59,11.102907582855519,7.853458103727114,4.04037933209651,4.489806273799471
60,10.568491811805025,8.384320387287062,6.595532533438726,4.457363567725685
61,11.24058305049103,9.681915221888588,3.6890639596290398,4.815589734694673
62,8.388790438953178,6.808870298311443,5.648572209247393,4.551383007918434
63,8.484129188507378,7.2404281411965945,5.207484979242443,4.673462444977284
64,10.549131467337567,6.5508531320222705,5.212012062768991,3.7252115630078997
65,8.177435278975342,4.748578174892718,4.962792426577582,4.003877475259787
66,8.865952932628543,8.968431160683007,5.003226758211051,3.529809947850177
67,6.981959397679932,6.976425760525358,3.1058500956714945,4.693693838114517
68,8.422149748076835,7.714028889029038,4.941510813058425,5.2376572400329975
69,10.462350574229335,6.948952420453986,5.064604925585127,3.4387580253192467
70,12.744191157418303,10.457925113528145,4.851810513623642,4.663120064808743
71,10.153443655272502,8.444218765711817,4.56740381467455,5.151204997016945
72,11.441677383593909,7.626419740097932,5.141497085372654,5.147616581012384
73,9.314857864423459,7.718184824765211,6.118837276807395,4.393350688101408
74,12.199577900518163,6.5079684480254345,6.137862150306622,5.1351619905141
75,11.150714401655382,9.892206650490133,6.493483430688563,3.9351869762050176
76,8.789233891562347,9.474589350737409,3.9649285485665446,5.103037009649366
77,10.51329704498978,7.505611145995819,5.645197918276764,4.319886877844493
78,9.915393006745514,8.199664286857331,3.9283214589773947,5.124377846461262
79,10.747032018565621,5.738621787655574,5.773388177120364,4.427042429662494
80,9.172166649481111,7.699373929225831,4.777771261849026,4.148818752945473
81,8.88580589946986,9.34178903007082,4.5019466766988785,3.255788864350657
82,7.164344395383994,9.700900654135769,4.521667724025976,3.9697026066439935
83,9.121215586273957,5.538879099150469,7.000197115654915,3.5184908831422135
84,7.158478043611813,5.077054313128692,3.5331663357431298,3.9488549375691693
85,6.1258290888399705,7.524445791405935,6.439425214100112,4.041696493124215
86,9.317284189544113,6.176777920304207,4.846468324491312,3.8779148725733488
87,8.969691097884828,8.892806025317448,5.207840509869323,3.901933317787929
