Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.45,0.5,0.45,0.35,0.45
1,0.3,0.5,0.4,0.3,0.4
2,0.15,0.6,0.5,0.3,0.55
3,0.25,0.5,0.3,0.45,0.65
4,0.35,0.7,0.3,0.6,0.85
5,0.45,0.55,0.6,0.75,0.6
6,0.2,0.35,0.75,0.8,0.7
7,0.3,0.4,0.65,0.55,0.6
8,0.45,0.45,0.6,0.4,0.5
9,0.3,0.4,0.55,0.35,0.3
10,0.35,0.3,0.55,0.3,0.15
11,0.2,0.45,0.75,0.3,0.35
12,0.35,0.5,0.6,0.45,0.45
13,0.3,0.55,0.6,0.2,0.2
14,0.35,0.5,0.45,0.25,0.2
15,0.65,0.6,0.4,0.35,0.25
16,0.45,0.5,0.15,0.4,0.2
17,0.75,0.15,0.2,0.55,0.35
18,0.65,0.25,0.35,0.4,0.35
19,0.65,0.25,0.4,0.35,0.45
20,0.55,0.35,0.4,0.6,0.4
21,0.45,0.5,0.55,0.6,0.45
22,0.65,0.65,0.4,0.6,0.4
23,0.75,0.65,0.45,0.55,0.45
24,0.4,0.45,0.45,0.6,0.25
25,0.5,0.5,0.5,0.6,0.2
26,0.55,0.45,0.4,0.4,0.25
27,0.6,0.45,0.3,0.6,0.45
28,0.55,0.25,0.35,0.55,0.3
29,0.5,0.15,0.5,0.6,0.35
30,0.35,0.35,0.6,0.25,0.5
31,0.25,0.3,0.35,0.4,0.35
32,0.4,0.25,0.35,0.55,0.25
33,0.6,0.4,0.25,0.5,0.4
34,0.75,0.2,0.0,0.3,0.2
35,0.55,0.05,0.3,0.35,0.2
36,0.55,0.1,0.35,0.3,0.35
37,0.65,0.4,0.3,0.45,0.5
38,0.5,0.5,0.4,0.45,0.55
39,0.55,0.55,0.4,0.35,0.55
40,0.55,0.2,0.55,0.35,0.6
41,0.35,0.2,0.35,0.5,0.5
42,0.3,0.3,0.45,0.4,0.55
43,0.4,0.1,0.55,0.55,0.35
44,0.65,0.3,0.6,0.7,0.55
45,0.25,0.35,0.65,0.7,0.45
46,0.25,0.4,0.65,0.4,0.4
47,0.3,0.5,0.55,0.3,0.45
48,0.5,0.5,0.55,0.45,0.4
49,0.5,0.65,0.75,0.35,0.45
50,0.35,0.55,0.65,0.65,0.2
51,0.4,0.5,0.3,0.65,0.4
52,0.6,0.6,0.1,0.7,0.4
53,0.45,0.7,0.25,0.6,0.35
54,0.5,0.65,0.25,0.45,0.45
55,0.4,0.5,0.3,0.5,0.45
56,0.25,0.7,0.6,0.5,0.5
57,0.2,0.6,0.45,0.25,0.45
58,0.35,0.55,0.55,0.5,0.55
59,0.4,0.45,0.3,0.2,0.55
60,0.5,0.45,0.55,0.25,0.4
61,0.55,0.4,0.7,0.5,0.3
62,0.45,0.45,0.45,0.45,0.3
63,0.4,0.4,0.55,0.45,0.3
64,0.35,0.35,0.7,0.35,0.25
65,0.35,0.4,0.75,0.25,0.25
66,0.65,0.35,0.45,0.3,0.45
67,0.8,0.65,0.7,0.5,0.3
68,0.8,0.4,0.5,0.35,0.3
69,0.55,0.3,0.5,0.2,0.5
70,0.55,0.5,0.6,0.25,0.35
71,0.5,0.45,0.65,0.2,0.45
72,0.4,0.4,0.6,0.3,0.35
73,0.55,0.5,0.35,0.45,0.2
74,0.4,0.3,0.55,0.65,0.2
75,0.6,0.4,0.65,0.6,0.35
76,0.75,0.6,0.7,0.5,0.45
77,0.85,0.5,0.6,0.25,0.45
78,0.8,0.35,0.4,0.2,0.45
79,0.8,0.4,0.4,0.25,0.45
80,0.6,0.5,0.55,0.2,0.5
81,0.7,0.5,0.5,0.25,0.65
82,0.55,0.55,0.35,0.3,0.55
83,0.7,0.5,0.25,0.5,0.6
84,0.65,0.2,0.45,0.65,0.8
85,0.35,0.3,0.2,0.3,0.8
86,0.35,0.45,0.1,0.5,0.65
87,0.35,0.55,0.45,0.75,0.7
88,0.5,0.55,0.35,0.7,0.6
89,0.4,0.55,0.25,0.45,0.4
90,0.35,0.55,0.1,0.5,0.65
91,0.55,0.45,0.35,0.6,0.6
92,0.5,0.45,0.25,0.6,0.55
93,0.5,0.6,0.25,0.4,0.5
94,0.2,0.7,0.4,0.55,0.3
95,0.3,0.55,0.5,0.55,0.35
96,0.3,0.45,0.45,0.5,0.4
97,0.35,0.4,0.5,0.4,0.25
98,0.15,0.5,0.65,0.45,0.3
99,0.25,0.45,0.8,0.5,0.5
