Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.4,0.45,0.65,0.4,0.4
1,0.25,0.7,0.55,0.25,0.15
2,0.55,0.75,0.55,0.3,0.2
3,0.45,0.7,0.45,0.55,0.3
4,0.5,0.65,0.7,0.45,0.15
5,0.45,0.75,0.55,0.3,0.15
6,0.35,0.45,0.5,0.25,0.15
7,0.55,0.45,0.4,0.35,0.45
8,0.5,0.6,0.55,0.55,0.5
9,0.45,0.6,0.55,0.3,0.5
10,0.65,0.85,0.6,0.35,0.55
11,0.7,0.7,0.65,0.3,0.45
12,0.5,0.45,0.5,0.35,0.65
13,0.6,0.25,0.55,0.5,0.5
14,0.55,0.35,0.4,0.45,0.4
15,0.55,0.45,0.25,0.45,0.15
16,0.6,0.65,0.5,0.3,0.45
17,0.65,0.65,0.55,0.6,0.5
18,0.45,0.65,0.7,0.6,0.55
19,0.5,0.75,0.75,0.25,0.6
20,0.45,0.45,0.6,0.25,0.45
21,0.4,0.5,0.6,0.2,0.4
22,0.4,0.35,0.3,0.45,0.3
23,0.55,0.3,0.5,0.45,0.45
24,0.25,0.45,0.5,0.5,0.4
25,0.35,0.3,0.5,0.7,0.55
26,0.35,0.35,0.75,0.7,0.4
27,0.2,0.15,0.55,0.7,0.45
28,0.2,0.35,0.4,0.6,0.45
29,0.3,0.45,0.2,0.5,0.4
30,0.3,0.5,0.3,0.3,0.35
31,0.25,0.55,0.1,0.2,0.4
32,0.3,0.5,0.2,0.35,0.5
33,0.3,0.4,0.7,0.4,0.45
34,0.5,0.35,0.5,0.6,0.3
35,0.65,0.3,0.45,0.55,0.3
36,0.6,0.45,0.35,0.7,0.3
37,0.5,0.2,0.15,0.65,0.45
38,0.5,0.35,0.25,0.55,0.5
39,0.6,0.25,0.45,0.3,0.45
40,0.6,0.4,0.45,0.5,0.1
41,0.55,0.35,0.6,0.35,0.3
42,0.6,0.3,0.6,0.55,0.5
43,0.75,0.45,0.7,0.55,0.65
44,0.65,0.55,0.5,0.5,0.65
45,0.8,0.4,0.6,0.4,0.65
46,0.3,0.1,0.5,0.4,0.85
47,0.5,0.35,0.4,0.3,0.6
48,0.65,0.45,0.35,0.5,0.65
49,0.6,0.5,0.45,0.55,0.75
50,0.3,0.25,0.55,0.45,0.6
51,0.5,0.35,0.5,0.55,0.7
52,0.65,0.45,0.3,0.7,0.6
53,0.75,0.4,0.35,0.55,0.55
54,0.65,0.35,0.4,0.2,0.6
55,0.85,0.3,0.45,0.1,0.45
56,0.8,0.2,0.25,0.2,0.4
57,0.6,0.25,0.35,0.15,0.45
58,0.55,0.25,0.55,0.2,0.35
59,0.65,0.3,0.75,0.3,0.4
60,0.6,0.25,0.5,0.2,0.65
61,0.8,0.2,0.35,0.15,0.55
62,0.6,0.3,0.55,0.35,0.7
63,0.65,0.2,0.4,0.3,0.6
64,0.55,0.2,0.3,0.35,0.6
65,0.65,0.1,0.4,0.3,0.65
66,0.3,0.25,0.6,0.55,0.8
67,0.4,0.35,0.7,0.2,0.75
68,0.5,0.55,0.55,0.5,0.75
69,0.25,0.6,0.65,0.35,0.45
70,0.4,0.7,0.6,0.25,0.7
71,0.6,0.6,0.45,0.15,0.65
72,0.7,0.5,0.45,0.4,0.45
73,0.65,0.45,0.15,0.2,0.35
74,0.4,0.55,0.25,0.45,0.3
75,0.45,0.6,0.3,0.55,0.2
76,0.45,0.55,0.3,0.55,0.3
77,0.6,0.45,0.25,0.5,0.6
78,0.6,0.5,0.35,0.5,0.7
79,0.9,0.55,0.4,0.55,0.7
80,0.65,0.3,0.5,0.5,0.6
81,0.6,0.45,0.55,0.65,0.75
82,0.7,0.5,0.6,0.45,0.45
83,0.6,0.3,0.55,0.25,0.7
84,0.7,0.45,0.6,0.3,0.55
85,0.55,0.45,0.45,0.2,0.5
86,0.7,0.35,0.3,0.15,0.55
87,0.65,0.15,0.35,0.35,0.35
88,0.5,0.4,0.3,0.45,0.6
89,0.6,0.5,0.4,0.4,0.5
90,0.45,0.55,0.35,0.25,0.6
91,0.4,0.3,0.4,0.5,0.35
92,0.5,0.5,0.45,0.85,0.2
93,0.4,0.55,0.45,0.85,0.35
94,0.2,0.4,0.6,0.5,0.35
95,0.35,0.25,0.55,0.45,0.3
96,0.5,0.45,0.25,0.15,0.25
97,0.45,0.65,0.35,0.25,0.3
98,0.6,0.65,0.35,0.4,0.55
99,0.7,0.5,0.3,0.55,0.55
