Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.55,0.45,0.75,0.7,0.4,0.55,0.5,0.4,0.65,0.5,0.55,0.3,0.5,0.65,0.55,0.6,0.2,0.5,0.35,0.65
1,0.35,0.6,0.45,1.0,0.5,0.35,0.65,0.3,0.6,0.65,0.6,0.25,0.9,0.7,0.35,0.15,0.1,0.4,0.25,0.55
2,0.45,0.1,0.6,0.9,1.0,0.6,0.35,0.7,0.9,0.6,0.65,0.3,0.65,0.9,0.35,0.2,0.05,0.1,0.2,0.3
3,0.35,0.15,0.6,0.9,0.9,0.6,0.5,0.65,0.8,0.6,0.75,0.15,0.65,0.95,0.35,0.1,0.1,0.25,0.55,0.35
4,0.25,0.1,0.7,1.0,0.8,0.55,0.9,0.5,0.75,0.6,0.85,0.2,0.65,0.85,0.45,0.3,0.05,0.15,0.5,0.45
5,0.2,0.3,0.5,0.9,0.75,0.2,1.0,0.7,0.55,0.5,0.55,0.3,0.65,0.75,0.6,0.0,0.1,0.1,0.7,0.3
6,0.1,0.4,0.5,0.65,0.6,0.15,0.95,0.7,0.6,0.5,0.65,0.4,0.6,0.7,0.7,0.0,0.0,0.1,0.85,0.35
7,0.4,0.65,0.45,0.6,0.5,0.1,1.0,0.45,0.5,0.2,0.55,0.1,0.75,0.85,0.55,0.1,0.05,0.2,0.6,0.45
8,0.55,0.85,0.5,0.85,0.75,0.0,1.0,0.5,0.7,0.5,0.6,0.2,0.85,0.75,0.7,0.3,0.2,0.05,0.75,0.75
9,0.6,0.65,0.35,0.8,0.75,0.15,0.95,0.35,0.75,0.6,0.65,0.3,0.95,0.6,0.5,0.3,0.2,0.0,0.8,0.55
10,0.35,0.45,0.3,0.45,0.9,0.3,1.0,0.0,0.85,0.65,0.35,0.05,0.8,0.45,0.3,0.25,0.15,0.05,0.9,0.5
11,0.25,0.35,0.2,0.4,0.8,0.25,0.95,0.0,0.8,0.65,0.15,0.1,0.7,0.35,0.25,0.25,0.2,0.15,0.8,0.45
12,0.25,0.2,0.3,0.45,0.75,0.25,0.75,0.0,0.85,0.65,0.15,0.1,0.5,0.3,0.3,0.35,0.45,0.25,0.85,0.35
13,0.35,0.2,0.2,0.4,0.75,0.15,0.8,0.0,0.85,0.65,0.1,0.05,0.4,0.15,0.2,0.75,0.5,0.55,0.9,0.15
