Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.55,0.65,0.6,0.6,0.25,0.55,0.65,0.45,0.7,0.55,0.3,0.65,0.45,0.65,0.5,0.65,0.5,0.3,0.55,0.35
1,0.45,0.3,0.65,0.35,0.15,0.5,0.7,0.7,0.85,0.4,0.4,0.75,0.5,0.4,0.5,0.5,0.8,0.45,0.5,0.45
2,0.65,0.4,0.75,0.45,0.2,0.6,0.8,0.6,0.7,0.25,0.35,0.85,0.4,0.55,0.7,0.5,0.85,0.55,0.4,0.7
3,0.55,0.55,0.7,0.75,0.3,0.8,0.5,0.85,0.6,0.3,0.55,0.45,0.5,0.75,0.7,0.5,0.8,0.5,0.35,0.7
4,0.5,0.7,0.7,0.8,0.35,0.95,0.55,0.95,0.35,0.25,0.55,0.4,0.4,0.75,0.9,0.35,0.7,0.4,0.35,0.7
5,0.6,0.7,0.7,0.8,0.3,0.85,0.75,0.95,0.25,0.3,0.65,0.55,0.35,0.7,0.8,0.25,0.8,0.55,0.2,0.7
6,0.3,0.7,0.7,0.75,0.35,0.65,0.65,0.75,0.3,0.45,0.75,0.45,0.4,0.55,0.85,0.5,0.9,0.65,0.55,0.65
7,0.6,0.6,0.75,0.75,0.45,0.85,0.8,0.7,0.3,0.35,0.85,0.4,0.3,0.7,0.65,0.55,0.75,0.5,0.15,0.75
8,0.75,0.65,0.75,0.9,0.5,0.7,0.8,0.7,0.25,0.25,0.75,0.45,0.25,0.75,0.8,0.7,0.7,0.4,0.15,0.55
9,0.75,0.75,0.55,0.9,0.35,0.8,0.85,0.65,0.25,0.4,0.7,0.5,0.25,0.85,0.7,0.85,0.75,0.15,0.05,0.6
10,0.9,0.75,0.5,1.0,0.25,0.9,1.0,0.6,0.25,0.25,0.75,0.6,0.2,0.95,0.7,0.9,0.8,0.2,0.05,0.75
11,0.65,0.6,0.5,1.0,0.5,0.8,1.0,0.45,0.35,0.45,0.5,0.75,0.45,1.0,0.55,0.75,0.8,0.2,0.0,0.45
12,0.65,0.45,0.55,0.9,0.65,0.75,1.0,0.8,0.35,0.6,0.4,0.75,0.25,1.0,0.35,0.75,0.55,0.4,0.05,0.4
13,0.5,0.45,0.6,0.9,0.9,0.9,0.95,0.75,0.1,0.85,0.6,0.95,0.15,1.0,0.2,0.85,0.65,0.75,0.0,0.5
14,0.55,0.3,0.45,0.95,0.85,0.75,0.95,0.8,0.45,0.8,0.5,0.8,0.35,1.0,0.4,0.75,0.45,0.35,0.05,0.35
15,0.35,0.35,0.25,0.9,0.85,0.5,1.0,0.75,0.55,0.65,0.7,0.8,0.25,0.95,0.5,0.8,0.4,0.25,0.05,0.45
16,0.5,0.45,0.15,0.75,0.8,0.45,0.95,0.9,0.45,0.55,0.7,0.8,0.0,0.85,0.6,0.8,0.4,0.3,0.15,0.45
17,0.75,0.65,0.1,0.75,0.75,0.55,0.9,0.9,0.4,0.2,0.7,0.55,0.0,0.9,0.3,0.55,0.6,0.45,0.3,0.7
18,0.9,0.4,0.3,0.8,0.7,0.45,0.95,0.65,0.35,0.25,0.55,0.55,0.15,0.95,0.45,0.6,0.4,0.0,0.25,0.45
19,1.0,0.5,0.45,0.45,0.55,0.5,0.9,0.85,0.15,0.45,0.85,0.5,0.05,0.85,0.45,0.35,0.45,0.0,0.1,0.6
20,0.95,0.45,0.7,0.6,0.45,0.6,0.95,0.9,0.05,0.55,0.85,0.5,0.15,0.9,0.4,0.5,0.5,0.0,0.3,0.65
21,0.85,0.35,1.0,0.7,0.5,0.6,0.95,0.85,0.1,0.7,0.95,0.75,0.1,1.0,0.25,0.6,0.3,0.2,0.25,0.45
22,0.7,0.15,0.85,0.8,0.55,0.8,1.0,0.6,0.2,0.9,1.0,0.8,0.3,1.0,0.2,0.5,0.1,0.1,0.35,0.35
23,0.85,0.35,0.55,0.7,0.5,0.7,0.85,0.7,0.4,0.7,1.0,0.65,0.1,0.75,0.3,0.45,0.15,0.15,0.25,0.35
24,0.95,0.5,0.75,0.3,0.15,0.35,1.0,0.8,0.15,0.85,0.95,0.55,0.0,0.85,0.65,0.85,0.55,0.35,0.3,0.5
25,0.85,0.35,0.5,0.4,0.4,0.4,1.0,0.85,0.25,0.7,0.8,0.65,0.0,0.95,0.6,0.8,0.35,0.35,0.15,0.6
26,0.85,0.35,0.45,0.4,0.5,0.45,0.95,0.8,0.3,0.7,0.8,0.65,0.05,0.85,0.65,0.75,0.35,0.55,0.3,0.55
27,0.65,0.3,0.55,0.25,0.75,0.55,0.95,0.8,0.5,0.9,0.8,0.4,0.1,0.9,0.7,0.75,0.45,0.4,0.1,0.45
28,0.9,0.1,0.35,0.3,0.7,0.55,0.85,0.7,0.45,0.75,0.55,0.55,0.2,0.85,0.55,0.7,0.35,0.3,0.05,0.5
29,0.9,0.15,0.4,0.1,0.55,0.5,0.95,0.65,0.4,0.6,0.7,0.65,0.25,0.65,0.55,0.75,0.4,0.4,0.05,0.55
30,0.95,0.35,0.45,0.05,0.7,0.4,0.85,0.8,0.5,0.8,0.55,0.65,0.35,0.55,0.7,0.75,0.4,0.2,0.15,0.35
31,0.95,0.45,0.6,0.1,0.65,0.35,0.65,0.8,0.45,0.95,0.4,0.55,0.4,0.5,0.75,0.8,0.45,0.25,0.2,0.3
32,0.8,0.4,0.45,0.2,0.65,0.3,0.9,0.9,0.45,0.8,0.4,0.6,0.45,0.35,0.5,0.65,0.65,0.1,0.35,0.35
33,0.95,0.65,0.55,0.25,0.6,0.2,0.85,0.85,0.4,0.7,0.35,0.65,0.2,0.4,0.55,0.7,0.75,0.0,0.55,0.3
34,0.65,0.6,0.6,0.3,0.75,0.35,0.95,0.8,0.3,0.9,0.55,0.7,0.3,0.2,0.55,0.9,0.75,0.0,0.5,0.3
35,0.75,0.5,0.7,0.25,0.6,0.25,0.95,0.75,0.5,0.85,0.45,0.7,0.25,0.15,0.6,0.9,0.75,0.1,0.6,0.45
36,0.95,0.6,0.6,0.35,0.5,0.45,0.95,0.4,0.7,0.9,0.25,0.95,0.5,0.25,0.45,0.85,0.75,0.05,0.45,0.6
37,0.95,0.7,0.65,0.55,0.6,0.65,0.85,0.25,0.75,1.0,0.25,0.85,0.45,0.35,0.4,0.75,0.85,0.0,0.45,0.5
38,0.95,0.8,0.8,0.65,0.8,0.9,0.95,0.25,0.75,0.9,0.4,0.9,0.3,0.1,0.15,0.85,1.0,0.05,0.45,0.3
39,0.9,0.6,0.75,0.75,0.7,0.8,0.85,0.5,0.55,0.9,0.35,0.75,0.3,0.2,0.1,0.75,1.0,0.0,0.45,0.25
40,0.85,0.5,0.65,0.85,0.65,0.65,0.95,0.6,0.55,0.9,0.4,0.85,0.35,0.15,0.25,0.85,0.85,0.0,0.4,0.15
41,0.85,0.25,0.65,0.85,0.4,0.6,0.85,0.8,0.35,0.9,0.15,0.85,0.35,0.4,0.4,0.8,0.85,0.1,0.6,0.1
42,0.9,0.1,0.85,0.9,0.3,0.2,0.85,1.0,0.15,0.8,0.2,0.95,0.2,0.6,0.3,0.65,0.9,0.25,0.7,0.05
43,0.95,0.1,0.8,0.8,0.3,0.4,0.75,0.95,0.15,0.7,0.15,1.0,0.4,0.55,0.4,0.45,0.85,0.4,0.6,0.05
44,1.0,0.25,0.7,0.65,0.35,0.25,0.8,0.7,0.35,0.85,0.2,0.95,0.6,0.55,0.3,0.6,0.85,0.4,0.5,0.1
45,0.95,0.2,0.65,0.65,0.45,0.3,0.6,0.55,0.3,0.85,0.15,1.0,0.95,0.5,0.35,0.6,1.0,0.5,0.3,0.15
46,0.95,0.4,0.3,0.45,0.6,0.45,0.2,0.25,0.45,0.95,0.0,1.0,1.0,0.2,0.55,0.65,0.85,0.65,0.0,0.3
47,0.8,0.4,0.3,0.5,0.45,0.4,0.25,0.4,0.5,0.8,0.1,0.95,1.0,0.25,0.6,0.4,0.85,0.65,0.05,0.45
48,0.8,0.25,0.25,0.5,0.4,0.3,0.2,0.3,0.4,0.7,0.15,0.9,0.95,0.3,0.5,0.4,0.9,0.45,0.05,0.5
49,1.0,0.25,0.15,0.55,0.55,0.3,0.05,0.35,0.45,0.55,0.35,0.7,0.8,0.1,0.6,0.55,0.95,0.3,0.15,0.45
50,0.9,0.3,0.15,0.85,0.8,0.25,0.05,0.45,0.4,0.6,0.5,0.75,0.55,0.35,0.55,0.55,0.8,0.3,0.55,0.4
51,0.9,0.25,0.25,0.9,0.9,0.3,0.0,0.4,0.55,0.6,0.5,0.65,0.65,0.45,0.65,0.75,0.75,0.35,0.4,0.4
52,0.85,0.3,0.35,0.9,0.85,0.25,0.0,0.35,0.45,0.65,0.7,0.75,0.5,0.3,0.7,0.85,0.75,0.3,0.4,0.25
53,0.9,0.15,0.3,0.9,0.9,0.15,0.05,0.2,0.3,0.8,0.75,0.8,0.45,0.15,0.7,0.9,0.85,0.35,0.25,0.35
54,0.95,0.35,0.55,0.8,0.8,0.1,0.1,0.45,0.45,0.8,0.7,0.55,0.75,0.35,0.8,0.9,0.8,0.6,0.5,0.35
55,0.9,0.25,0.5,0.8,0.75,0.05,0.25,0.45,0.4,0.95,0.6,0.55,0.5,0.1,0.85,1.0,0.9,0.55,0.7,0.4
56,0.95,0.1,0.6,0.95,0.9,0.05,0.1,0.6,0.45,0.95,0.3,0.4,0.55,0.1,0.7,1.0,1.0,0.75,0.9,0.65
57,0.95,0.15,0.45,0.95,1.0,0.15,0.15,0.6,0.55,0.8,0.5,0.45,0.5,0.1,0.65,0.95,0.85,0.8,0.7,0.75
58,0.7,0.15,0.4,0.95,1.0,0.05,0.15,0.5,0.55,0.9,0.45,0.65,0.5,0.05,0.55,1.0,0.85,0.55,0.5,0.65
59,0.8,0.25,0.6,0.95,0.9,0.05,0.3,0.6,0.6,0.85,0.35,0.6,0.65,0.1,0.7,0.9,0.75,0.6,0.35,0.45
60,1.0,0.35,0.6,1.0,0.7,0.15,0.3,0.65,0.65,0.7,0.4,0.6,0.65,0.05,0.7,0.8,0.6,0.6,0.35,0.4
61,1.0,0.45,0.6,0.95,0.55,0.05,0.4,0.55,0.65,0.8,0.4,0.9,0.6,0.0,0.6,0.8,0.5,0.5,0.2,0.45
62,0.9,0.55,0.45,0.85,0.5,0.1,0.5,0.5,0.6,0.65,0.45,0.75,0.65,0.05,0.55,0.7,0.5,0.4,0.25,0.5
63,0.8,0.4,0.7,0.9,0.5,0.1,0.45,0.6,0.85,0.75,0.4,0.75,0.7,0.0,0.65,0.85,0.5,0.6,0.35,0.55
64,0.75,0.45,0.8,0.95,0.6,0.05,0.35,0.55,0.9,0.75,0.35,0.75,0.65,0.0,0.65,1.0,0.5,0.85,0.35,0.45
65,0.85,0.4,0.75,0.9,0.55,0.1,0.35,0.55,0.85,0.75,0.35,0.65,0.7,0.05,0.45,0.9,0.6,0.8,0.5,0.5
66,1.0,0.7,0.75,0.7,0.6,0.2,0.25,0.4,0.95,0.9,0.6,0.65,0.45,0.05,0.2,0.85,0.65,0.65,0.5,0.5
67,0.95,0.8,0.8,0.7,0.65,0.3,0.2,0.35,0.95,0.9,0.7,0.7,0.4,0.1,0.3,0.85,0.65,0.55,0.5,0.35
68,1.0,0.95,0.65,0.75,0.7,0.15,0.45,0.2,0.9,0.95,0.9,0.6,0.3,0.2,0.35,0.6,0.55,0.65,0.35,0.45
69,0.9,0.9,0.6,0.75,0.7,0.35,0.45,0.25,0.9,0.8,0.8,0.5,0.45,0.3,0.45,0.75,0.6,0.65,0.35,0.65
70,0.8,0.95,0.5,0.85,0.7,0.65,0.5,0.25,1.0,0.8,0.95,0.5,0.45,0.35,0.45,0.7,0.65,0.45,0.15,0.45
71,0.95,1.0,0.45,0.7,0.4,0.5,0.5,0.4,0.85,0.7,0.9,0.35,0.2,0.4,0.2,0.65,0.45,0.7,0.3,0.45
72,0.9,1.0,0.3,0.8,0.35,0.45,0.6,0.35,0.95,0.55,0.95,0.3,0.1,0.4,0.3,0.75,0.45,0.75,0.3,0.5
73,1.0,1.0,0.05,0.95,0.55,0.4,0.75,0.25,0.9,0.4,0.95,0.0,0.3,0.45,0.3,0.7,0.35,0.65,0.2,0.7
74,0.95,0.95,0.2,1.0,0.25,0.3,0.95,0.1,0.85,0.25,0.9,0.1,0.1,0.55,0.25,0.95,0.15,0.7,0.2,0.85
75,0.9,0.85,0.1,0.95,0.35,0.75,1.0,0.0,0.95,0.35,0.9,0.15,0.0,0.9,0.05,0.9,0.15,0.5,0.25,1.0
76,0.85,0.85,0.4,1.0,0.1,0.85,1.0,0.05,0.75,0.15,0.85,0.1,0.05,0.8,0.15,0.95,0.45,0.5,0.3,0.9
77,0.95,0.9,0.3,1.0,0.05,0.8,0.9,0.1,0.5,0.1,0.85,0.05,0.0,0.85,0.15,1.0,0.65,0.7,0.4,0.9
78,1.0,0.8,0.3,1.0,0.05,0.65,0.8,0.05,0.5,0.35,0.9,0.05,0.0,0.9,0.0,0.9,0.7,0.8,0.25,0.9
79,0.95,0.8,0.45,1.0,0.05,0.8,1.0,0.0,0.7,0.4,0.85,0.0,0.1,0.9,0.05,0.6,0.5,0.7,0.2,0.8
80,0.9,0.55,0.5,0.95,0.1,0.7,1.0,0.15,0.75,0.3,0.8,0.15,0.1,0.8,0.0,0.5,0.5,0.8,0.4,0.75
81,0.85,0.35,0.3,0.9,0.05,0.65,1.0,0.25,0.8,0.25,0.65,0.05,0.1,0.75,0.0,0.55,0.5,0.7,0.2,0.45
82,0.9,0.35,0.4,0.85,0.1,0.7,1.0,0.25,0.75,0.3,0.75,0.0,0.1,0.65,0.05,0.6,0.4,0.7,0.1,0.55
83,0.95,0.5,0.3,0.95,0.15,0.8,0.95,0.2,0.55,0.15,0.8,0.1,0.05,0.75,0.15,0.7,0.3,0.55,0.0,0.3
84,0.95,0.25,0.35,0.75,0.1,0.85,0.75,0.35,0.45,0.1,0.8,0.15,0.15,0.6,0.15,0.45,0.5,0.4,0.05,0.15
85,0.95,0.35,0.35,0.95,0.3,0.85,0.95,0.2,0.35,0.05,0.6,0.25,0.15,0.55,0.3,0.45,0.2,0.2,0.0,0.15
86,0.85,0.35,0.1,0.9,0.35,0.9,0.95,0.2,0.55,0.1,0.35,0.55,0.05,0.4,0.15,0.3,0.15,0.4,0.1,0.1
87,0.75,0.35,0.05,1.0,0.55,0.7,0.95,0.1,0.7,0.05,0.3,0.3,0.1,0.35,0.2,0.4,0.05,0.2,0.4,0.05
88,0.75,0.75,0.25,0.95,0.7,0.3,0.9,0.05,0.8,0.05,0.35,0.15,0.0,0.05,0.0,0.2,0.05,0.0,0.9,0.0
89,0.85,0.85,0.05,0.9,0.45,0.3,1.0,0.2,0.85,0.35,0.25,0.1,0.0,0.05,0.05,0.15,0.15,0.0,0.8,0.05
90,0.45,0.5,0.1,0.9,0.45,0.65,0.95,0.35,0.7,0.35,0.4,0.0,0.0,0.05,0.1,0.35,0.2,0.0,0.7,0.0
91,0.55,0.15,0.25,0.85,0.35,0.8,0.9,0.2,0.75,0.3,0.65,0.0,0.0,0.05,0.0,0.5,0.35,0.0,0.65,0.05
92,0.6,0.2,0.45,0.8,0.6,0.65,0.85,0.25,0.75,0.3,0.35,0.1,0.0,0.2,0.0,0.35,0.4,0.0,0.55,0.0
93,0.8,0.25,0.55,0.65,0.75,0.45,0.85,0.25,0.7,0.35,0.2,0.1,0.1,0.1,0.05,0.25,0.4,0.1,0.55,0.05
94,0.8,0.45,0.6,0.9,0.9,0.3,0.75,0.2,0.75,0.35,0.2,0.15,0.0,0.15,0.25,0.15,0.45,0.15,0.7,0.2
95,0.9,0.45,0.3,0.95,0.95,0.5,0.8,0.45,0.45,0.5,0.15,0.3,0.0,0.3,0.05,0.35,0.2,0.4,0.65,0.35
96,0.85,0.3,0.1,0.7,0.8,0.6,0.85,0.6,0.25,0.8,0.1,0.5,0.1,0.35,0.2,0.55,0.15,0.25,0.55,0.4
97,0.8,0.3,0.2,0.8,0.7,0.75,0.75,0.65,0.3,0.9,0.2,0.55,0.15,0.45,0.15,0.45,0.25,0.2,0.4,0.35
98,0.65,0.1,0.25,0.75,1.0,0.75,0.6,0.45,0.35,0.95,0.15,0.55,0.0,0.5,0.05,0.4,0.35,0.2,0.55,0.5
99,0.85,0.2,0.1,0.6,1.0,0.65,0.65,0.7,0.15,0.8,0.1,0.7,0.0,0.45,0.2,0.2,0.3,0.25,0.5,0.35
