Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.45,0.6,0.6,0.65,0.5
1,0.45,0.65,0.55,0.5,0.6
2,0.55,0.65,0.4,0.45,0.65
3,0.75,0.75,0.35,0.55,0.75
4,0.55,0.55,0.4,0.45,0.85
5,0.7,0.45,0.4,0.6,0.7
6,0.75,0.75,0.35,0.3,0.6
7,0.65,0.6,0.3,0.3,0.5
8,0.7,0.25,0.2,0.3,0.4
9,0.65,0.35,0.3,0.45,0.55
10,0.7,0.3,0.45,0.45,0.3
11,0.75,0.4,0.6,0.5,0.35
12,0.75,0.35,0.5,0.25,0.4
13,0.7,0.25,0.5,0.35,0.15
14,0.55,0.25,0.55,0.3,0.2
15,0.6,0.3,0.5,0.4,0.2
16,0.75,0.35,0.45,0.35,0.25
17,0.75,0.45,0.55,0.4,0.35
18,0.6,0.25,0.3,0.45,0.5
19,0.45,0.3,0.35,0.45,0.5
20,0.4,0.25,0.15,0.45,0.25
21,0.3,0.2,0.1,0.15,0.2
22,0.65,0.25,0.2,0.1,0.15
23,0.75,0.1,0.25,0.35,0.35
24,0.7,0.3,0.35,0.5,0.25
25,0.45,0.15,0.4,0.55,0.35
26,0.3,0.25,0.4,0.6,0.5
27,0.4,0.2,0.45,0.75,0.45
28,0.5,0.25,0.55,0.45,0.5
29,0.3,0.25,0.65,0.7,0.4
30,0.45,0.3,0.55,0.55,0.4
31,0.3,0.5,0.75,0.4,0.25
32,0.3,0.4,0.6,0.65,0.4
33,0.3,0.45,0.6,0.2,0.6
34,0.55,0.7,0.6,0.35,0.65
35,0.7,0.55,0.6,0.15,0.55
36,0.85,0.55,0.45,0.4,0.55
37,0.6,0.35,0.35,0.6,0.6
38,0.5,0.4,0.45,0.45,0.5
39,0.45,0.3,0.25,0.7,0.45
40,0.55,0.35,0.25,0.6,0.5
41,0.7,0.25,0.35,0.45,0.25
42,0.5,0.35,0.45,0.4,0.4
43,0.5,0.25,0.5,0.55,0.2
44,0.6,0.4,0.5,0.4,0.15
45,0.45,0.2,0.4,0.4,0.35
46,0.6,0.25,0.25,0.25,0.2
47,0.8,0.15,0.25,0.3,0.15
48,0.7,0.25,0.35,0.5,0.15
49,0.6,0.3,0.4,0.35,0.15
50,0.6,0.45,0.35,0.45,0.2
51,0.45,0.5,0.45,0.2,0.45
52,0.4,0.35,0.5,0.05,0.55
53,0.6,0.45,0.6,0.2,0.5
54,0.6,0.3,0.65,0.1,0.45
55,0.55,0.25,0.65,0.2,0.25
56,0.65,0.35,0.65,0.2,0.2
57,0.55,0.3,0.65,0.25,0.35
58,0.5,0.55,0.5,0.35,0.4
59,0.3,0.45,0.45,0.4,0.4
60,0.3,0.25,0.55,0.45,0.4
61,0.35,0.2,0.4,0.45,0.4
62,0.5,0.45,0.4,0.3,0.6
63,0.25,0.4,0.4,0.3,0.6
64,0.4,0.55,0.4,0.4,0.75
65,0.35,0.6,0.5,0.6,0.75
66,0.3,0.85,0.45,0.6,0.55
67,0.2,0.45,0.4,0.6,0.55
68,0.4,0.35,0.6,0.55,0.35
69,0.5,0.5,0.45,0.65,0.55
70,0.45,0.4,0.25,0.55,0.5
71,0.35,0.5,0.55,0.55,0.5
72,0.25,0.45,0.5,0.55,0.55
73,0.25,0.35,0.5,0.5,0.6
74,0.3,0.2,0.6,0.5,0.65
75,0.4,0.2,0.3,0.35,0.5
76,0.4,0.2,0.2,0.55,0.8
77,0.25,0.35,0.15,0.25,0.6
78,0.5,0.4,0.3,0.1,0.35
79,0.5,0.65,0.1,0.2,0.3
80,0.45,0.55,0.3,0.55,0.4
81,0.4,0.3,0.5,0.4,0.4
82,0.35,0.3,0.3,0.55,0.2
83,0.55,0.3,0.15,0.55,0.25
84,0.6,0.35,0.25,0.5,0.25
85,0.75,0.35,0.35,0.3,0.15
86,0.55,0.4,0.25,0.4,0.35
87,0.35,0.45,0.35,0.45,0.35
88,0.5,0.6,0.8,0.4,0.55
89,0.75,0.25,0.5,0.35,0.5
90,0.4,0.5,0.35,0.45,0.7
91,0.5,0.55,0.45,0.25,0.65
92,0.55,0.45,0.5,0.15,0.45
93,0.4,0.65,0.4,0.4,0.7
94,0.25,0.65,0.4,0.5,0.55
95,0.25,0.6,0.55,0.6,0.4
96,0.25,0.45,0.7,0.3,0.35
97,0.25,0.35,0.8,0.2,0.5
98,0.25,0.55,0.6,0.2,0.4
99,0.35,0.65,0.7,0.55,0.35
