Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.45,0.45,0.65,0.4,0.65
1,0.8,0.25,0.45,0.45,0.65
2,0.75,0.55,0.35,0.5,0.65
3,0.8,0.45,0.35,0.2,0.65
4,0.4,0.4,0.35,0.35,0.4
5,0.25,0.3,0.5,0.25,0.5
6,0.25,0.35,0.4,0.2,0.4
7,0.35,0.25,0.3,0.55,0.4
8,0.1,0.35,0.45,0.55,0.4
9,0.35,0.15,0.55,0.5,0.4
10,0.45,0.25,0.7,0.5,0.35
11,0.55,0.25,0.65,0.55,0.4
12,0.55,0.3,0.45,0.4,0.35
13,0.5,0.25,0.7,0.55,0.4
14,0.35,0.2,0.6,0.3,0.55
15,0.55,0.35,0.55,0.4,0.25
16,0.65,0.35,0.6,0.6,0.2
17,0.6,0.3,0.35,0.6,0.3
18,0.6,0.2,0.45,0.4,0.4
19,0.5,0.4,0.45,0.45,0.5
20,0.6,0.55,0.45,0.35,0.55
21,0.5,0.65,0.45,0.3,0.7
22,0.55,0.55,0.3,0.4,0.65
23,0.65,0.45,0.6,0.6,0.65
24,0.65,0.6,0.45,0.5,0.6
25,0.65,0.65,0.3,0.5,0.3
26,0.7,0.65,0.45,0.7,0.35
27,0.6,0.45,0.7,0.55,0.35
28,0.45,0.65,0.7,0.5,0.45
29,0.4,0.3,0.7,0.3,0.3
30,0.5,0.4,0.55,0.4,0.35
31,0.6,0.45,0.6,0.4,0.45
32,0.35,0.2,0.45,0.45,0.45
33,0.35,0.4,0.65,0.35,0.35
34,0.45,0.2,0.35,0.65,0.3
35,0.4,0.25,0.55,0.2,0.35
36,0.4,0.35,0.65,0.15,0.2
37,0.45,0.4,0.6,0.35,0.4
38,0.3,0.3,0.5,0.35,0.5
39,0.45,0.35,0.6,0.35,0.4
40,0.65,0.45,0.45,0.4,0.55
41,0.6,0.35,0.35,0.35,0.35
42,0.5,0.5,0.65,0.3,0.2
43,0.6,0.15,0.5,0.25,0.25
44,0.75,0.3,0.65,0.4,0.4
45,0.8,0.55,0.7,0.45,0.4
46,0.7,0.4,0.6,0.35,0.4
47,0.2,0.7,0.45,0.45,0.45
48,0.3,0.8,0.5,0.6,0.4
49,0.4,0.9,0.5,0.35,0.3
50,0.4,0.8,0.35,0.45,0.55
51,0.5,0.8,0.25,0.45,0.35
52,0.65,0.7,0.4,0.25,0.5
53,0.65,0.85,0.35,0.35,0.55
54,0.75,0.7,0.3,0.45,0.5
55,0.45,0.55,0.5,0.4,0.65
56,0.25,0.45,0.65,0.4,0.5
57,0.35,0.65,0.55,0.4,0.6
58,0.35,0.4,0.5,0.45,0.75
59,0.55,0.35,0.4,0.55,0.6
60,0.4,0.5,0.5,0.4,0.35
61,0.45,0.65,0.45,0.45,0.45
62,0.35,0.55,0.5,0.5,0.25
63,0.4,0.6,0.3,0.5,0.3
64,0.3,0.45,0.25,0.7,0.45
65,0.65,0.5,0.2,0.5,0.6
66,0.5,0.55,0.2,0.4,0.3
67,0.4,0.5,0.4,0.3,0.2
68,0.55,0.35,0.4,0.3,0.45
69,0.2,0.6,0.45,0.25,0.35
70,0.2,0.35,0.4,0.3,0.35
71,0.2,0.3,0.1,0.6,0.3
72,0.25,0.4,0.25,0.45,0.3
73,0.65,0.35,0.35,0.6,0.4
74,0.65,0.25,0.2,0.55,0.35
75,0.65,0.4,0.25,0.5,0.45
76,0.65,0.55,0.4,0.7,0.35
77,0.7,0.45,0.3,0.65,0.1
78,0.6,0.25,0.35,0.55,0.2
79,0.5,0.35,0.45,0.45,0.3
80,0.35,0.25,0.55,0.45,0.25
81,0.6,0.35,0.4,0.35,0.5
82,0.85,0.3,0.2,0.45,0.35
83,0.6,0.2,0.15,0.5,0.35
84,0.5,0.25,0.2,0.55,0.5
85,0.35,0.4,0.6,0.35,0.6
86,0.35,0.25,0.5,0.35,0.55
87,0.35,0.35,0.4,0.4,0.8
88,0.3,0.4,0.45,0.35,0.7
89,0.25,0.5,0.5,0.1,0.55
90,0.5,0.6,0.5,0.2,0.55
91,0.55,0.45,0.65,0.35,0.4
92,0.65,0.6,0.45,0.5,0.3
93,0.4,0.8,0.6,0.3,0.3
94,0.5,0.7,0.6,0.35,0.2
95,0.65,0.85,0.8,0.25,0.25
96,0.4,0.65,0.8,0.2,0.3
97,0.6,0.5,0.65,0.25,0.4
98,0.65,0.4,0.6,0.15,0.45
99,0.7,0.3,0.4,0.2,0.45
