Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.65,0.45,0.4,0.55,0.45,0.6,0.6,0.55,0.4,0.4,0.7,0.6,0.3,0.25,0.5,0.5,0.75,0.6,0.45,0.45
1,0.95,0.4,0.3,0.65,0.2,0.9,0.8,0.5,0.6,0.5,0.7,0.6,0.1,0.05,0.65,0.45,0.95,0.7,0.45,0.4
2,0.85,0.35,0.45,0.65,0.15,0.75,0.7,0.6,0.6,0.5,0.55,0.5,0.15,0.05,0.8,0.6,1.0,0.8,0.55,0.45
3,0.8,0.15,0.35,0.5,0.35,0.8,0.6,0.45,0.55,0.45,0.6,0.75,0.1,0.2,0.75,0.65,0.95,0.75,0.25,0.55
4,0.9,0.25,0.25,0.5,0.4,0.65,0.55,0.3,0.6,0.3,0.75,0.55,0.1,0.4,0.9,0.6,0.9,0.65,0.3,0.5
5,0.9,0.45,0.45,0.35,0.2,0.6,0.65,0.6,0.55,0.6,0.7,0.45,0.25,0.15,0.95,0.6,0.8,0.75,0.55,0.4
6,0.95,0.6,0.5,0.4,0.35,0.3,0.55,0.35,0.85,0.55,0.65,0.4,0.25,0.35,0.8,0.4,0.95,0.7,0.45,0.6
7,0.9,0.35,0.65,0.25,0.4,0.45,0.35,0.45,0.65,0.45,0.8,0.6,0.25,0.4,0.7,0.35,0.95,0.85,0.5,0.6
8,0.95,0.3,0.8,0.3,0.45,0.3,0.5,0.25,0.7,0.3,0.9,0.5,0.35,0.55,0.8,0.25,1.0,0.9,0.45,0.4
9,1.0,0.35,0.8,0.4,0.15,0.3,0.85,0.25,0.45,0.4,0.95,0.3,0.1,0.25,0.85,0.35,0.9,0.85,0.9,0.4
10,1.0,0.55,0.7,0.5,0.25,0.45,0.95,0.25,0.5,0.1,0.75,0.15,0.0,0.15,0.85,0.4,0.95,0.95,0.65,0.6
11,0.95,0.3,0.65,0.45,0.55,0.4,0.8,0.35,0.5,0.15,0.75,0.15,0.0,0.25,1.0,0.35,0.95,0.85,0.6,0.5
12,1.0,0.5,0.65,0.6,0.45,0.45,0.8,0.3,0.6,0.05,0.75,0.1,0.05,0.15,1.0,0.45,0.75,0.95,0.5,0.5
13,0.95,0.4,0.5,0.7,0.3,0.4,0.75,0.45,0.7,0.1,0.7,0.25,0.1,0.15,0.8,0.35,0.7,0.9,0.5,0.4
14,0.9,0.5,0.55,0.8,0.5,0.25,0.9,0.6,0.8,0.1,0.6,0.0,0.1,0.3,0.7,0.3,0.45,0.9,0.5,0.4
15,1.0,0.3,0.75,0.9,0.4,0.15,1.0,0.9,0.9,0.1,0.7,0.0,0.15,0.2,0.8,0.1,0.55,0.75,0.75,0.15
16,0.95,0.35,0.45,0.65,0.75,0.05,0.95,0.8,0.75,0.1,0.45,0.05,0.3,0.5,0.6,0.2,0.25,0.5,0.5,0.25
17,0.95,0.3,0.55,0.5,0.65,0.05,0.85,0.85,0.6,0.05,0.6,0.15,0.25,0.3,0.5,0.35,0.3,0.5,0.5,0.3
18,1.0,0.1,0.55,0.55,0.45,0.0,0.95,1.0,0.65,0.15,0.6,0.0,0.4,0.05,0.3,0.4,0.55,0.5,0.7,0.25
19,0.95,0.15,0.45,0.45,0.75,0.05,0.75,1.0,0.6,0.25,0.75,0.05,0.65,0.1,0.45,0.4,0.3,0.35,0.55,0.3
20,0.9,0.2,0.55,0.35,0.85,0.25,0.6,0.95,0.4,0.1,0.65,0.0,0.6,0.1,0.5,0.45,0.35,0.5,0.45,0.35
21,0.7,0.25,0.5,0.3,0.7,0.4,0.65,0.95,0.35,0.05,0.7,0.0,0.6,0.1,0.35,0.6,0.45,0.5,0.5,0.5
22,0.55,0.25,0.45,0.45,0.4,0.35,0.65,0.95,0.45,0.2,0.4,0.0,0.45,0.1,0.65,0.65,0.55,0.5,0.45,0.4
23,0.85,0.3,0.3,0.8,0.15,0.5,0.75,0.95,0.7,0.2,0.8,0.0,0.3,0.4,0.55,0.4,0.7,0.75,0.65,0.15
24,0.85,0.25,0.25,0.75,0.15,0.65,0.9,0.95,0.8,0.2,0.75,0.0,0.35,0.35,0.35,0.3,0.75,0.65,0.65,0.15
25,0.95,0.25,0.3,0.7,0.3,0.65,0.8,0.95,0.7,0.25,0.75,0.0,0.4,0.25,0.3,0.35,0.8,0.6,0.75,0.1
26,0.75,0.25,0.5,0.9,0.4,0.7,0.7,0.95,0.6,0.45,0.6,0.1,0.2,0.35,0.3,0.5,0.65,0.8,0.6,0.1
27,0.8,0.4,0.4,0.8,0.4,0.9,0.65,0.85,0.35,0.35,0.4,0.05,0.35,0.25,0.15,0.4,0.85,0.75,0.5,0.2
28,0.65,0.6,0.4,0.75,0.5,0.85,0.5,0.95,0.15,0.4,0.55,0.15,0.15,0.2,0.25,0.45,0.8,0.85,0.3,0.55
29,0.6,0.4,0.4,0.8,0.5,0.7,0.65,0.9,0.2,0.45,0.6,0.4,0.15,0.1,0.05,0.75,0.5,0.8,0.2,0.55
30,0.5,0.3,0.2,0.7,0.3,0.75,0.75,0.9,0.2,0.35,0.6,0.5,0.15,0.05,0.0,0.6,0.45,0.75,0.35,0.5
31,0.35,0.6,0.45,0.7,0.4,0.85,0.55,0.65,0.15,0.45,0.75,0.3,0.15,0.05,0.05,0.75,0.55,0.7,0.15,0.55
32,0.35,0.4,0.35,0.7,0.25,0.65,0.75,0.85,0.3,0.3,0.7,0.65,0.35,0.05,0.0,0.85,0.35,0.7,0.1,0.3
33,0.65,0.45,0.2,0.7,0.2,0.7,0.6,1.0,0.25,0.15,0.6,0.75,0.5,0.05,0.05,0.55,0.5,0.9,0.2,0.1
34,0.8,0.6,0.2,0.55,0.15,0.9,0.55,0.9,0.3,0.3,0.6,0.75,0.4,0.0,0.3,0.6,0.65,1.0,0.2,0.05
35,0.8,0.65,0.15,0.55,0.1,0.85,0.5,0.9,0.35,0.2,0.65,0.8,0.35,0.1,0.5,0.35,0.65,0.9,0.2,0.05
36,0.85,0.9,0.15,0.2,0.2,0.85,0.5,0.85,0.2,0.1,0.5,0.7,0.1,0.0,0.65,0.3,0.85,0.7,0.15,0.3
37,0.85,0.85,0.4,0.4,0.05,0.8,0.5,1.0,0.4,0.3,0.6,0.6,0.1,0.0,0.6,0.4,0.65,0.65,0.2,0.35
38,0.9,0.8,0.25,0.45,0.2,0.55,0.5,0.85,0.4,0.35,0.45,0.55,0.1,0.0,0.5,0.4,0.65,0.8,0.35,0.35
39,0.9,0.7,0.3,0.5,0.15,0.6,0.5,0.8,0.35,0.45,0.4,0.6,0.3,0.05,0.5,0.35,0.65,0.75,0.4,0.4
40,1.0,0.55,0.2,0.6,0.3,0.3,0.75,0.7,0.25,0.4,0.4,0.55,0.35,0.1,0.6,0.45,0.75,0.75,0.3,0.2
41,0.95,0.65,0.1,0.7,0.1,0.5,0.75,0.3,0.3,0.25,0.45,0.3,0.15,0.1,0.5,0.3,0.8,0.75,0.15,0.2
42,0.95,0.65,0.0,0.55,0.3,0.6,0.95,0.3,0.15,0.15,0.5,0.5,0.2,0.15,0.75,0.25,0.9,0.5,0.2,0.05
43,1.0,0.55,0.0,0.5,0.5,0.8,0.8,0.35,0.1,0.35,0.5,0.4,0.4,0.15,0.65,0.35,0.95,0.4,0.4,0.05
44,0.85,0.45,0.15,0.55,0.5,0.75,0.85,0.25,0.1,0.5,0.65,0.4,0.45,0.15,0.65,0.4,0.9,0.45,0.6,0.0
45,0.95,0.4,0.15,0.8,0.8,0.9,0.8,0.45,0.0,0.85,0.65,0.4,0.6,0.2,0.55,0.5,0.85,0.45,0.7,0.15
46,0.9,0.45,0.3,0.9,0.55,0.65,0.8,0.55,0.1,0.65,0.85,0.4,0.6,0.3,0.45,0.55,0.8,0.55,0.8,0.3
47,0.85,0.7,0.25,0.85,0.35,0.7,0.8,0.45,0.05,0.45,0.6,0.35,0.3,0.2,0.75,0.25,0.7,0.45,0.6,0.35
48,0.95,0.6,0.2,0.75,0.25,0.6,0.65,0.35,0.1,0.3,0.6,0.35,0.4,0.3,0.75,0.15,0.6,0.5,0.65,0.4
49,0.55,0.55,0.05,0.85,0.45,0.5,0.7,0.35,0.25,0.5,0.65,0.45,0.4,0.2,0.8,0.1,0.55,0.4,0.55,0.35
50,0.65,0.55,0.15,0.9,0.65,0.4,0.95,0.4,0.35,0.75,0.8,0.5,0.5,0.2,1.0,0.0,0.55,0.25,0.5,0.5
51,0.65,0.5,0.05,0.9,0.65,0.25,1.0,0.4,0.4,0.7,0.8,0.5,0.6,0.2,0.95,0.05,0.8,0.3,0.55,0.25
52,0.5,0.5,0.25,0.8,0.85,0.5,0.95,0.4,0.5,0.65,0.65,0.45,0.35,0.45,0.9,0.0,0.75,0.3,0.4,0.15
