Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.55,0.35,0.3,0.5,0.35
1,0.55,0.2,0.45,0.25,0.5
2,0.45,0.25,0.4,0.45,0.3
3,0.4,0.45,0.45,0.35,0.45
4,0.15,0.45,0.45,0.5,0.4
5,0.05,0.5,0.35,0.5,0.5
6,0.4,0.5,0.45,0.55,0.65
7,0.45,0.4,0.6,0.45,0.55
8,0.5,0.55,0.55,0.7,0.4
9,0.45,0.4,0.3,0.75,0.45
10,0.35,0.25,0.25,0.55,0.6
11,0.45,0.4,0.4,0.35,0.5
12,0.5,0.45,0.4,0.4,0.5
13,0.45,0.45,0.6,0.5,0.35
14,0.65,0.6,0.45,0.4,0.4
15,0.65,0.6,0.35,0.7,0.65
16,0.45,0.55,0.1,0.7,0.45
17,0.5,0.45,0.15,0.8,0.3
18,0.35,0.4,0.2,0.6,0.45
19,0.4,0.35,0.2,0.35,0.65
20,0.55,0.3,0.15,0.65,0.55
21,0.3,0.3,0.25,0.7,0.3
22,0.45,0.2,0.3,0.5,0.35
23,0.6,0.05,0.5,0.55,0.45
24,0.65,0.1,0.15,0.45,0.4
25,0.9,0.2,0.35,0.55,0.6
26,0.8,0.3,0.6,0.6,0.55
27,0.75,0.35,0.45,0.5,0.4
28,0.8,0.45,0.35,0.55,0.2
29,0.65,0.25,0.35,0.55,0.25
30,0.6,0.55,0.3,0.7,0.35
31,0.35,0.7,0.1,0.6,0.25
32,0.5,0.75,0.25,0.6,0.3
33,0.5,0.85,0.35,0.8,0.25
34,0.4,0.7,0.4,0.85,0.4
35,0.5,0.3,0.5,0.65,0.6
36,0.5,0.5,0.6,0.35,0.6
37,0.35,0.5,0.45,0.25,0.45
38,0.65,0.5,0.4,0.35,0.5
39,0.65,0.5,0.4,0.2,0.5
40,0.8,0.75,0.45,0.2,0.15
41,0.6,0.7,0.45,0.5,0.2
42,0.7,0.55,0.4,0.55,0.25
43,0.65,0.45,0.5,0.45,0.4
44,0.6,0.6,0.6,0.15,0.35
45,0.55,0.35,0.55,0.2,0.35
46,0.7,0.55,0.5,0.45,0.3
47,0.65,0.35,0.5,0.45,0.4
48,0.55,0.2,0.4,0.5,0.65
49,0.5,0.3,0.45,0.65,0.6
50,0.5,0.5,0.5,0.5,0.65
51,0.25,0.65,0.55,0.7,0.5
52,0.35,0.5,0.45,0.6,0.35
53,0.25,0.45,0.45,0.45,0.45
54,0.4,0.3,0.45,0.3,0.55
55,0.4,0.55,0.45,0.55,0.65
56,0.45,0.4,0.4,0.5,0.4
57,0.55,0.45,0.55,0.55,0.4
58,0.45,0.25,0.5,0.65,0.5
59,0.25,0.05,0.4,0.55,0.75
60,0.6,0.3,0.55,0.45,0.55
61,0.65,0.5,0.3,0.4,0.4
62,0.65,0.5,0.55,0.5,0.45
63,0.55,0.5,0.4,0.35,0.75
64,0.6,0.5,0.35,0.55,0.8
65,0.5,0.45,0.3,0.55,0.6
66,0.4,0.45,0.35,0.4,0.7
67,0.6,0.5,0.35,0.4,0.8
68,0.5,0.4,0.45,0.4,0.4
69,0.4,0.1,0.55,0.3,0.35
70,0.35,0.25,0.4,0.55,0.5
71,0.15,0.3,0.35,0.45,0.4
72,0.3,0.45,0.35,0.5,0.6
73,0.35,0.2,0.55,0.65,0.6
74,0.35,0.3,0.4,0.6,0.25
75,0.3,0.6,0.15,0.65,0.4
76,0.5,0.4,0.35,0.5,0.25
77,0.55,0.2,0.4,0.3,0.3
78,0.5,0.25,0.45,0.35,0.3
79,0.35,0.1,0.35,0.45,0.4
80,0.6,0.2,0.45,0.3,0.35
81,0.4,0.05,0.45,0.4,0.25
82,0.35,0.55,0.45,0.35,0.6
83,0.25,0.6,0.4,0.3,0.7
84,0.45,0.3,0.35,0.25,0.75
85,0.55,0.6,0.5,0.2,0.6
86,0.7,0.7,0.4,0.25,0.5
87,0.65,0.85,0.4,0.5,0.35
88,0.6,0.75,0.4,0.5,0.35
89,0.5,0.55,0.5,0.6,0.3
90,0.35,0.55,0.3,0.4,0.3
91,0.45,0.5,0.65,0.75,0.25
92,0.45,0.3,0.25,0.6,0.45
93,0.3,0.3,0.25,0.55,0.5
94,0.25,0.5,0.45,0.45,0.7
95,0.3,0.55,0.35,0.6,0.75
96,0.4,0.25,0.25,0.65,0.55
97,0.4,0.2,0.3,0.5,0.7
98,0.4,0.35,0.4,0.45,0.5
99,0.6,0.5,0.25,0.65,0.5
