Generation,Ave_Fitness,Std_Fitness,Ave_Threshold,Std_Threhold
0,2.94025296652135,7.471418187958883,5.86593486987227,4.4287060830753715
1,7.358820828604896,7.507877185009815,5.478113895007531,3.9679337298136996
2,5.057333282715947,6.592973239122991,4.585202878707385,3.855584255607693
3,8.847246071540605,7.244465534165878,4.961126457808076,5.07915556790024
4,6.688159236370557,6.847674777753275,5.12345670239759,5.114031613910138
5,8.755616518318254,5.702527771432809,5.746611672428417,4.288805437205895
6,8.294711246966036,7.067882228786397,5.608165137849913,5.164118056311425
7,10.4179863720953,7.869558208765644,5.369913884745672,3.8498016452834096
8,10.411561079988136,7.7230689801723695,4.952987415362277,4.829410116603378
9,8.645129648556468,7.528104710904231,6.379528419816713,4.492922464857675
10,11.909665541566685,6.883679715004474,5.552280578378715,3.3135547724792236
11,12.218416089406386,7.104895326113108,5.494860051059883,4.053734099473899
12,7.3698042457276145,7.171560850024131,4.720735099274393,3.6208850837573396
13,6.654872429565854,6.849610886553979,3.8592265462345687,3.4057851143672697
14,6.460480126965005,5.7358903631199905,3.99295117018168,2.9332162312052366
15,7.997748672383034,11.359683441840538,5.652863773544184,5.456805923002617
16,11.410771380547612,9.081399149564353,4.667381272439485,5.253867933249341
17,9.928577606521568,8.714129559282442,5.6150654438175955,3.706841623327466
18,6.292688802395389,6.807308951314965,3.117493295760825,4.480617928165625
19,10.152080577879044,7.626682966753792,4.479031980405301,4.293502639076047
20,9.932133579136927,5.697638552134956,5.14702749281213,4.842150913569994
21,10.743307900571425,6.706666757466682,6.1687919537901035,3.9356038140764773
22,8.345876232972333,6.687940045341422,5.150222697161667,4.903705798452891
23,10.53251893024619,7.60083940867208,6.113244687099888,3.2345897950264937
24,9.442693550002733,8.211664957573458,5.531827742002433,4.473525914764882
25,9.678941438291316,4.710196760779686,5.539758521344526,2.930549834270964
26,10.66678721321166,6.480346742652542,6.484433998105371,4.66328338395407
27,7.095876918943906,5.738635405107018,6.070471843724252,4.07643088285242
28,8.069862717910183,6.191737807278001,4.5652981032559,3.6596490728792985
29,7.763934569815826,6.6963060552451585,4.670093789993455,3.0072437489127233
30,9.707709722449206,10.114189525796641,4.362515182653419,4.104072013093084
31,8.764363033751858,7.8924314841291645,4.149208536037209,4.523707184679857
32,6.663857205959902,6.434609711412905,3.4507451837561454,4.639385805943303
33,8.855455871834318,9.34012994473359,6.918124021753177,5.60906832414895
34,9.88483324759282,6.4036875550502925,5.293782802826227,3.5834649716133855
35,7.345186434498181,4.725362929383122,5.331826162542624,3.3083547022651656
36,7.498319415780349,6.243510144264835,4.2684229127692195,3.3206027251560304
37,8.856135353544847,8.070188051182932,5.507507348321529,4.086084065089249
38,11.711794459138394,6.17866429912154,6.481847591676873,4.108179201012315
39,12.41565968938089,7.669357029495408,5.555242687632296,4.94121934222487
40,5.78194969896475,9.12618591656152,3.172481208924664,5.273567084364441
41,7.989207235459351,5.503148929659289,3.944750425699661,3.688908567837349
42,8.577149549012853,8.916430308213176,4.8676433768150575,4.06263296741896
43,10.615658883300982,8.394305371574825,5.712816878166679,3.733104604391281
44,9.023777146740859,7.244263264796009,4.129792066885772,4.259201659146378
45,9.00809285301538,7.815840342696143,4.140967512287309,3.3958630405351893
46,9.803922040124325,7.766023462224191,5.3544042194877,4.759895051536932
47,8.353468866212244,6.46679934636973,3.976741043256554,5.544212731224971
48,8.824940283800057,9.817630625732,3.9602282152567376,4.091686114281948
49,6.037522899229823,5.069139190416079,2.7345187983376,3.2721881310513115
50,5.90045814709787,7.13190466128029,4.124012150182922,3.4583502433013535
51,10.727482907416563,7.274898196042595,6.505172140679241,3.015540487960328
52,13.050818022647334,8.0703464866665,6.02341158429943,4.857251944151188
53,11.006932103633417,7.09394611312857,5.785803244725094,5.103072952286875
54,10.479387965113165,6.5262408505094935,5.603818983789198,4.044135496887727
55,7.281561273104096,7.921485740662659,4.4169728198602405,4.425476608650351
56,8.331494252865081,5.9445399704270185,6.057994012987749,4.770621822294132
57,6.996644161132667,6.170447112027403,3.215094342273884,4.725117312983814
58,8.27402309471952,7.61194217748567,5.1063369529815725,4.815663497792637
59,11.573104292780098,5.8435926757769,5.455469977583731,4.210855359234632
60,7.7166190864833855,4.6936272024465895,3.8552279397090445,2.697549953075897
61,11.511110131069774,7.3047883022071,3.9518525187949956,4.199439884517608
62,9.459348099509622,10.364011865325937,4.357780773205039,5.736492914386082
63,12.362281432716253,4.554044742334922,5.104049365942887,3.0492141943752715
64,11.017510727911645,8.263988755280712,5.615116816550867,4.092339037671064
65,7.580880451692321,7.5022939663282955,4.781961869495126,4.613194167225864
66,6.659739006759952,7.147509742762638,3.3756444047927565,4.352239906676502
67,7.282716128143376,5.048642173864365,6.1054039524233215,4.647435784591015
68,11.1776396000833,9.21502865565396,7.527590213423101,4.496236767490289
69,10.328805762983928,9.440107070827642,5.3690646597553,4.0239740610038375
70,8.733430811424203,5.634822047233243,5.4370905526762385,4.408758638055884
71,11.090072521778943,6.05537255992498,5.420887357516862,3.452741987510891
72,9.307706910126338,8.327289568392905,4.411103273995059,4.685491475822703
73,8.166557474693834,6.980138067633832,5.767663621832721,4.538617452496815
74,8.957351923729382,5.430621171111549,4.955317778389439,3.8080448316619018
75,9.75380940827092,6.109649238481065,3.9942905584291255,2.9771446732315283
76,6.170124490415357,6.179344335412776,3.8596827600390298,3.1906915389054498
77,9.76609543387264,8.362247202561756,5.045236159810935,4.370920433743071
78,8.0673863788575,5.836429818652806,3.7104208858410033,3.790388941429789
79,10.168681517565654,6.595736200222813,5.837733863831407,5.01384486571714
80,10.022982411866359,8.458477093252942,5.3455201878537455,4.623777099687835
81,8.343737151495656,6.519554059730078,3.033181835883334,4.639359283766259
82,9.281978430882944,8.0979001578955,5.082413347346555,4.486266177942237
83,6.739320257491802,4.640755968718198,6.307711306651477,4.124903908336641
84,7.141459987329301,5.354814438043202,3.5595962276636492,4.062340476370135
85,10.47780724159124,7.318507303904793,6.8209825945904985,4.364083057694515
86,11.37055908630342,7.511791510656542,6.699289360575226,5.113877519922609
87,6.754416906688874,6.558544802938952,2.67467931518283,3.1647608585523344
88,9.20956114005045,5.763079817544989,4.3779403845762435,4.175914350030424
89,6.683871329622962,8.899067367385438,3.7516190506574114,4.02247388071887
90,8.403572642776862,7.763566219323638,3.367495931778648,3.344079955476177
91,6.450119665114339,6.676325209301286,3.115051411440713,4.683655021121788
92,10.649577707941786,7.569003623276969,7.149098051379954,4.920781538939558
93,8.945982339290698,5.832460111827793,5.85112594753407,2.7985845606154665
94,7.156281245935679,6.839701170297464,4.087567385371893,4.833493164022582
95,9.1993736178503,8.107405444589245,4.996306629468373,3.219728851968393
96,4.14830148864465,7.596956208377915,4.085134239907209,5.726095670704306
97,7.2423511018069275,6.683841565268388,4.301386868768767,4.062656864514309
98,9.02014923982622,5.259715630232595,4.7765975812899155,4.207842305673003
99,9.33640432461134,6.391651835756095,5.997867502503267,4.0937057803112475
