Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.5,0.45,0.35,0.6,0.2
1,0.45,0.35,0.6,0.5,0.2
2,0.65,0.75,0.6,0.4,0.2
3,0.8,0.6,0.5,0.45,0.45
4,0.7,0.45,0.2,0.6,0.35
5,0.6,0.3,0.05,0.6,0.25
6,0.45,0.3,0.4,0.55,0.5
7,0.4,0.15,0.35,0.25,0.65
8,0.25,0.4,0.3,0.2,0.5
9,0.25,0.5,0.3,0.35,0.35
10,0.35,0.45,0.3,0.5,0.2
11,0.2,0.5,0.25,0.5,0.55
12,0.2,0.65,0.2,0.55,0.5
13,0.2,0.65,0.35,0.55,0.55
14,0.35,0.4,0.4,0.4,0.75
15,0.4,0.45,0.6,0.5,0.75
16,0.6,0.6,0.45,0.3,0.3
17,0.35,0.5,0.7,0.3,0.2
18,0.35,0.6,0.45,0.45,0.45
19,0.5,0.55,0.4,0.35,0.4
20,0.4,0.45,0.6,0.45,0.45
21,0.25,0.6,0.45,0.45,0.35
22,0.3,0.45,0.55,0.4,0.3
23,0.35,0.65,0.55,0.6,0.4
24,0.15,0.4,0.6,0.55,0.5
25,0.25,0.45,0.5,0.35,0.4
26,0.3,0.45,0.4,0.55,0.25
27,0.5,0.45,0.35,0.55,0.15
28,0.55,0.5,0.45,0.55,0.3
29,0.45,0.55,0.35,0.35,0.1
30,0.55,0.45,0.35,0.45,0.35
31,0.45,0.3,0.45,0.5,0.7
32,0.55,0.6,0.65,0.8,0.65
33,0.5,0.35,0.55,0.7,0.6
34,0.4,0.25,0.4,0.7,0.45
35,0.35,0.3,0.5,0.8,0.45
36,0.4,0.5,0.4,0.8,0.4
37,0.45,0.5,0.3,0.7,0.2
38,0.15,0.5,0.2,0.7,0.25
39,0.2,0.55,0.3,0.75,0.3
40,0.3,0.5,0.4,0.7,0.5
41,0.6,0.4,0.4,0.55,0.45
42,0.55,0.5,0.3,0.4,0.25
43,0.75,0.35,0.3,0.55,0.25
44,0.8,0.4,0.4,0.6,0.35
45,0.65,0.35,0.7,0.6,0.35
46,0.45,0.55,0.6,0.5,0.35
47,0.3,0.6,0.25,0.4,0.45
48,0.45,0.55,0.3,0.5,0.55
49,0.4,0.65,0.65,0.7,0.65
50,0.65,0.55,0.6,0.65,0.65
51,0.6,0.5,0.55,0.45,0.6
52,0.7,0.75,0.55,0.55,0.5
53,0.55,0.65,0.45,0.45,0.55
54,0.5,0.6,0.35,0.2,0.55
55,0.5,0.5,0.65,0.2,0.5
56,0.4,0.75,0.85,0.4,0.65
57,0.25,0.8,0.8,0.4,0.4
58,0.4,0.8,0.85,0.5,0.35
59,0.1,0.65,0.8,0.65,0.45
60,0.2,0.6,0.8,0.35,0.4
61,0.3,0.6,0.45,0.5,0.4
62,0.6,0.65,0.4,0.5,0.25
63,0.9,0.5,0.55,0.35,0.2
64,0.5,0.35,0.6,0.4,0.45
65,0.55,0.5,0.65,0.35,0.65
66,0.5,0.45,0.75,0.4,0.55
67,0.5,0.45,0.25,0.25,0.7
68,0.35,0.45,0.3,0.35,0.65
69,0.55,0.3,0.55,0.4,0.4
70,0.25,0.4,0.6,0.45,0.4
71,0.25,0.6,0.55,0.5,0.3
72,0.5,0.7,0.85,0.55,0.55
73,0.4,0.55,0.65,0.5,0.5
74,0.5,0.45,0.6,0.3,0.65
75,0.75,0.65,0.5,0.2,0.6
76,0.4,0.75,0.65,0.25,0.8
77,0.35,0.8,0.35,0.2,0.5
78,0.1,0.7,0.35,0.1,0.4
79,0.25,0.6,0.25,0.3,0.5
80,0.2,0.55,0.5,0.3,0.45
81,0.5,0.5,0.65,0.55,0.35
82,0.4,0.7,0.45,0.75,0.5
83,0.25,0.55,0.45,0.55,0.2
84,0.45,0.55,0.4,0.35,0.4
85,0.8,0.55,0.5,0.45,0.45
86,0.7,0.35,0.5,0.4,0.5
87,0.5,0.35,0.45,0.4,0.45
88,0.5,0.5,0.55,0.4,0.6
89,0.45,0.3,0.4,0.4,0.65
90,0.55,0.4,0.35,0.25,0.45
91,0.6,0.55,0.5,0.3,0.25
92,0.55,0.8,0.55,0.4,0.3
93,0.55,0.6,0.6,0.3,0.45
94,0.65,0.75,0.5,0.3,0.4
95,0.75,0.5,0.5,0.4,0.7
96,0.65,0.65,0.65,0.45,0.5
97,0.7,0.55,0.55,0.65,0.35
98,0.8,0.55,0.75,0.7,0.2
99,0.8,0.55,0.85,0.55,0.15
