Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.35,0.1,0.7,0.55,0.2,0.45,0.5,0.5,0.5,0.45
1,0.3,0.05,0.55,0.7,0.3,0.15,0.35,0.45,0.4,0.45
2,0.4,0.0,0.55,0.85,0.2,0.45,0.55,0.25,0.65,0.45
3,0.55,0.05,0.4,0.9,0.4,0.55,0.65,0.3,0.65,0.4
4,0.4,0.25,0.6,0.75,0.65,0.45,0.55,0.35,0.6,0.3
5,0.25,0.15,0.9,0.8,0.75,0.35,0.55,0.55,0.55,0.2
6,0.55,0.3,0.9,0.75,0.8,0.3,0.5,0.5,0.5,0.1
7,0.35,0.2,0.9,0.85,0.95,0.4,0.4,0.75,0.3,0.05
8,0.25,0.3,0.95,0.8,0.95,0.3,0.55,0.65,0.25,0.2
9,0.35,0.35,0.95,0.8,0.75,0.3,0.5,0.7,0.15,0.15
10,0.5,0.35,0.8,0.8,0.75,0.15,0.35,0.65,0.3,0.15
11,0.6,0.35,0.8,0.6,0.85,0.15,0.3,0.7,0.45,0.35
12,0.8,0.6,0.7,0.8,0.8,0.3,0.3,0.65,0.25,0.4
13,0.9,0.55,0.75,0.6,0.8,0.2,0.45,0.65,0.3,0.45
14,0.85,0.7,0.8,0.65,0.75,0.2,0.25,0.55,0.25,0.25
15,0.8,0.6,0.8,0.8,0.55,0.2,0.3,0.5,0.0,0.15
16,0.8,0.75,0.5,0.75,0.6,0.25,0.3,0.35,0.2,0.25
17,0.9,0.8,0.5,0.75,0.7,0.5,0.65,0.3,0.3,0.2
18,0.85,0.6,0.55,0.65,0.6,0.5,0.45,0.4,0.15,0.4
19,0.6,0.35,0.55,0.65,0.7,0.65,0.35,0.65,0.45,0.35
20,0.45,0.5,0.3,0.4,0.7,0.7,0.15,0.7,0.6,0.4
21,0.45,0.65,0.35,0.45,0.8,0.75,0.55,0.85,0.7,0.55
22,0.4,0.45,0.3,0.45,0.8,0.75,0.5,0.75,0.6,0.4
23,0.8,0.3,0.4,0.35,0.75,0.75,0.45,0.7,0.55,0.4
24,0.6,0.25,0.5,0.4,0.65,0.75,0.2,0.7,0.4,0.55
25,0.6,0.45,0.3,0.35,0.65,0.65,0.25,0.5,0.75,0.75
26,0.75,0.45,0.5,0.25,0.7,0.55,0.5,0.75,0.7,0.65
27,0.95,0.55,0.5,0.25,0.75,0.5,0.45,0.75,0.9,0.85
28,0.9,0.75,0.5,0.25,0.65,0.55,0.45,0.55,0.95,0.85
29,0.8,0.6,0.3,0.45,0.7,0.55,0.45,0.6,0.6,0.8
30,0.6,0.5,0.4,0.5,0.65,0.6,0.35,0.6,0.6,0.8
31,0.75,0.25,0.45,0.6,0.7,0.4,0.15,0.8,0.4,0.65
32,0.8,0.35,0.3,0.6,0.9,0.8,0.45,0.75,0.2,0.8
33,0.95,0.5,0.45,0.65,0.55,0.6,0.3,0.75,0.2,0.7
34,0.9,0.4,0.2,0.7,0.45,0.6,0.15,0.75,0.35,0.6
35,0.95,0.45,0.05,0.7,0.45,0.55,0.1,0.7,0.35,0.55
36,0.85,0.4,0.15,0.6,0.25,0.6,0.1,0.45,0.3,0.45
37,0.8,0.4,0.2,0.5,0.2,0.5,0.1,0.5,0.4,0.25
38,0.85,0.6,0.35,0.6,0.1,0.4,0.05,0.5,0.25,0.4
39,0.65,0.45,0.25,0.7,0.1,0.55,0.05,0.5,0.25,0.45
40,0.35,0.4,0.4,0.7,0.3,0.6,0.0,0.35,0.35,0.25
41,0.4,0.35,0.4,0.85,0.25,0.5,0.05,0.3,0.35,0.25
42,0.5,0.35,0.3,0.95,0.15,0.55,0.15,0.35,0.45,0.55
43,0.55,0.4,0.35,0.8,0.25,0.45,0.3,0.4,0.45,0.45
44,0.5,0.4,0.65,0.75,0.15,0.3,0.65,0.25,0.5,0.5
45,0.8,0.45,0.55,0.55,0.2,0.2,0.65,0.3,0.55,0.65
46,0.7,0.45,0.3,0.5,0.15,0.3,0.75,0.3,0.65,0.8
47,0.7,0.55,0.35,0.5,0.1,0.35,0.65,0.3,0.55,0.7
48,0.95,0.45,0.25,0.6,0.2,0.8,0.55,0.2,0.75,0.5
49,0.8,0.45,0.4,0.5,0.15,1.0,0.45,0.3,0.55,0.7
50,1.0,0.45,0.4,0.25,0.15,0.95,0.65,0.15,0.5,0.65
51,0.95,0.5,0.55,0.45,0.2,0.85,0.65,0.15,0.4,0.65
52,0.9,0.6,0.55,0.45,0.4,0.75,0.55,0.15,0.45,0.65
53,0.8,0.65,0.8,0.7,0.55,0.75,0.55,0.3,0.65,0.75
54,0.65,0.45,0.85,0.55,0.55,0.65,0.65,0.4,0.6,0.7
55,0.6,0.35,0.8,0.6,0.6,0.55,0.55,0.45,0.5,0.55
56,0.4,0.2,0.65,0.45,0.6,0.8,0.5,0.25,0.5,0.45
57,0.65,0.25,0.45,0.5,0.4,0.7,0.45,0.35,0.45,0.25
58,0.65,0.3,0.4,0.5,0.35,0.65,0.4,0.3,0.55,0.4
59,0.65,0.35,0.45,0.65,0.35,0.65,0.35,0.2,0.3,0.2
60,0.5,0.3,0.3,0.6,0.35,0.65,0.2,0.6,0.3,0.3
61,0.5,0.4,0.25,0.75,0.35,0.45,0.25,0.5,0.6,0.45
62,0.65,0.4,0.25,0.75,0.25,0.6,0.2,0.55,0.45,0.5
