Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
74,0.7,0.35,0.2,0.4,0.2,0.35,0.8,0.35,0.75,0.25
75,0.7,0.55,0.25,0.5,0.3,0.2,0.65,0.35,0.7,0.2
76,0.85,0.75,0.5,0.75,0.25,0.25,0.25,0.35,0.3,0.05
77,0.75,0.6,0.5,0.6,0.25,0.1,0.2,0.5,0.3,0.1
78,0.8,0.75,0.55,0.6,0.15,0.1,0.15,0.35,0.25,0.1
79,0.8,0.5,0.5,0.45,0.2,0.3,0.25,0.55,0.4,0.15
80,0.9,0.5,0.15,0.45,0.45,0.45,0.25,0.4,0.25,0.2
81,0.7,0.35,0.4,0.5,0.45,0.55,0.4,0.5,0.7,0.55
82,0.85,0.3,0.45,0.45,0.45,0.7,0.45,0.8,0.7,0.6
83,0.8,0.5,0.4,0.45,0.35,0.5,0.35,0.6,0.75,0.55
84,0.95,0.45,0.35,0.3,0.55,0.55,0.45,0.4,0.6,0.45
85,0.85,0.55,0.4,0.25,0.5,0.5,0.5,0.5,0.75,0.65
86,0.8,0.65,0.3,0.15,0.6,0.55,0.1,0.45,0.5,0.4
87,0.9,0.75,0.25,0.15,0.65,0.3,0.1,0.25,0.45,0.2
88,0.85,0.45,0.55,0.1,0.9,0.5,0.05,0.0,0.2,0.2
89,0.8,0.3,0.5,0.35,0.9,0.7,0.05,0.1,0.2,0.4
90,0.75,0.15,0.65,0.15,0.75,0.75,0.05,0.0,0.2,0.45
91,0.75,0.3,0.65,0.15,0.95,0.65,0.1,0.2,0.3,0.35
92,0.65,0.15,0.6,0.2,0.9,0.55,0.1,0.15,0.45,0.4
93,0.7,0.15,0.65,0.4,0.6,0.65,0.1,0.45,0.6,0.5
94,0.7,0.1,0.95,0.3,0.7,0.75,0.2,0.3,0.55,0.7
95,0.9,0.15,0.8,0.1,0.8,0.65,0.2,0.05,0.75,0.85
96,0.85,0.05,0.55,0.35,0.55,0.6,0.45,0.15,0.9,0.8
97,0.85,0.15,0.55,0.35,0.55,0.55,0.35,0.2,0.85,0.8
98,0.95,0.25,0.4,0.4,0.6,0.5,0.3,0.4,0.8,0.85
99,1.0,0.5,0.15,0.5,0.9,0.5,0.1,0.4,0.65,0.95
