Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.65,0.4,0.6,0.65,0.7,0.6,0.65,0.55,0.55,0.3
1,0.75,0.5,0.5,0.7,0.8,0.35,0.4,0.75,0.55,0.4
2,0.8,0.5,0.6,0.35,0.9,0.5,0.5,0.75,0.35,0.6
3,0.95,0.55,0.15,0.15,0.9,0.7,0.2,0.75,0.05,0.15
4,0.8,0.45,0.45,0.3,0.85,0.7,0.4,0.55,0.05,0.4
5,0.85,0.35,0.65,0.45,1.0,0.95,0.45,0.5,0.2,0.65
6,0.8,0.35,0.65,0.6,0.85,0.85,0.3,0.4,0.2,0.65
7,0.8,0.25,0.6,0.85,0.75,1.0,0.15,0.3,0.25,0.65
8,0.5,0.05,0.5,0.65,0.55,0.8,0.2,0.3,0.45,0.8
9,0.55,0.35,0.35,0.55,0.4,0.8,0.1,0.4,0.45,0.55
10,0.65,0.45,0.35,0.55,0.1,0.85,0.1,0.5,0.7,0.45
11,0.7,0.55,0.3,0.65,0.35,0.55,0.2,0.45,0.75,0.5
12,0.35,0.5,0.2,0.8,0.3,0.5,0.3,0.5,0.55,0.45
13,0.5,0.45,0.25,0.75,0.5,0.35,0.3,0.55,0.55,0.6
14,0.2,0.65,0.35,0.8,0.5,0.45,0.3,0.5,0.5,0.45
15,0.5,0.8,0.45,0.8,0.45,0.65,0.35,0.4,0.5,0.45
16,0.8,0.95,0.5,0.8,0.3,0.65,0.3,0.5,0.6,0.35
17,0.8,0.85,0.55,0.8,0.1,0.4,0.5,0.35,0.3,0.45
18,0.75,0.8,0.4,0.65,0.2,0.4,0.25,0.3,0.35,0.65
19,0.85,0.7,0.4,0.85,0.45,0.3,0.15,0.35,0.2,0.8
20,0.65,0.55,0.4,0.95,0.25,0.2,0.25,0.6,0.3,0.8
21,0.75,0.6,0.5,0.9,0.25,0.2,0.3,0.7,0.2,0.85
22,0.7,0.6,0.45,0.9,0.55,0.2,0.15,0.5,0.1,0.8
