Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.7,0.4,0.35,0.45,0.35
1,0.6,0.25,0.35,0.5,0.3
2,0.75,0.3,0.3,0.6,0.25
3,0.8,0.5,0.45,0.45,0.45
4,0.6,0.3,0.7,0.45,0.35
5,0.65,0.4,0.5,0.35,0.35
6,0.65,0.4,0.65,0.4,0.35
7,0.4,0.45,0.75,0.45,0.25
8,0.55,0.35,0.55,0.4,0.45
9,0.55,0.3,0.6,0.5,0.4
10,0.5,0.25,0.2,0.55,0.5
11,0.65,0.45,0.15,0.8,0.55
12,0.8,0.4,0.2,0.8,0.5
13,0.5,0.45,0.3,0.55,0.45
14,0.3,0.4,0.3,0.75,0.8
15,0.3,0.3,0.45,0.65,0.65
16,0.25,0.45,0.35,0.25,0.6
17,0.3,0.3,0.3,0.45,0.5
18,0.5,0.4,0.55,0.5,0.45
19,0.5,0.65,0.45,0.4,0.6
20,0.25,0.5,0.65,0.4,0.7
21,0.35,0.45,0.75,0.55,0.8
22,0.35,0.55,0.55,0.4,0.55
23,0.4,0.4,0.45,0.4,0.7
24,0.55,0.25,0.45,0.4,0.5
25,0.6,0.35,0.4,0.4,0.5
26,0.3,0.15,0.45,0.3,0.45
27,0.35,0.4,0.35,0.25,0.35
28,0.4,0.5,0.5,0.4,0.15
29,0.35,0.4,0.45,0.55,0.2
30,0.4,0.3,0.75,0.25,0.25
31,0.4,0.45,0.7,0.15,0.3
32,0.35,0.45,0.75,0.4,0.4
33,0.5,0.45,0.75,0.4,0.4
34,0.4,0.3,0.85,0.3,0.25
35,0.25,0.35,0.6,0.35,0.25
36,0.1,0.4,0.45,0.2,0.4
37,0.1,0.45,0.45,0.55,0.4
38,0.25,0.35,0.35,0.45,0.5
39,0.3,0.35,0.7,0.6,0.65
40,0.2,0.2,0.35,0.25,0.35
41,0.4,0.35,0.4,0.4,0.45
42,0.5,0.5,0.25,0.35,0.5
43,0.5,0.25,0.55,0.3,0.6
44,0.35,0.45,0.55,0.25,0.6
45,0.5,0.5,0.5,0.25,0.5
46,0.4,0.45,0.5,0.25,0.35
47,0.5,0.55,0.55,0.25,0.4
48,0.35,0.45,0.45,0.35,0.6
49,0.4,0.5,0.2,0.4,0.35
50,0.45,0.4,0.6,0.15,0.3
51,0.7,0.4,0.65,0.25,0.35
52,0.7,0.6,0.5,0.3,0.35
53,0.7,0.55,0.75,0.3,0.4
54,0.65,0.5,0.7,0.4,0.5
55,0.45,0.3,0.65,0.3,0.4
56,0.4,0.3,0.6,0.45,0.4
57,0.4,0.35,0.6,0.5,0.4
58,0.4,0.25,0.5,0.5,0.5
59,0.4,0.55,0.45,0.65,0.65
60,0.55,0.5,0.5,0.3,0.5
61,0.55,0.65,0.5,0.3,0.35
62,0.3,0.65,0.75,0.45,0.2
63,0.5,0.65,0.5,0.55,0.4
64,0.65,0.45,0.65,0.35,0.45
65,0.6,0.45,0.75,0.4,0.35
66,0.3,0.55,0.75,0.65,0.4
67,0.35,0.55,0.6,0.65,0.3
68,0.2,0.6,0.65,0.4,0.5
69,0.05,0.7,0.45,0.4,0.45
70,0.3,0.9,0.6,0.35,0.6
71,0.35,0.7,0.3,0.3,0.5
72,0.3,0.7,0.1,0.4,0.5
73,0.35,0.4,0.2,0.45,0.65
74,0.6,0.4,0.4,0.5,0.45
75,0.55,0.3,0.3,0.35,0.5
76,0.35,0.35,0.35,0.4,0.55
77,0.25,0.3,0.3,0.6,0.65
78,0.3,0.45,0.6,0.6,0.4
79,0.35,0.45,0.55,0.55,0.5
80,0.3,0.6,0.5,0.6,0.6
81,0.2,0.75,0.35,0.6,0.5
82,0.05,0.8,0.45,0.55,0.65
83,0.25,0.45,0.5,0.5,0.55
84,0.4,0.35,0.35,0.5,0.5
85,0.2,0.25,0.5,0.65,0.6
86,0.4,0.45,0.6,0.55,0.55
87,0.6,0.4,0.75,0.7,0.25
88,0.45,0.4,0.85,0.6,0.3
89,0.45,0.3,0.6,0.3,0.5
90,0.45,0.35,0.5,0.25,0.7
91,0.4,0.15,0.5,0.2,0.4
92,0.55,0.1,0.55,0.35,0.2
93,0.55,0.05,0.3,0.3,0.15
94,0.55,0.1,0.6,0.25,0.25
95,0.4,0.35,0.5,0.4,0.25
96,0.3,0.35,0.6,0.5,0.35
97,0.45,0.2,0.55,0.45,0.55
98,0.45,0.35,0.6,0.4,0.7
99,0.4,0.35,0.55,0.2,0.8
