Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.55,0.25,0.6,0.5,0.6,0.45,0.55,0.55,0.5,0.55,0.6,0.65,0.4,0.3,0.55,0.45,0.55,0.6,0.6,0.4
1,0.9,0.55,0.85,0.5,0.5,0.25,0.65,0.5,0.6,0.4,0.5,0.65,0.55,0.25,0.7,0.5,0.7,0.35,0.4,0.3
2,0.85,0.5,0.9,0.3,0.5,0.15,0.55,0.55,0.4,0.25,0.65,0.35,0.85,0.2,0.75,0.45,0.65,0.7,0.55,0.45
3,0.85,0.25,0.9,0.45,0.4,0.1,0.4,0.75,0.3,0.3,0.8,0.25,0.85,0.2,0.7,0.45,0.65,0.85,0.7,0.5
4,0.95,0.0,0.95,0.85,0.4,0.0,0.05,0.9,0.05,0.3,0.7,0.1,0.85,0.05,0.95,0.7,0.9,1.0,0.95,0.9
5,0.8,0.05,0.9,0.85,0.35,0.05,0.05,1.0,0.05,0.35,0.7,0.0,0.85,0.1,1.0,0.55,0.9,1.0,1.0,0.9
6,0.95,0.0,0.8,0.85,0.35,0.2,0.2,0.9,0.05,0.25,0.9,0.0,0.7,0.15,1.0,0.8,0.8,0.95,1.0,0.8
7,0.95,0.05,0.95,0.95,0.45,0.15,0.05,0.95,0.0,0.15,0.8,0.0,0.85,0.1,1.0,0.8,0.7,1.0,0.95,0.65
8,1.0,0.15,1.0,0.95,0.3,0.0,0.0,0.95,0.05,0.15,0.7,0.0,0.75,0.15,1.0,1.0,0.8,0.95,0.9,0.5
9,0.9,0.0,0.9,0.9,0.5,0.1,0.1,0.85,0.05,0.2,0.65,0.0,0.8,0.15,1.0,1.0,0.7,1.0,0.75,0.6
10,0.85,0.05,1.0,0.65,0.5,0.05,0.1,0.95,0.05,0.0,0.65,0.0,0.9,0.0,0.95,1.0,0.55,0.9,0.7,0.55
11,1.0,0.1,1.0,0.35,0.6,0.0,0.05,1.0,0.05,0.0,0.75,0.1,0.7,0.1,1.0,0.95,0.45,0.95,0.55,0.45
12,0.9,0.1,1.0,0.5,0.65,0.05,0.05,0.95,0.2,0.1,0.85,0.05,0.65,0.5,1.0,0.9,0.4,0.9,0.65,0.5
13,1.0,0.2,0.9,0.5,0.6,0.05,0.15,0.85,0.1,0.1,0.85,0.05,0.8,0.35,0.9,0.7,0.4,0.85,0.55,0.5
14,1.0,0.1,0.9,0.45,0.45,0.2,0.0,0.95,0.1,0.2,0.8,0.05,0.85,0.3,0.85,0.45,0.15,0.95,0.45,0.55
15,1.0,0.2,0.9,0.35,0.55,0.25,0.0,0.85,0.05,0.35,0.65,0.1,0.9,0.55,0.65,0.3,0.25,0.85,0.45,0.6
16,0.95,0.1,0.9,0.3,0.45,0.2,0.1,0.7,0.05,0.25,0.8,0.1,0.7,0.3,0.7,0.15,0.55,0.7,0.25,0.65
17,1.0,0.2,1.0,0.3,0.55,0.3,0.1,0.65,0.15,0.35,0.7,0.05,0.8,0.35,0.8,0.2,0.65,0.65,0.35,0.6
18,0.95,0.45,0.95,0.5,0.7,0.05,0.3,0.7,0.2,0.2,0.8,0.2,1.0,0.3,0.95,0.25,0.75,0.75,0.5,0.35
19,0.8,0.35,1.0,0.4,0.5,0.0,0.35,0.5,0.05,0.3,0.6,0.3,1.0,0.2,0.95,0.1,0.65,0.8,0.35,0.45
20,0.9,0.65,0.95,0.7,0.7,0.0,0.65,0.75,0.1,0.2,0.65,0.65,0.9,0.05,0.9,0.35,0.85,0.95,0.65,0.2
21,0.55,0.6,0.95,0.55,0.6,0.0,0.6,0.55,0.0,0.4,0.65,0.6,0.9,0.05,0.9,0.5,0.6,0.95,0.5,0.15
22,0.45,0.55,1.0,0.4,0.55,0.1,0.55,0.55,0.0,0.35,0.6,0.75,0.85,0.2,1.0,0.55,0.7,0.85,0.45,0.25
23,0.5,0.65,0.95,0.35,0.55,0.3,0.7,0.65,0.1,0.35,0.65,0.75,0.8,0.15,1.0,0.8,0.8,0.95,0.4,0.45
24,0.7,0.6,0.9,0.5,0.3,0.2,0.7,0.6,0.05,0.35,0.5,0.65,0.75,0.05,0.9,0.95,0.85,0.9,0.4,0.7
25,0.95,0.5,0.85,0.35,0.15,0.25,0.6,0.5,0.05,0.5,0.4,0.45,0.75,0.1,0.85,0.95,0.85,0.85,0.35,0.6
26,0.95,0.6,0.9,0.3,0.3,0.2,0.5,0.5,0.05,0.6,0.35,0.35,0.45,0.0,0.85,0.9,0.95,0.8,0.25,0.4
27,0.8,0.6,0.95,0.45,0.35,0.2,0.55,0.45,0.1,0.25,0.45,0.55,0.65,0.0,0.9,0.85,0.8,0.8,0.3,0.5
28,0.95,0.35,0.85,0.2,0.2,0.2,0.25,0.25,0.15,0.5,0.35,0.2,0.4,0.0,0.9,0.55,0.8,0.85,0.15,0.3
29,0.85,0.25,0.9,0.3,0.0,0.0,0.15,0.2,0.05,0.35,0.3,0.15,0.3,0.0,0.85,0.45,0.85,0.9,0.25,0.3
30,0.8,0.2,0.8,0.25,0.0,0.05,0.25,0.2,0.05,0.25,0.2,0.25,0.15,0.1,0.8,0.5,0.75,0.85,0.1,0.4
31,0.95,0.2,0.55,0.2,0.05,0.05,0.1,0.1,0.1,0.2,0.1,0.15,0.1,0.15,0.7,0.55,0.75,0.9,0.05,0.3
32,1.0,0.15,0.5,0.15,0.1,0.1,0.15,0.05,0.05,0.2,0.1,0.0,0.4,0.15,0.8,0.75,0.8,0.7,0.05,0.55
33,0.95,0.25,0.15,0.1,0.0,0.0,0.3,0.1,0.1,0.25,0.0,0.05,0.45,0.05,0.75,0.8,0.7,0.7,0.1,0.7
34,0.8,0.35,0.0,0.15,0.05,0.05,0.15,0.15,0.1,0.5,0.0,0.15,0.4,0.4,0.9,0.9,0.85,0.9,0.1,0.65
