Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.45,0.6,0.6,0.4,0.5,0.2,0.5,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.55,0.45,0.6,0.5,0.4,0.5
1,0.3,0.85,0.55,0.7,0.45,0.1,0.5,0.5,0.45,0.55,0.55,0.4,0.55,0.45,0.75,0.05,0.5,0.55,0.35,0.25
2,0.2,0.75,0.8,0.4,0.65,0.2,0.15,0.8,0.6,0.25,0.7,0.65,0.65,0.5,0.8,0.0,0.25,0.65,0.55,0.6
3,0.25,0.8,0.9,0.5,0.5,0.2,0.35,0.65,0.45,0.3,0.5,0.4,0.55,0.2,0.75,0.1,0.55,0.75,0.4,0.45
4,0.2,0.9,0.75,0.25,0.8,0.45,0.5,0.75,0.45,0.25,0.6,0.7,0.9,0.55,0.9,0.35,0.6,0.35,0.6,0.7
5,0.1,0.95,0.6,0.2,0.9,0.6,0.55,0.9,0.4,0.3,0.7,1.0,0.7,0.65,0.85,0.4,0.5,0.15,0.7,0.95
6,0.2,0.75,0.6,0.55,0.75,0.55,0.7,0.7,0.3,0.2,0.8,1.0,0.8,0.7,0.75,0.15,0.35,0.35,0.9,0.95
7,0.15,0.65,0.55,0.55,0.6,0.35,0.65,0.6,0.25,0.35,0.75,1.0,0.9,0.35,0.55,0.35,0.4,0.45,0.85,0.85
8,0.05,0.65,0.55,0.7,0.45,0.3,0.6,0.6,0.35,0.5,0.55,0.95,0.65,0.5,0.5,0.2,0.2,0.5,0.8,0.7
9,0.35,0.65,0.75,0.5,0.35,0.25,0.5,0.5,0.3,0.6,0.55,0.95,0.9,0.15,0.7,0.25,0.2,0.45,0.8,0.95
10,0.55,0.75,0.65,0.6,0.25,0.2,0.7,0.7,0.4,0.7,0.35,0.95,0.9,0.2,0.4,0.35,0.05,0.7,0.75,0.9
11,0.45,0.75,0.65,0.6,0.25,0.2,0.6,0.6,0.4,0.8,0.45,0.75,1.0,0.25,0.6,0.25,0.05,0.6,0.7,1.0
12,0.4,0.7,0.75,0.4,0.3,0.15,0.35,0.5,0.45,0.7,0.65,0.75,1.0,0.25,0.55,0.3,0.1,0.45,0.75,0.95
13,0.35,0.8,1.0,0.5,0.45,0.2,0.2,0.6,0.35,0.7,0.6,0.85,1.0,0.45,0.75,0.1,0.1,0.5,0.75,0.8
14,0.1,0.9,0.95,0.75,0.35,0.3,0.35,0.3,0.5,0.5,0.45,0.85,1.0,0.7,0.85,0.05,0.15,0.65,0.7,0.7
15,0.15,0.85,0.9,0.8,0.55,0.55,0.6,0.3,0.3,0.7,0.3,0.7,0.9,0.9,0.9,0.05,0.25,1.0,0.4,0.8
16,0.0,1.0,0.75,0.75,1.0,0.8,0.7,0.1,0.2,0.75,0.25,0.5,0.8,0.95,0.85,0.1,0.0,1.0,0.2,0.9
17,0.05,0.9,0.8,0.7,0.9,0.8,0.8,0.05,0.2,0.8,0.25,0.5,0.85,0.95,1.0,0.05,0.1,0.9,0.25,0.9
18,0.3,1.0,0.7,0.75,0.85,0.75,0.85,0.1,0.2,0.75,0.3,0.55,0.8,0.95,0.85,0.15,0.25,0.95,0.35,0.85
19,0.2,0.9,0.7,0.6,0.85,0.55,0.75,0.2,0.35,0.7,0.5,0.45,0.9,0.95,0.9,0.15,0.3,0.85,0.5,0.65
20,0.2,0.7,0.75,0.75,0.9,0.65,0.85,0.3,0.3,0.75,0.5,0.75,0.8,0.9,0.65,0.15,0.15,0.55,0.45,0.65
21,0.3,0.6,0.8,0.8,0.7,0.7,0.9,0.4,0.4,0.75,0.6,0.55,0.8,1.0,0.4,0.15,0.25,0.7,0.45,0.6
22,0.3,0.65,0.75,0.6,0.8,0.7,0.9,0.2,0.4,0.55,0.6,0.7,0.7,0.95,0.4,0.3,0.1,0.6,0.35,0.85
23,0.4,0.4,0.55,0.4,0.75,0.5,0.95,0.1,0.6,0.15,0.7,0.7,0.35,0.85,0.4,0.6,0.2,0.7,0.6,0.95
