Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.6,0.65,0.35,0.45,0.4
1,0.3,0.45,0.6,0.45,0.5
2,0.3,0.5,0.35,0.45,0.55
3,0.3,0.65,0.35,0.35,0.6
4,0.4,0.65,0.55,0.5,0.45
5,0.35,0.6,0.65,0.3,0.7
6,0.35,0.55,0.65,0.4,0.65
7,0.35,0.4,0.45,0.3,0.7
8,0.25,0.45,0.3,0.55,0.6
9,0.3,0.5,0.2,0.5,0.75
10,0.55,0.5,0.2,0.25,0.75
11,0.55,0.5,0.3,0.45,0.55
12,0.5,0.75,0.3,0.5,0.5
13,0.65,0.75,0.45,0.65,0.6
14,0.45,0.5,0.45,0.55,0.6
15,0.4,0.4,0.45,0.35,0.4
16,0.55,0.35,0.45,0.5,0.1
17,0.95,0.1,0.5,0.4,0.35
18,0.75,0.3,0.5,0.2,0.35
19,0.6,0.35,0.65,0.2,0.45
20,0.55,0.45,0.65,0.3,0.35
21,0.5,0.5,0.5,0.25,0.35
22,0.35,0.45,0.55,0.45,0.55
23,0.5,0.55,0.6,0.45,0.55
24,0.45,0.65,0.5,0.55,0.45
25,0.55,0.45,0.25,0.45,0.35
26,0.5,0.5,0.65,0.35,0.25
27,0.55,0.65,0.45,0.3,0.4
28,0.75,0.75,0.4,0.25,0.35
29,0.65,0.65,0.3,0.2,0.55
30,0.6,0.55,0.2,0.4,0.55
31,0.4,0.75,0.2,0.25,0.55
32,0.3,0.6,0.1,0.4,0.5
33,0.35,0.45,0.25,0.4,0.3
34,0.25,0.5,0.25,0.35,0.35
35,0.3,0.55,0.2,0.4,0.55
36,0.5,0.5,0.4,0.4,0.35
37,0.2,0.45,0.3,0.4,0.3
38,0.1,0.65,0.5,0.55,0.5
39,0.2,0.6,0.4,0.7,0.35
40,0.3,0.6,0.3,0.5,0.25
41,0.25,0.5,0.3,0.3,0.3
42,0.5,0.6,0.45,0.4,0.65
43,0.45,0.6,0.6,0.2,0.75
44,0.3,0.6,0.6,0.35,0.6
45,0.45,0.15,0.6,0.55,0.45
46,0.55,0.3,0.85,0.6,0.55
47,0.8,0.45,0.7,0.65,0.95
48,0.8,0.55,0.65,0.45,0.9
49,0.6,0.5,0.6,0.45,0.8
50,0.55,0.65,0.6,0.6,0.7
51,0.35,0.5,0.6,0.65,0.5
52,0.2,0.45,0.4,0.65,0.4
53,0.35,0.65,0.55,0.7,0.2
54,0.4,0.7,0.5,0.65,0.5
55,0.6,0.55,0.5,0.75,0.5
56,0.75,0.55,0.35,0.6,0.4
57,0.7,0.6,0.45,0.45,0.4
58,0.45,0.6,0.3,0.6,0.4
59,0.5,0.55,0.4,0.4,0.25
60,0.55,0.5,0.45,0.25,0.3
61,0.4,0.45,0.5,0.1,0.3
62,0.4,0.4,0.4,0.4,0.2
63,0.35,0.5,0.35,0.5,0.35
64,0.55,0.35,0.4,0.35,0.3
65,0.55,0.35,0.3,0.5,0.4
66,0.45,0.35,0.15,0.55,0.5
67,0.25,0.45,0.3,0.7,0.45
68,0.5,0.4,0.5,0.45,0.35
69,0.55,0.4,0.5,0.55,0.4
70,0.4,0.3,0.5,0.5,0.6
71,0.45,0.65,0.35,0.35,0.4
72,0.6,0.6,0.6,0.55,0.4
73,0.65,0.35,0.25,0.45,0.4
74,0.65,0.25,0.4,0.55,0.35
75,0.65,0.45,0.4,0.5,0.5
76,0.65,0.45,0.3,0.6,0.35
77,0.55,0.4,0.5,0.6,0.3
78,0.6,0.4,0.35,0.55,0.35
79,0.35,0.25,0.35,0.65,0.35
80,0.45,0.6,0.5,0.55,0.3
81,0.25,0.5,0.45,0.5,0.2
82,0.25,0.65,0.6,0.6,0.2
83,0.65,0.5,0.55,0.7,0.3
84,0.55,0.6,0.5,0.75,0.25
85,0.35,0.45,0.55,0.7,0.2
86,0.45,0.35,0.45,0.55,0.25
87,0.6,0.45,0.2,0.7,0.25
88,0.65,0.65,0.25,0.75,0.45
89,0.45,0.5,0.3,0.55,0.55
90,0.25,0.25,0.35,0.4,0.3
91,0.3,0.35,0.35,0.45,0.35
92,0.4,0.5,0.45,0.55,0.55
93,0.15,0.6,0.7,0.75,0.5
94,0.3,0.4,0.55,0.55,0.55
95,0.45,0.5,0.5,0.4,0.7
96,0.55,0.65,0.5,0.2,0.6
97,0.75,0.75,0.6,0.35,0.65
98,0.85,0.55,0.55,0.4,0.45
99,0.85,0.6,0.7,0.5,0.5
