Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.55,0.5,0.5,0.7,0.7,0.4,0.6,0.3,0.5,0.45
1,0.65,0.45,0.45,0.65,0.5,0.3,0.6,0.3,0.8,0.65
2,0.55,0.6,0.35,0.75,0.3,0.3,0.7,0.05,0.4,0.6
3,0.45,0.55,0.15,0.65,0.45,0.2,0.45,0.2,0.5,0.65
4,0.35,0.45,0.25,0.55,0.45,0.25,0.1,0.3,0.4,0.45
5,0.25,0.55,0.1,0.3,0.5,0.5,0.1,0.15,0.5,0.25
6,0.3,0.2,0.2,0.65,0.6,0.3,0.25,0.25,0.55,0.25
7,0.35,0.45,0.2,0.55,0.45,0.4,0.2,0.6,0.35,0.35
8,0.55,0.4,0.2,0.55,0.3,0.2,0.25,0.5,0.4,0.05
9,0.45,0.5,0.1,0.45,0.2,0.15,0.3,0.4,0.55,0.05
10,0.5,0.55,0.1,0.4,0.45,0.3,0.45,0.45,0.6,0.25
11,0.4,0.65,0.2,0.45,0.7,0.5,0.6,0.8,0.7,0.3
12,0.65,0.5,0.4,0.5,0.8,0.55,0.6,0.7,0.55,0.2
13,0.85,0.6,0.2,0.45,0.6,0.25,0.45,0.6,0.35,0.3
14,0.85,0.65,0.1,0.4,0.55,0.45,0.45,0.4,0.35,0.45
15,0.85,0.75,0.0,0.3,0.55,0.45,0.35,0.35,0.4,0.25
16,0.7,0.55,0.15,0.15,0.6,0.45,0.35,0.6,0.3,0.55
17,0.8,0.45,0.4,0.4,0.45,0.4,0.4,0.45,0.45,0.5
18,0.6,0.3,0.4,0.55,0.55,0.35,0.55,0.5,0.45,0.55
19,0.55,0.4,0.45,0.85,0.75,0.2,0.5,0.65,0.2,0.7
20,0.55,0.25,0.45,0.9,0.6,0.2,0.65,0.55,0.2,0.6
21,0.5,0.2,0.25,0.8,0.45,0.3,0.5,0.75,0.4,0.7
22,0.5,0.3,0.45,0.8,0.7,0.35,0.4,0.65,0.4,0.65
23,0.5,0.15,0.55,0.6,0.8,0.3,0.45,0.55,0.3,0.55
24,0.55,0.15,0.5,0.6,0.75,0.35,0.45,0.55,0.35,0.65
25,0.6,0.45,0.4,0.4,0.6,0.25,0.45,0.45,0.55,0.65
26,0.85,0.7,0.35,0.7,0.7,0.2,0.5,0.25,0.55,0.6
27,0.7,0.6,0.5,0.85,0.85,0.25,0.6,0.3,0.3,0.75
28,0.75,0.6,0.25,0.75,0.9,0.25,0.65,0.65,0.2,0.6
29,0.7,0.8,0.3,0.55,0.8,0.2,0.6,0.8,0.25,0.35
30,0.8,0.6,0.2,0.45,0.95,0.0,0.65,0.9,0.25,0.15
31,0.7,0.45,0.3,0.4,0.95,0.15,0.65,0.85,0.55,0.25
32,0.55,0.45,0.35,0.3,0.95,0.2,0.45,0.8,0.7,0.4
33,0.7,0.3,0.25,0.5,0.8,0.1,0.4,0.8,0.75,0.3
34,0.75,0.45,0.2,0.55,0.7,0.2,0.4,0.85,0.6,0.25
35,0.85,0.25,0.45,0.4,0.55,0.1,0.3,0.6,0.8,0.55
36,0.7,0.3,0.4,0.6,0.45,0.2,0.2,0.45,0.75,0.3
37,0.65,0.35,0.3,0.7,0.4,0.3,0.15,0.4,0.85,0.3
38,0.65,0.7,0.2,0.65,0.2,0.15,0.2,0.2,0.7,0.35
39,0.6,0.65,0.3,0.5,0.35,0.05,0.25,0.25,0.45,0.3
40,0.95,0.4,0.15,0.15,0.7,0.05,0.15,0.65,0.35,0.25
41,0.85,0.35,0.0,0.05,0.5,0.0,0.25,0.75,0.55,0.2
42,0.85,0.55,0.1,0.2,0.5,0.15,0.35,0.85,0.5,0.3
43,0.9,0.6,0.15,0.3,0.3,0.2,0.35,0.65,0.5,0.3
44,0.7,0.8,0.2,0.25,0.15,0.3,0.35,0.6,0.45,0.3
45,0.9,0.8,0.25,0.05,0.35,0.25,0.25,0.6,0.5,0.25
46,0.8,0.85,0.3,0.05,0.3,0.2,0.35,0.7,0.2,0.3
47,0.9,0.85,0.35,0.25,0.4,0.2,0.55,0.65,0.15,0.45
48,0.85,0.8,0.2,0.25,0.65,0.15,0.55,0.75,0.3,0.45
49,0.7,0.85,0.45,0.55,0.45,0.2,0.5,0.75,0.35,0.45
50,0.7,0.65,0.2,0.65,0.4,0.35,0.4,0.55,0.3,0.4
51,0.7,0.3,0.15,0.75,0.15,0.75,0.1,0.75,0.2,0.35
52,0.6,0.25,0.25,0.7,0.2,0.7,0.05,0.7,0.15,0.25
53,0.6,0.45,0.15,0.55,0.35,0.65,0.15,0.7,0.35,0.35
54,0.8,0.55,0.2,0.7,0.4,0.5,0.35,0.55,0.35,0.25
55,0.75,0.4,0.15,0.7,0.35,0.75,0.5,0.7,0.2,0.3
56,0.85,0.55,0.15,0.75,0.35,0.6,0.3,0.4,0.35,0.2
57,0.95,0.45,0.05,0.9,0.3,0.55,0.4,0.2,0.45,0.25
58,0.85,0.35,0.1,0.95,0.4,0.65,0.5,0.05,0.4,0.25
59,0.95,0.5,0.05,0.75,0.45,0.8,0.5,0.1,0.45,0.1
60,0.8,0.65,0.15,0.65,0.45,0.95,0.15,0.1,0.35,0.25
61,0.9,0.7,0.3,0.7,0.25,0.65,0.25,0.1,0.5,0.35
62,0.75,0.55,0.35,0.85,0.15,0.7,0.25,0.15,0.5,0.4
63,0.8,0.2,0.5,0.95,0.2,0.75,0.05,0.2,0.5,0.4
64,0.5,0.5,0.6,1.0,0.1,0.65,0.25,0.3,0.5,0.15
65,0.35,0.3,0.5,1.0,0.15,0.55,0.2,0.2,0.2,0.2
66,0.25,0.3,0.55,0.95,0.25,0.45,0.45,0.2,0.15,0.15
67,0.4,0.6,0.55,0.95,0.35,0.45,0.4,0.2,0.2,0.25
68,0.7,0.35,0.65,0.9,0.4,0.45,0.5,0.3,0.25,0.25
69,0.8,0.35,0.45,0.85,0.35,0.55,0.55,0.25,0.3,0.4
70,0.8,0.35,0.5,0.9,0.3,0.3,0.65,0.35,0.15,0.5
71,0.55,0.4,0.3,0.85,0.3,0.35,0.8,0.35,0.15,0.4
72,0.35,0.3,0.4,0.85,0.4,0.5,0.7,0.35,0.15,0.4
73,0.6,0.45,0.4,0.8,0.25,0.75,0.9,0.3,0.1,0.45
74,0.4,0.1,0.55,0.65,0.3,0.75,0.6,0.25,0.2,0.3
75,0.3,0.15,0.6,0.75,0.45,0.8,0.6,0.6,0.25,0.5
76,0.2,0.2,0.55,0.65,0.35,0.95,0.55,0.7,0.3,0.55
77,0.5,0.2,0.5,0.85,0.65,0.8,0.4,0.35,0.5,0.85
78,0.75,0.3,0.55,0.8,0.7,0.75,0.4,0.4,0.5,0.9
79,0.6,0.35,0.2,0.7,0.7,0.65,0.55,0.3,0.25,0.8
80,0.8,0.3,0.25,0.95,0.8,0.55,0.4,0.35,0.5,0.7
81,0.65,0.45,0.2,0.75,0.5,0.75,0.25,0.2,0.3,0.65
82,0.55,0.3,0.3,0.7,0.5,0.45,0.25,0.35,0.5,0.85
83,0.7,0.35,0.25,0.6,0.6,0.35,0.4,0.3,0.45,0.85
84,0.75,0.6,0.15,0.35,0.5,0.3,0.5,0.25,0.65,0.85
85,0.85,0.8,0.1,0.35,0.3,0.35,0.45,0.3,0.5,0.75
86,0.7,0.9,0.15,0.5,0.35,0.4,0.45,0.35,0.5,0.7
87,0.75,0.75,0.15,0.2,0.45,0.3,0.55,0.0,0.35,0.65
88,0.65,0.55,0.25,0.2,0.45,0.2,0.6,0.1,0.6,0.55
89,0.75,0.6,0.2,0.1,0.35,0.1,0.7,0.15,0.45,0.5
90,0.85,0.6,0.15,0.45,0.2,0.35,0.6,0.25,0.65,0.7
91,0.95,0.65,0.25,0.35,0.2,0.35,0.6,0.35,0.65,0.65
92,0.9,0.75,0.0,0.2,0.2,0.3,0.5,0.35,0.8,0.75
93,0.9,0.45,0.1,0.25,0.1,0.4,0.65,0.35,0.9,0.85
94,0.85,0.45,0.25,0.65,0.15,0.25,0.55,0.35,0.75,0.85
95,0.9,0.6,0.3,0.45,0.25,0.3,0.45,0.5,0.55,0.7
96,0.85,0.35,0.3,0.6,0.15,0.15,0.3,0.25,0.7,0.6
97,0.75,0.3,0.3,0.65,0.2,0.05,0.5,0.1,0.65,0.8
98,0.7,0.5,0.5,0.55,0.3,0.25,0.3,0.25,0.5,0.55
99,0.5,0.65,0.55,0.5,0.45,0.35,0.3,0.2,0.55,0.55
