Generation,Ave_Fitness,Std_Fitness,Ave_Threshold,Std_Threhold
0,6.216985031225578,2.046913500016847,5.349168126706209,1.273145968653554
1,6.626327190030795,2.077118987476353,4.9779153454772835,1.3595092083610496
2,6.194414917619895,1.949730795290684,5.23806546039662,1.0926139144168732
3,7.043218358657924,1.3358704766328469,5.251036234271269,0.9209334645084517
4,6.12627871198919,1.688473812087144,4.973025563433408,1.2975406021220819
5,5.3939944873612715,2.5538388193431816,4.472430012230498,1.2219970522884165
6,6.511015965236531,2.218037273852137,5.136991506616976,1.404358664284188
7,5.858170307266156,2.2511417866505075,4.546460561252848,0.9958729093874795
8,6.332888067986414,1.653491483127427,4.832771005083439,1.50141797877267
9,6.56197943356351,1.3212494224204931,4.814878477755281,1.323754257994917
10,6.514136492602574,1.4905935290987071,5.090553919728355,1.3214151090106314
11,6.361136134605001,2.280869197669758,5.280107473503191,1.1301229715373473
12,6.686803086756835,1.54355194653255,5.125523671338756,1.458822136662593
13,6.9121679084381284,1.6340537628616356,5.043191744584616,1.4346402927815625
14,6.800164607045652,2.7419735727221957,4.6288947368895075,1.212995699054136
15,6.376148692461782,1.9121067611139382,4.652399698732727,1.5784748032294336
16,7.2165208885758805,1.348402336826844,5.421985246770346,1.3091519609899076
17,7.080601816096468,1.4986330791527451,4.5941858495844965,1.2355649150003716
18,6.581423377290802,2.2458585472711574,4.943920989401027,1.1222625904186379
19,7.528559511363641,1.6508498840680004,5.335143659146924,1.153370205854427
20,7.2702620322751725,1.8511124241828858,5.076686197086563,1.2383872804320668
21,6.63674851477838,1.9772964899543475,5.271344193004744,1.4573087051806963
22,7.02731070224601,2.0388194828242994,5.257269863363566,1.2982676878513606
23,7.514348786643067,1.4324365345876313,4.840787284085038,1.5770484479501727
24,6.575479118526026,2.1965921802032864,5.0955010893561825,1.2043163365799165
25,6.386729193998712,2.543333599407757,5.075564961378421,1.2606291470650108
26,7.270612259348499,2.6496098701272066,5.553815021740625,1.316967339978423
27,6.040752004367268,1.9409167948800028,4.856236165844829,1.2229714493846857
28,7.210157433972118,2.0597954246018526,4.90025588185141,1.6167162853230959
29,6.788654292894319,2.21155326972376,4.771435084414926,1.0056446558711427
30,7.583395675088409,1.6028439109969712,4.702538185454588,1.059736934329822
31,5.872936830842557,2.291722510664912,5.331806693386413,1.2480994405928345
32,6.54455458444483,0.961981251911192,4.978823465425644,1.0735152878067664
33,7.289009741670704,1.4493242343626322,4.874076347417799,1.3314614173573316
34,6.182312029507356,2.610532825425377,5.075922297129306,1.3018393764107141
35,6.322888166755759,1.526417372800991,5.048590338257461,1.4733040958709474
36,7.590796825360061,1.385640263464794,5.4705568675858,1.310585240677305
37,5.59192211254057,2.353387760251439,5.27793531626642,0.9509847442472072
38,6.448862387156565,2.0778499505464234,5.338022986528043,1.4471721505524895
39,5.6306341297580875,2.41992940572486,4.421263699108957,1.1747167488249741
40,6.970353595341349,1.4467519752000617,5.30525021635452,1.1180607609378757
41,6.4967787601799385,1.5595474969228849,4.902913464388009,0.9382076264282279
42,6.5155489283597845,2.2323161074892566,4.86678193309221,1.3712203416393784
43,6.999515977967258,1.5530613445219652,5.373545142387244,1.429745978277029
44,6.937570570785151,1.2935686369740906,4.88581871747719,1.422106590369463
45,6.4793196404950875,2.0730528717896823,5.146519868047443,0.9700199676491591
46,7.182522587277096,2.3534481011598407,5.240825996704736,1.2542485094287894
47,6.0476844393600775,2.4841846494203965,4.894259946229923,1.2578913248666077
48,6.795827453014051,1.2984198453948566,4.8812753437561955,1.370366431907199
49,6.5924853026977885,1.746340831449475,4.927288703873645,1.6193950734067628
50,6.997101169420171,1.3865678334007163,5.570941417456977,0.8135759847041798
51,6.294788178447636,2.5561049512117107,5.180495837624537,1.1988582885374333
52,7.26722749958081,2.042942017863443,5.306565658888703,1.3059437088242905
53,6.587448907692954,1.5590041923588698,4.7246528037097475,1.268654298853249
54,7.108023424818498,1.6762705578184356,5.3104834089541795,1.3314970845733958
55,7.155724148834317,2.043083126050566,5.385325265458678,1.1578530574226151
56,7.823568921187447,1.4438174117647669,5.182126302816028,1.3859755025044447
57,6.628372279354747,1.0398601634867892,4.97081679049754,1.2414561865318323
58,6.956230285573613,2.0700702543171303,5.052440199393845,0.7738710455127481
59,7.328907002397846,2.0910806691754256,4.894010754643469,1.4509844704872803
60,7.231786727975502,2.5117249985075247,4.636064963297171,1.5520565613295756
61,6.84464224437514,1.4089319998450422,4.849516542178531,1.451771513567203
62,6.5094152452925815,1.5299531822003252,4.4734079134553735,0.8574977087560447
63,6.604987342218527,2.170589305456271,4.947122351088721,1.1705165334169967
64,6.896609318136181,1.4120191896834902,5.0097687522595535,1.3492549565506848
65,7.171018824739063,1.804999777759438,4.929094898891152,1.1958319808219322
66,7.37624292381076,2.1813925321595504,5.44808087598688,1.5528381168261556
67,6.817968450111986,2.3722990869429363,4.9250939592841885,1.3997019499433558
68,6.124621023219927,2.250515710682656,4.704949383120004,1.6004441575832682
69,6.7639558052298145,1.3656043722757065,5.520189194162782,0.8882861257010658
70,6.869665428078177,1.2239766453715575,4.714510393288556,0.7447116357878332
71,6.773389407945741,2.2014990797159335,5.028261356327189,1.2365799982138146
72,7.494288340641509,1.6941252662626707,5.313277814024621,1.379594688300129
73,6.8480596779818494,2.0514458965847666,5.103199341079208,1.2829293503406347
74,6.300072122146082,2.108734718821562,4.494400862343067,1.482336583990938
75,7.667410307827946,1.144962106545588,5.860437681578048,1.1295505065788736
76,6.491234055024516,2.230292059094523,4.730840581366467,1.2818730499432693
77,7.202041444931834,1.8444402285084924,4.722772653373264,1.0984614525730039
78,7.097792261907554,2.063012907323409,4.668054815593388,1.2364255615633413
79,6.5358578075480285,2.0060125027816715,5.426923486439932,1.4558967106981253
80,6.5301609236754885,1.52428721220702,5.318201097660873,1.2103894229254148
81,6.658372609609449,3.2823712727122154,4.963767454214753,1.4422984682960232
82,6.159494943654877,2.3690483030661484,4.763639181650193,1.0441289650311745
83,6.515164841605722,2.2181170108698747,5.3620959783741196,1.2111042883509677
84,7.169455220930497,1.4058430304716958,5.288044129525697,1.0608720290318945
85,6.644922916677482,2.0186732742919644,4.85524596557387,1.4120289032934161
86,6.54578793647534,1.1494067422879113,4.6329705895147075,1.2377062166165957
87,7.153531358568083,1.590494260742041,4.695371113026146,1.4153762652318518
88,6.951037525797967,1.4081694106348899,4.8987185681386505,1.1421387858981262
89,7.463284425427214,2.2456591629588516,5.119997765180165,1.1937373948011654
90,6.294292055758146,2.1499463317845895,5.005197018184463,1.3242911800255075
91,7.195116503128752,1.6458345913518824,5.426639900559236,1.2991262420968603
92,7.260151487977517,1.5054606931382506,4.975416897720241,1.662868501403118
93,6.106675083350705,2.144209195941677,4.506277024781264,1.2885280200837914
94,6.461118944643258,1.5053674040599763,4.797741285143596,1.0857987398067295
95,7.051002323067905,2.543209412064398,5.096679343963274,0.8793672006724664
96,7.10184751418017,1.8716043026181683,4.814244676245614,1.447799261606925
97,6.632596038639686,1.2717479448771134,4.886560103478331,1.2048246301970535
98,6.1982379258586775,2.550317102002199,4.678841094297344,1.0848806292744926
99,6.878354661244266,2.319073682812094,5.353456019870101,1.0664254675501523
