Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.8,0.45,0.5,0.5,0.4,0.35,0.55,0.65,0.5,0.65,0.4,0.4,0.5,0.35,0.35,0.65,0.55,0.6,0.8,0.4
1,0.85,0.55,0.35,0.55,0.3,0.4,0.7,0.6,0.45,0.5,0.25,0.6,0.65,0.25,0.55,0.3,0.35,0.45,0.7,0.65
2,0.9,0.7,0.3,0.55,0.45,0.6,0.7,0.6,0.45,0.45,0.15,0.8,0.6,0.25,0.75,0.2,0.4,0.4,0.6,0.8
3,0.9,0.85,0.3,0.85,0.4,0.7,0.4,0.7,0.45,0.15,0.15,0.85,0.65,0.0,0.85,0.15,0.25,0.25,0.75,0.85
4,0.9,0.95,0.45,0.9,0.4,0.45,0.55,0.55,0.65,0.15,0.25,0.8,0.5,0.1,0.8,0.4,0.4,0.1,0.9,0.85
5,0.9,0.9,0.45,0.75,0.35,0.55,0.7,0.55,0.65,0.25,0.45,0.65,0.5,0.15,0.8,0.7,0.5,0.15,0.75,0.9
6,0.95,0.8,0.3,0.6,0.55,0.65,0.65,0.65,0.75,0.45,0.45,0.9,0.6,0.15,0.85,0.6,0.4,0.2,0.6,0.95
7,1.0,0.7,0.65,1.0,0.15,0.55,0.45,0.55,0.45,0.15,0.4,0.8,0.45,0.05,0.95,0.45,0.65,0.3,1.0,1.0
8,1.0,0.6,0.8,1.0,0.2,0.65,0.4,0.8,0.4,0.2,0.3,0.75,0.7,0.0,0.8,0.2,0.35,0.05,0.95,1.0
9,0.9,0.4,0.65,0.95,0.25,0.6,0.55,0.75,0.45,0.2,0.35,0.55,0.65,0.15,0.8,0.2,0.45,0.15,0.9,0.9
10,0.95,0.65,0.4,0.9,0.6,0.5,0.4,0.65,0.4,0.05,0.15,0.75,0.8,0.1,0.7,0.15,0.4,0.05,0.95,0.8
11,1.0,0.8,0.4,0.9,0.8,0.4,0.6,0.35,0.6,0.05,0.2,0.9,0.8,0.1,0.5,0.0,0.55,0.0,1.0,0.8
12,0.85,0.95,0.25,0.85,0.9,0.2,0.55,0.25,0.6,0.05,0.15,0.85,0.85,0.15,0.3,0.05,0.6,0.0,1.0,0.9
13,0.9,0.8,0.55,0.65,1.0,0.25,0.65,0.05,0.5,0.05,0.25,0.85,0.8,0.45,0.45,0.0,0.6,0.1,0.95,0.9
14,0.95,0.8,0.35,0.5,0.85,0.3,0.6,0.1,0.4,0.15,0.25,0.8,0.95,0.5,0.55,0.0,0.5,0.15,0.9,0.8
15,1.0,0.95,0.2,0.4,0.8,0.35,0.6,0.0,0.4,0.15,0.4,0.9,0.9,0.65,0.55,0.05,0.5,0.2,0.9,0.85
