Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.6,0.5,0.45,0.65,0.3,0.5,0.35,0.5,0.5,0.5
1,0.65,0.65,0.45,0.75,0.25,0.5,0.55,0.7,0.55,0.4
2,0.55,0.75,0.4,0.85,0.15,0.6,0.5,0.7,0.6,0.55
3,0.55,0.7,0.25,0.75,0.15,0.5,0.5,0.55,0.35,0.3
4,0.5,0.7,0.3,0.6,0.2,0.45,0.5,0.55,0.3,0.4
5,0.6,0.45,0.25,0.55,0.2,0.35,0.55,0.7,0.1,0.45
6,0.7,0.15,0.1,0.65,0.5,0.2,0.7,0.75,0.05,0.4
7,0.7,0.25,0.1,0.65,0.75,0.1,0.6,0.75,0.1,0.55
8,0.75,0.4,0.15,0.55,0.8,0.2,0.6,0.55,0.3,0.7
9,0.6,0.25,0.15,0.5,0.7,0.5,0.65,0.7,0.45,0.85
10,0.75,0.45,0.25,0.75,0.35,0.7,0.65,0.75,0.25,0.9
11,0.6,0.75,0.35,0.8,0.2,0.6,0.65,0.75,0.05,0.8
12,0.65,0.55,0.45,0.65,0.0,0.7,0.7,0.65,0.25,0.55
13,0.65,0.5,0.6,0.6,0.1,0.7,0.55,0.6,0.3,0.4
14,0.7,0.3,0.3,0.65,0.1,0.65,0.65,0.75,0.35,0.5
15,0.6,0.5,0.25,0.6,0.1,0.55,0.75,0.6,0.5,0.4
16,0.5,0.45,0.35,0.8,0.2,0.5,0.65,0.6,0.5,0.5
17,0.55,0.3,0.4,0.85,0.05,0.15,0.7,0.8,0.35,0.5
18,0.9,0.4,0.35,0.8,0.05,0.15,0.5,0.8,0.35,0.2
19,0.7,0.3,0.35,0.95,0.15,0.2,0.5,0.7,0.5,0.15
20,0.6,0.6,0.45,0.75,0.25,0.25,0.4,0.8,0.7,0.25
21,0.7,0.75,0.3,0.6,0.45,0.2,0.5,0.65,0.45,0.4
22,0.8,0.55,0.2,0.65,0.55,0.25,0.2,0.7,0.35,0.5
23,1.0,0.6,0.4,0.45,0.7,0.2,0.25,0.35,0.2,0.7
24,0.95,0.5,0.5,0.4,0.7,0.15,0.45,0.3,0.15,0.6
