Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.6,0.35,0.45,0.45,0.65
1,0.25,0.25,0.25,0.2,0.6
2,0.25,0.55,0.2,0.3,0.75
3,0.2,0.55,0.25,0.3,0.8
4,0.15,0.75,0.3,0.45,0.45
5,0.3,0.7,0.2,0.4,0.45
6,0.4,0.45,0.25,0.25,0.45
7,0.35,0.5,0.4,0.3,0.4
8,0.3,0.3,0.2,0.5,0.45
9,0.4,0.05,0.4,0.3,0.45
10,0.35,0.25,0.2,0.15,0.35
11,0.3,0.5,0.2,0.35,0.5
12,0.5,0.55,0.45,0.65,0.7
13,0.2,0.4,0.4,0.3,0.45
14,0.25,0.25,0.45,0.25,0.25
15,0.1,0.25,0.25,0.2,0.5
16,0.15,0.25,0.3,0.3,0.7
17,0.25,0.35,0.65,0.25,0.7
18,0.2,0.25,0.6,0.4,0.55
19,0.1,0.25,0.6,0.35,0.7
20,0.05,0.4,0.4,0.4,0.75
21,0.1,0.4,0.2,0.5,0.75
22,0.35,0.5,0.35,0.35,0.65
23,0.35,0.65,0.3,0.4,0.55
24,0.55,0.3,0.45,0.55,0.5
25,0.6,0.45,0.15,0.6,0.7
26,0.2,0.5,0.3,0.6,0.55
27,0.45,0.45,0.45,0.5,0.6
28,0.5,0.3,0.25,0.35,0.65
29,0.6,0.15,0.45,0.25,0.55
30,0.45,0.3,0.6,0.4,0.8
31,0.35,0.5,0.35,0.5,0.45
32,0.55,0.5,0.65,0.45,0.5
33,0.65,0.6,0.45,0.5,0.6
34,0.4,0.75,0.45,0.4,0.55
35,0.25,0.6,0.35,0.55,0.45
36,0.15,0.55,0.3,0.35,0.4
37,0.3,0.35,0.15,0.6,0.45
38,0.3,0.5,0.35,0.3,0.55
39,0.25,0.4,0.35,0.2,0.35
40,0.45,0.35,0.25,0.35,0.15
41,0.2,0.25,0.15,0.55,0.3
42,0.2,0.25,0.15,0.35,0.55
43,0.35,0.25,0.2,0.5,0.6
44,0.4,0.4,0.5,0.45,0.7
45,0.55,0.35,0.5,0.35,0.55
46,0.45,0.5,0.3,0.3,0.45
47,0.35,0.4,0.5,0.35,0.45
48,0.5,0.45,0.3,0.2,0.5
49,0.6,0.6,0.4,0.25,0.4
50,0.75,0.5,0.55,0.2,0.55
51,0.6,0.55,0.4,0.15,0.4
52,0.55,0.7,0.6,0.35,0.3
53,0.4,0.65,0.45,0.3,0.25
54,0.25,0.6,0.7,0.3,0.45
55,0.5,0.6,0.7,0.3,0.65
56,0.45,0.5,0.5,0.6,0.55
57,0.4,0.65,0.6,0.55,0.4
58,0.3,0.55,0.55,0.35,0.35
59,0.5,0.4,0.6,0.15,0.2
60,0.4,0.55,0.55,0.15,0.4
61,0.65,0.6,0.35,0.25,0.65
62,0.5,0.5,0.45,0.15,0.4
63,0.45,0.5,0.6,0.4,0.3
64,0.45,0.55,0.6,0.4,0.5
65,0.55,0.45,0.65,0.35,0.7
66,0.65,0.65,0.65,0.2,0.7
67,0.4,0.4,0.35,0.4,0.8
68,0.55,0.25,0.35,0.45,0.6
69,0.6,0.1,0.2,0.4,0.6
70,0.5,0.3,0.25,0.5,0.5
71,0.45,0.35,0.2,0.55,0.4
72,0.5,0.25,0.4,0.5,0.45
73,0.45,0.4,0.45,0.65,0.45
74,0.5,0.6,0.5,0.55,0.65
75,0.45,0.45,0.15,0.35,0.4
76,0.55,0.3,0.35,0.3,0.6
77,0.65,0.4,0.25,0.35,0.6
78,0.5,0.5,0.15,0.6,0.45
79,0.65,0.6,0.1,0.4,0.45
80,0.6,0.65,0.3,0.35,0.45
81,0.65,0.65,0.2,0.55,0.6
82,0.3,0.65,0.3,0.55,0.55
83,0.25,0.55,0.5,0.35,0.4
84,0.5,0.55,0.6,0.5,0.2
85,0.45,0.35,0.65,0.8,0.4
86,0.7,0.25,0.45,0.75,0.45
87,0.8,0.2,0.2,0.65,0.65
88,0.65,0.1,0.25,0.7,0.75
89,0.5,0.2,0.25,0.5,0.55
90,0.45,0.35,0.25,0.45,0.5
91,0.35,0.35,0.25,0.65,0.45
92,0.55,0.2,0.4,0.45,0.4
93,0.35,0.2,0.4,0.35,0.2
94,0.35,0.2,0.25,0.6,0.35
95,0.4,0.3,0.35,0.5,0.45
96,0.6,0.25,0.15,0.45,0.4
97,0.55,0.35,0.3,0.3,0.25
98,0.4,0.45,0.4,0.4,0.35
99,0.5,0.3,0.45,0.45,0.45
