Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.45,0.75,0.7,0.4,0.65,0.55,0.55,0.65,0.55,0.55
1,0.55,0.75,0.85,0.2,0.7,0.7,0.5,1.0,0.6,0.6
2,0.75,0.9,0.95,0.35,0.65,0.4,0.65,0.9,0.4,0.75
3,0.6,0.8,0.8,0.25,0.4,0.6,0.7,0.85,0.15,0.65
4,0.65,0.85,0.65,0.35,0.35,0.4,0.6,0.75,0.3,0.7
5,0.6,0.9,0.45,0.55,0.5,0.35,0.55,0.45,0.55,0.6
6,0.5,0.85,0.65,0.4,0.3,0.65,0.25,0.5,0.75,0.4
7,0.65,0.6,0.5,0.5,0.45,0.4,0.3,0.3,0.95,0.45
8,0.75,0.85,0.5,0.45,0.4,0.3,0.6,0.3,0.9,0.35
9,0.95,0.75,0.65,0.5,0.5,0.25,0.45,0.25,0.85,0.3
10,0.75,0.55,0.75,0.55,0.55,0.35,0.4,0.05,0.65,0.25
11,0.95,0.45,0.7,0.75,0.45,0.3,0.45,0.1,0.55,0.25
12,0.85,0.65,0.6,0.55,0.3,0.45,0.45,0.2,0.6,0.35
13,0.95,0.35,0.85,0.7,0.05,0.5,0.35,0.15,0.5,0.4
14,1.0,0.35,0.55,0.65,0.1,0.45,0.45,0.4,0.5,0.6
15,0.95,0.3,0.75,0.55,0.25,0.3,0.4,0.3,0.35,0.6
16,0.9,0.45,0.85,0.7,0.05,0.6,0.55,0.2,0.45,0.8
17,0.85,0.65,0.7,0.6,0.25,0.45,0.65,0.3,0.6,0.85
18,0.7,0.6,0.55,0.4,0.25,0.75,0.6,0.25,0.8,0.95
19,0.7,0.45,0.65,0.5,0.25,0.8,0.3,0.65,0.65,0.75
20,0.55,0.45,0.6,0.45,0.4,0.8,0.35,0.45,0.6,0.6
21,0.6,0.4,0.65,0.55,0.35,0.75,0.4,0.35,0.6,0.5
22,0.55,0.5,0.35,0.7,0.3,0.5,0.3,0.45,0.7,0.4
23,0.75,0.5,0.35,0.7,0.2,0.35,0.5,0.45,0.7,0.3
24,0.75,0.3,0.4,0.65,0.25,0.6,0.35,0.25,0.75,0.35
25,0.85,0.7,0.1,0.85,0.45,0.6,0.3,0.45,0.75,0.2
26,0.9,0.7,0.05,0.8,0.65,0.6,0.6,0.5,0.9,0.1
27,0.75,0.6,0.1,0.8,0.75,0.7,0.55,0.55,0.65,0.2
28,0.8,0.5,0.15,0.55,0.75,0.75,0.65,0.4,0.45,0.2
29,0.65,0.2,0.25,0.65,0.5,0.8,0.7,0.3,0.35,0.35
30,0.8,0.1,0.2,0.75,0.5,0.75,0.75,0.25,0.4,0.55
31,0.65,0.05,0.35,0.3,0.25,0.75,0.4,0.25,0.2,0.3
32,0.8,0.15,0.1,0.5,0.3,0.9,0.25,0.15,0.25,0.2
33,0.9,0.3,0.2,0.55,0.25,0.95,0.25,0.1,0.3,0.45
34,0.75,0.2,0.3,0.8,0.2,0.85,0.2,0.25,0.2,0.55
35,0.8,0.25,0.25,0.8,0.15,0.95,0.25,0.35,0.35,0.45
36,0.85,0.3,0.3,0.65,0.2,0.75,0.2,0.3,0.5,0.45
37,0.9,0.45,0.3,0.65,0.25,0.55,0.3,0.35,0.65,0.75
38,0.7,0.6,0.25,0.5,0.15,0.55,0.05,0.35,0.45,0.6
39,0.8,0.6,0.15,0.55,0.2,0.65,0.0,0.15,0.5,0.5
40,0.75,0.3,0.45,0.3,0.35,0.5,0.05,0.45,0.4,0.35
41,0.75,0.35,0.3,0.5,0.45,0.35,0.2,0.6,0.4,0.55
42,0.7,0.35,0.45,0.55,0.15,0.4,0.15,0.4,0.35,0.45
43,0.95,0.3,0.5,0.55,0.1,0.35,0.1,0.3,0.35,0.6
44,0.9,0.25,0.45,0.75,0.15,0.45,0.15,0.15,0.25,0.85
45,0.85,0.45,0.5,0.55,0.15,0.4,0.3,0.25,0.35,0.75
46,0.8,0.25,0.35,0.4,0.15,0.25,0.1,0.3,0.15,0.8
47,0.95,0.15,0.15,0.3,0.3,0.15,0.25,0.1,0.05,0.85
48,0.95,0.3,0.25,0.4,0.2,0.3,0.35,0.2,0.0,0.7
49,0.9,0.2,0.3,0.35,0.3,0.25,0.35,0.1,0.0,0.8
50,0.85,0.15,0.15,0.4,0.6,0.3,0.4,0.15,0.05,0.55
51,0.85,0.2,0.0,0.4,0.7,0.5,0.35,0.3,0.0,0.55
52,0.8,0.4,0.1,0.35,0.75,0.6,0.25,0.3,0.05,0.65
53,0.85,0.45,0.15,0.5,0.85,0.8,0.3,0.6,0.15,0.8
54,0.9,0.5,0.3,0.75,0.7,0.85,0.2,0.55,0.1,0.75
55,0.85,0.5,0.55,0.8,0.85,0.8,0.2,0.4,0.2,0.85
56,0.8,0.4,0.8,0.85,0.95,0.95,0.2,0.3,0.1,0.95
57,0.7,0.4,0.55,0.8,0.85,0.85,0.1,0.35,0.15,1.0
58,0.7,0.3,0.45,0.5,0.9,0.65,0.05,0.3,0.25,0.95
59,0.7,0.5,0.45,0.35,0.65,0.8,0.25,0.25,0.2,0.95
60,0.95,0.5,0.7,0.35,0.65,0.75,0.2,0.4,0.4,1.0
61,0.9,0.35,0.6,0.35,0.65,0.7,0.25,0.35,0.35,1.0
62,0.85,0.25,0.55,0.5,0.65,0.65,0.0,0.4,0.4,0.95
63,0.95,0.1,0.35,0.7,0.15,0.45,0.0,0.2,0.75,0.9
64,0.9,0.1,0.35,0.85,0.1,0.3,0.15,0.2,0.8,0.7
65,0.85,0.1,0.3,0.8,0.1,0.55,0.4,0.15,0.85,0.65
66,0.85,0.2,0.3,0.7,0.05,0.65,0.35,0.2,0.85,0.5
67,0.75,0.3,0.35,0.65,0.05,0.45,0.35,0.35,0.65,0.3
68,0.7,0.15,0.4,0.65,0.25,0.3,0.35,0.5,0.75,0.25
