Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.6,0.4,0.4,0.4,0.45
1,0.65,0.55,0.65,0.25,0.5
2,0.4,0.65,0.4,0.1,0.4
3,0.3,0.5,0.45,0.35,0.65
4,0.15,0.85,0.55,0.25,0.7
5,0.2,0.75,0.55,0.2,0.5
6,0.35,0.6,0.55,0.2,0.35
7,0.5,0.45,0.55,0.1,0.25
8,0.55,0.5,0.45,0.25,0.45
9,0.55,0.55,0.45,0.25,0.5
10,0.55,0.65,0.65,0.2,0.45
11,0.5,0.6,0.6,0.3,0.25
12,0.4,0.5,0.5,0.25,0.5
13,0.45,0.35,0.4,0.2,0.45
14,0.5,0.35,0.35,0.3,0.5
15,0.25,0.2,0.4,0.45,0.4
16,0.4,0.4,0.5,0.6,0.35
17,0.45,0.35,0.5,0.45,0.25
18,0.4,0.4,0.65,0.25,0.35
19,0.5,0.45,0.45,0.4,0.25
20,0.25,0.5,0.35,0.55,0.15
21,0.35,0.5,0.55,0.55,0.15
22,0.45,0.7,0.55,0.35,0.2
23,0.45,0.7,0.5,0.35,0.35
24,0.5,0.6,0.6,0.4,0.4
25,0.45,0.45,0.5,0.25,0.45
26,0.3,0.35,0.4,0.15,0.6
27,0.35,0.35,0.5,0.4,0.35
28,0.4,0.2,0.65,0.6,0.35
29,0.45,0.2,0.5,0.6,0.05
30,0.3,0.35,0.2,0.8,0.1
31,0.6,0.3,0.3,0.65,0.2
32,0.55,0.4,0.35,0.45,0.25
33,0.5,0.4,0.35,0.65,0.25
34,0.75,0.6,0.3,0.35,0.25
35,0.55,0.55,0.3,0.4,0.35
36,0.55,0.4,0.45,0.45,0.3
37,0.45,0.4,0.65,0.75,0.2
38,0.4,0.65,0.45,0.55,0.3
39,0.25,0.7,0.3,0.5,0.45
40,0.3,0.65,0.25,0.55,0.5
41,0.2,0.65,0.35,0.6,0.45
42,0.3,0.25,0.5,0.55,0.45
43,0.35,0.55,0.55,0.65,0.5
44,0.45,0.5,0.35,0.65,0.6
45,0.4,0.6,0.3,0.65,0.65
46,0.35,0.65,0.75,0.45,0.35
47,0.35,0.5,0.7,0.55,0.4
48,0.2,0.8,0.55,0.7,0.3
49,0.35,0.7,0.3,0.65,0.55
50,0.3,0.4,0.1,0.6,0.65
51,0.25,0.4,0.25,0.3,0.5
52,0.4,0.4,0.45,0.6,0.7
53,0.25,0.55,0.25,0.5,0.65
54,0.1,0.7,0.35,0.4,0.65
55,0.2,0.8,0.35,0.5,0.4
56,0.4,0.65,0.65,0.55,0.35
57,0.5,0.5,0.7,0.4,0.1
58,0.55,0.45,0.55,0.45,0.35
59,0.45,0.5,0.45,0.5,0.45
60,0.4,0.4,0.4,0.65,0.2
61,0.25,0.4,0.55,0.65,0.25
62,0.4,0.55,0.6,0.6,0.4
63,0.45,0.7,0.55,0.35,0.4
64,0.55,0.45,0.55,0.25,0.4
65,0.5,0.35,0.55,0.25,0.55
66,0.35,0.45,0.7,0.35,0.7
67,0.3,0.35,0.55,0.45,0.45
68,0.25,0.25,0.5,0.4,0.4
69,0.35,0.35,0.25,0.2,0.55
70,0.4,0.45,0.4,0.3,0.15
71,0.75,0.35,0.4,0.45,0.35
72,0.3,0.3,0.4,0.5,0.65
73,0.4,0.4,0.3,0.75,0.55
74,0.45,0.4,0.35,0.55,0.55
75,0.35,0.35,0.2,0.45,0.55
76,0.3,0.4,0.35,0.3,0.3
77,0.1,0.5,0.55,0.5,0.4
78,0.05,0.75,0.55,0.5,0.4
79,0.35,0.8,0.35,0.2,0.55
80,0.1,0.9,0.35,0.2,0.35
81,0.3,0.75,0.35,0.3,0.35
82,0.5,0.65,0.45,0.3,0.45
83,0.35,0.6,0.45,0.2,0.45
84,0.45,0.45,0.65,0.25,0.3
85,0.55,0.25,0.55,0.4,0.25
86,0.7,0.5,0.45,0.4,0.35
87,0.75,0.5,0.3,0.45,0.3
88,0.65,0.6,0.2,0.45,0.4
89,0.65,0.45,0.15,0.55,0.3
90,0.45,0.45,0.15,0.35,0.35
91,0.45,0.65,0.15,0.35,0.25
92,0.45,0.6,0.2,0.45,0.3
93,0.4,0.45,0.35,0.6,0.4
94,0.6,0.35,0.45,0.6,0.55
95,0.45,0.25,0.45,0.7,0.55
96,0.45,0.2,0.45,0.8,0.35
97,0.4,0.25,0.65,0.55,0.5
98,0.4,0.4,0.55,0.4,0.55
99,0.3,0.25,0.65,0.4,0.55
