Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.4,0.55,0.5,0.3,0.35,0.4,0.4,0.4,0.5,0.6
1,0.65,0.75,0.3,0.2,0.2,0.25,0.25,0.3,0.6,0.7
2,0.65,0.85,0.35,0.45,0.4,0.3,0.1,0.15,0.35,0.6
3,0.65,0.85,0.35,0.6,0.45,0.1,0.3,0.2,0.55,0.6
4,0.75,0.65,0.45,0.65,0.6,0.25,0.2,0.2,0.55,0.45
5,0.7,0.85,0.6,0.65,0.55,0.3,0.15,0.2,0.65,0.6
6,0.75,0.8,0.65,0.7,0.4,0.35,0.15,0.1,0.8,0.65
7,0.9,0.65,0.5,0.7,0.55,0.35,0.25,0.15,0.7,0.65
8,0.85,0.5,0.65,0.4,0.35,0.55,0.2,0.3,0.65,0.45
9,0.8,0.6,0.7,0.45,0.35,0.4,0.3,0.2,0.55,0.35
10,0.8,0.55,0.5,0.45,0.55,0.5,0.35,0.25,0.65,0.35
11,1.0,0.65,0.6,0.6,0.55,0.2,0.35,0.2,0.55,0.55
12,0.9,0.55,0.6,0.65,0.7,0.2,0.6,0.35,0.55,0.6
13,0.6,0.7,0.65,0.65,0.75,0.2,0.85,0.2,0.35,0.25
14,0.5,0.65,0.55,0.55,0.7,0.35,0.75,0.35,0.2,0.4
15,0.25,0.6,0.35,0.65,0.75,0.3,0.7,0.35,0.15,0.6
16,0.25,0.6,0.25,0.65,0.85,0.5,0.6,0.45,0.3,0.65
17,0.45,0.55,0.3,0.6,0.7,0.35,0.2,0.15,0.25,0.55
18,0.55,0.6,0.45,0.5,0.7,0.25,0.25,0.4,0.35,0.5
19,0.75,0.55,0.35,0.75,0.5,0.15,0.1,0.2,0.35,0.15
20,0.65,0.65,0.45,0.95,0.8,0.3,0.15,0.3,0.1,0.2
21,0.5,0.5,0.35,0.95,0.85,0.4,0.1,0.3,0.0,0.35
22,0.65,0.5,0.35,0.85,0.8,0.3,0.25,0.3,0.05,0.4
23,0.65,0.55,0.45,0.95,0.85,0.25,0.45,0.6,0.1,0.25
24,0.85,0.1,0.1,0.65,0.55,0.15,0.3,0.35,0.1,0.35
25,0.7,0.0,0.1,0.6,0.65,0.35,0.35,0.2,0.15,0.25
26,0.7,0.15,0.05,0.45,0.65,0.25,0.5,0.25,0.35,0.4
27,0.7,0.55,0.0,0.3,0.55,0.2,0.25,0.15,0.45,0.3
28,0.65,0.6,0.15,0.45,0.45,0.25,0.25,0.35,0.5,0.25
29,0.65,0.75,0.3,0.4,0.3,0.4,0.0,0.5,0.5,0.1
30,0.9,0.85,0.3,0.35,0.35,0.1,0.2,0.45,0.55,0.2
31,0.7,0.8,0.45,0.35,0.5,0.3,0.15,0.6,0.7,0.4
32,0.55,0.9,0.6,0.2,0.5,0.4,0.4,0.55,0.45,0.35
33,0.55,0.7,0.4,0.45,0.3,0.6,0.35,0.5,0.65,0.35
34,0.75,0.6,0.75,0.25,0.6,0.3,0.45,0.45,0.8,0.55
35,0.8,0.8,0.8,0.35,0.35,0.35,0.4,0.45,0.95,0.4
36,0.85,0.5,0.75,0.4,0.65,0.25,0.8,0.5,0.9,0.45
37,0.75,0.25,0.9,0.45,0.7,0.15,0.7,0.35,0.9,0.45
38,0.85,0.2,0.9,0.55,0.7,0.1,0.85,0.05,0.8,0.25
39,0.85,0.15,0.8,0.55,0.7,0.05,0.7,0.3,0.8,0.25
40,0.9,0.25,0.8,0.65,0.6,0.0,0.55,0.3,0.85,0.35
41,0.8,0.4,0.65,0.65,0.45,0.05,0.55,0.5,0.75,0.25
42,0.6,0.6,0.85,0.6,0.3,0.1,0.45,0.35,0.6,0.3
43,0.45,0.8,0.65,0.6,0.2,0.4,0.5,0.45,0.6,0.45
44,0.35,0.8,0.8,0.55,0.25,0.4,0.35,0.2,0.45,0.6
45,0.6,0.9,0.45,0.45,0.1,0.1,0.25,0.35,0.3,0.35
46,0.75,0.85,0.6,0.6,0.3,0.15,0.2,0.5,0.25,0.35
47,0.7,0.8,0.6,0.4,0.5,0.2,0.5,0.45,0.4,0.1
48,0.55,0.75,0.6,0.1,0.55,0.25,0.3,0.35,0.8,0.25
49,0.4,0.65,0.35,0.2,0.45,0.3,0.35,0.45,0.75,0.25
50,0.5,0.35,0.5,0.3,0.4,0.3,0.25,0.3,0.75,0.15
51,0.5,0.45,0.6,0.6,0.2,0.25,0.05,0.2,0.85,0.2
52,0.65,0.4,0.75,0.45,0.45,0.4,0.05,0.3,0.9,0.05
53,0.45,0.5,0.9,0.5,0.35,0.3,0.35,0.45,0.85,0.0
54,0.5,0.35,0.7,0.45,0.55,0.3,0.15,0.4,0.8,0.15
55,0.65,0.05,0.6,0.65,0.5,0.4,0.1,0.5,0.7,0.15
56,0.7,0.15,0.5,0.6,0.45,0.35,0.25,0.6,0.55,0.2
57,0.75,0.35,0.55,0.65,0.35,0.5,0.35,0.65,0.65,0.35
58,0.75,0.35,0.8,0.45,0.3,0.55,0.6,0.45,0.6,0.45
59,0.75,0.45,0.6,0.55,0.35,0.6,0.5,0.65,0.5,0.7
60,0.7,0.35,0.55,0.3,0.4,0.55,0.45,0.7,0.4,0.55
61,0.7,0.65,0.35,0.35,0.2,0.5,0.4,0.45,0.55,0.5
62,0.8,0.5,0.4,0.45,0.2,0.6,0.4,0.45,0.55,0.45
63,0.65,0.6,0.5,0.5,0.4,0.5,0.2,0.5,0.4,0.3
64,0.6,0.4,0.55,0.5,0.5,0.55,0.15,0.65,0.75,0.1
65,0.55,0.5,0.55,0.75,0.45,0.6,0.3,0.8,0.75,0.15
66,0.7,0.55,0.5,0.45,0.3,0.65,0.15,0.9,0.95,0.2
67,0.75,0.55,0.55,0.5,0.6,0.65,0.1,0.85,0.8,0.35
68,0.85,0.55,0.5,0.4,0.45,0.45,0.0,0.85,0.9,0.15
69,0.8,0.55,0.4,0.6,0.45,0.45,0.1,0.75,0.9,0.3
70,0.75,0.45,0.7,0.35,0.15,0.25,0.15,0.65,0.7,0.4
71,0.6,0.35,0.8,0.3,0.35,0.2,0.45,0.45,0.8,0.45
72,0.75,0.15,0.8,0.3,0.25,0.25,0.25,0.35,0.95,0.55
73,0.85,0.25,0.7,0.15,0.35,0.25,0.1,0.35,0.75,0.55
74,0.85,0.25,0.7,0.4,0.35,0.3,0.05,0.35,0.65,0.7
75,0.7,0.45,0.6,0.65,0.3,0.2,0.15,0.4,0.7,0.65
76,0.5,0.4,0.55,0.75,0.35,0.35,0.15,0.25,0.4,0.6
77,0.45,0.35,0.5,0.9,0.25,0.4,0.35,0.3,0.45,0.6
78,0.6,0.35,0.65,0.95,0.4,0.45,0.3,0.25,0.45,0.6
79,0.65,0.25,0.6,0.75,0.5,0.4,0.3,0.2,0.4,0.65
80,0.8,0.1,0.95,0.85,0.65,0.1,0.55,0.15,0.15,0.9
81,0.45,0.3,1.0,0.55,0.55,0.1,0.5,0.2,0.15,0.9
82,0.45,0.25,0.8,0.55,0.6,0.15,0.6,0.15,0.25,0.8
83,0.7,0.35,0.65,0.6,0.45,0.4,0.65,0.4,0.25,0.75
84,0.5,0.4,0.7,0.5,0.6,0.3,0.6,0.5,0.4,0.6
85,0.4,0.7,0.75,0.3,0.8,0.25,0.55,0.45,0.4,0.8
86,0.45,0.55,0.95,0.25,0.55,0.45,0.4,0.3,0.35,0.6
87,0.4,0.65,0.75,0.25,0.55,0.3,0.3,0.2,0.45,0.6
88,0.35,0.55,0.7,0.45,0.4,0.35,0.45,0.3,0.6,0.6
89,0.5,0.5,0.65,0.55,0.55,0.4,0.65,0.35,0.95,0.4
90,0.7,0.3,0.65,0.5,0.55,0.45,0.7,0.55,0.9,0.35
91,0.85,0.3,0.8,0.4,0.35,0.45,0.85,0.65,0.7,0.2
92,0.85,0.3,0.9,0.3,0.2,0.55,0.85,0.8,0.45,0.1
93,0.75,0.2,0.7,0.2,0.3,0.55,0.85,0.8,0.45,0.3
94,0.5,0.5,0.8,0.5,0.45,0.35,0.65,0.45,0.55,0.2
95,0.6,0.2,0.7,0.2,0.45,0.5,0.75,0.5,0.25,0.45
96,0.45,0.1,0.75,0.05,0.55,0.8,0.85,0.5,0.3,0.45
97,0.3,0.3,0.7,0.15,0.5,0.55,0.85,0.8,0.4,0.4
98,0.45,0.45,0.65,0.35,0.6,0.55,0.85,0.75,0.45,0.45
99,0.45,0.55,0.55,0.35,0.6,0.9,0.75,0.6,0.15,0.6
