Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.4,0.45,0.4,0.55,0.5
1,0.45,0.45,0.15,0.6,0.7
2,0.4,0.55,0.3,0.55,0.7
3,0.3,0.6,0.2,0.7,0.6
4,0.3,0.8,0.1,0.65,0.6
5,0.45,0.75,0.15,0.4,0.5
6,0.55,0.45,0.15,0.45,0.35
7,0.5,0.5,0.35,0.5,0.4
8,0.6,0.35,0.4,0.35,0.2
9,0.55,0.55,0.45,0.65,0.15
10,0.45,0.5,0.6,0.45,0.35
11,0.6,0.65,0.35,0.3,0.35
12,0.55,0.7,0.3,0.4,0.5
13,0.5,0.75,0.3,0.35,0.5
14,0.5,0.4,0.4,0.3,0.35
15,0.5,0.45,0.5,0.45,0.45
16,0.4,0.3,0.45,0.45,0.4
17,0.4,0.5,0.15,0.2,0.3
18,0.4,0.5,0.25,0.1,0.3
19,0.4,0.55,0.35,0.35,0.3
20,0.5,0.4,0.35,0.3,0.5
21,0.6,0.65,0.35,0.35,0.45
22,0.45,0.65,0.6,0.4,0.35
23,0.5,0.6,0.55,0.55,0.45
24,0.6,0.5,0.45,0.4,0.45
25,0.65,0.35,0.3,0.35,0.35
26,0.75,0.5,0.6,0.5,0.45
27,0.75,0.65,0.45,0.7,0.2
28,0.6,0.55,0.35,0.45,0.45
29,0.6,0.55,0.35,0.55,0.5
30,0.45,0.5,0.3,0.35,0.5
31,0.6,0.4,0.4,0.45,0.5
32,0.55,0.45,0.5,0.6,0.3
33,0.55,0.7,0.55,0.45,0.45
34,0.5,0.45,0.3,0.35,0.2
35,0.45,0.45,0.45,0.25,0.3
36,0.6,0.3,0.45,0.45,0.25
37,0.5,0.35,0.55,0.7,0.4
38,0.45,0.55,0.4,0.35,0.4
39,0.25,0.7,0.55,0.5,0.45
40,0.25,0.6,0.8,0.35,0.55
41,0.2,0.4,0.6,0.35,0.45
42,0.55,0.45,0.7,0.35,0.35
43,0.5,0.5,0.7,0.45,0.5
44,0.55,0.25,0.7,0.6,0.3
45,0.35,0.3,0.6,0.6,0.35
46,0.55,0.15,0.8,0.9,0.3
47,0.45,0.2,0.55,0.85,0.2
48,0.45,0.1,0.65,0.85,0.25
49,0.65,0.15,0.6,0.6,0.35
50,0.6,0.4,0.35,0.25,0.25
51,0.7,0.4,0.5,0.35,0.55
52,0.55,0.35,0.45,0.2,0.4
53,0.6,0.45,0.6,0.3,0.5
54,0.4,0.55,0.65,0.35,0.35
55,0.45,0.55,0.6,0.35,0.45
56,0.5,0.6,0.55,0.6,0.65
57,0.7,0.6,0.65,0.25,0.5
58,0.65,0.65,0.75,0.15,0.7
59,0.35,0.7,0.75,0.3,0.4
60,0.25,0.65,0.65,0.3,0.75
61,0.45,0.4,0.65,0.45,0.65
62,0.45,0.35,0.8,0.35,0.35
63,0.4,0.45,0.7,0.55,0.5
64,0.45,0.65,0.65,0.5,0.7
65,0.5,0.45,0.55,0.45,0.45
66,0.55,0.35,0.75,0.55,0.35
67,0.5,0.3,0.7,0.4,0.35
68,0.65,0.3,0.6,0.55,0.4
69,0.55,0.55,0.55,0.45,0.5
70,0.55,0.5,0.4,0.4,0.4
71,0.35,0.65,0.55,0.3,0.25
72,0.4,0.45,0.4,0.35,0.25
73,0.7,0.55,0.5,0.3,0.25
74,0.75,0.75,0.7,0.35,0.25
75,0.5,0.7,0.55,0.1,0.2
76,0.3,1.0,0.35,0.35,0.45
77,0.3,0.7,0.4,0.4,0.25
78,0.2,0.8,0.15,0.75,0.6
79,0.45,0.8,0.05,0.8,0.5
80,0.5,0.75,0.2,0.65,0.7
81,0.45,0.65,0.25,0.55,0.6
82,0.45,0.4,0.25,0.7,0.55
83,0.35,0.55,0.3,0.6,0.35
84,0.35,0.65,0.4,0.35,0.25
85,0.55,0.4,0.6,0.35,0.3
86,0.6,0.6,0.45,0.2,0.4
87,0.45,0.65,0.5,0.4,0.25
88,0.5,0.85,0.6,0.35,0.4
89,0.4,0.6,0.55,0.35,0.65
90,0.45,0.65,0.35,0.5,0.75
91,0.3,0.45,0.45,0.55,0.5
92,0.25,0.45,0.2,0.25,0.35
93,0.5,0.55,0.25,0.35,0.35
94,0.4,0.7,0.35,0.35,0.5
95,0.45,0.65,0.5,0.5,0.45
96,0.5,0.6,0.6,0.5,0.4
97,0.7,0.35,0.35,0.4,0.4
98,0.75,0.6,0.6,0.35,0.35
99,0.6,0.45,0.45,0.55,0.15
