Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.6,0.55,0.85,0.55,0.4,0.6,0.45,0.4,0.45,0.55
1,0.6,0.75,0.9,0.45,0.75,0.75,0.45,0.3,0.4,0.7
2,0.4,0.8,0.7,0.35,0.5,0.75,0.6,0.3,0.55,0.7
3,0.55,0.95,0.7,0.35,0.55,0.75,0.7,0.4,0.55,0.5
4,0.7,0.65,0.8,0.4,0.65,0.7,0.5,0.2,0.4,0.4
5,0.7,0.55,0.65,0.3,0.5,0.5,0.3,0.3,0.4,0.5
6,0.55,0.7,0.6,0.35,0.55,0.35,0.35,0.5,0.4,0.55
7,0.85,0.8,0.5,0.35,0.7,0.4,0.35,0.55,0.2,0.45
8,0.9,0.85,0.4,0.35,0.65,0.3,0.35,0.6,0.4,0.45
9,0.95,0.7,0.45,0.1,0.75,0.55,0.6,0.5,0.45,0.4
10,0.95,0.55,0.3,0.2,0.5,0.35,0.75,0.55,0.45,0.65
11,1.0,0.7,0.3,0.25,0.5,0.35,0.65,0.6,0.45,0.55
12,0.9,0.7,0.15,0.3,0.35,0.35,0.55,0.65,0.4,0.35
13,0.7,0.55,0.25,0.35,0.5,0.45,0.6,0.85,0.5,0.35
14,0.6,0.8,0.2,0.4,0.85,0.75,0.55,0.9,0.4,0.25
15,0.2,0.85,0.15,0.45,0.75,0.75,0.7,0.75,0.45,0.25
16,0.15,0.8,0.05,0.75,0.85,0.8,0.7,0.65,0.65,0.25
17,0.25,0.85,0.05,0.75,0.85,0.55,0.8,0.6,0.55,0.25
18,0.25,0.85,0.0,0.6,0.75,0.4,0.85,0.45,0.5,0.45
19,0.4,0.8,0.15,0.6,0.8,0.4,0.7,0.35,0.6,0.45
20,0.6,0.85,0.0,0.55,0.8,0.2,0.4,0.4,0.75,0.75
21,0.75,0.8,0.25,0.5,0.6,0.25,0.15,0.45,0.65,0.6
22,0.6,0.85,0.15,0.6,0.3,0.3,0.2,0.35,0.7,0.75
23,0.6,0.8,0.1,0.45,0.35,0.5,0.2,0.3,0.65,0.85
24,0.45,0.65,0.1,0.4,0.3,0.55,0.1,0.2,0.6,0.85
25,0.45,0.75,0.25,0.4,0.3,0.6,0.25,0.55,0.65,0.85
26,0.45,0.65,0.25,0.5,0.35,0.4,0.3,0.4,0.4,0.75
27,0.45,0.65,0.25,0.45,0.2,0.45,0.5,0.6,0.55,0.7
28,0.55,0.65,0.5,0.45,0.2,0.35,0.15,0.35,0.2,0.75
29,0.45,0.3,0.55,0.7,0.35,0.25,0.25,0.3,0.15,0.6
30,0.55,0.2,0.6,0.75,0.6,0.5,0.35,0.6,0.2,0.45
31,0.65,0.25,0.4,0.5,0.45,0.75,0.4,0.65,0.45,0.45
32,0.35,0.25,0.2,0.7,0.7,0.45,0.35,0.85,0.1,0.4
33,0.45,0.15,0.35,0.6,0.6,0.3,0.4,0.9,0.0,0.4
34,0.35,0.25,0.25,0.45,0.6,0.6,0.5,0.7,0.15,0.55
35,0.4,0.35,0.45,0.65,0.55,0.45,0.65,0.6,0.35,0.55
36,0.55,0.7,0.4,0.3,0.75,0.7,0.65,0.45,0.25,0.7
37,0.6,0.5,0.4,0.4,0.65,0.65,0.5,0.5,0.1,0.65
38,0.5,0.3,0.4,0.55,0.9,0.5,0.55,0.55,0.1,0.55
39,0.8,0.6,0.3,0.6,0.9,0.45,0.35,0.55,0.05,0.5
40,0.75,0.5,0.35,0.7,0.8,0.25,0.4,0.8,0.05,0.45
41,0.8,0.5,0.4,0.65,0.75,0.2,0.35,0.85,0.05,0.55
42,0.85,0.6,0.5,0.75,0.8,0.1,0.3,0.55,0.25,0.8
43,0.95,0.45,0.6,0.6,0.8,0.4,0.4,0.6,0.15,0.7
44,0.95,0.5,0.55,0.55,0.7,0.5,0.5,0.65,0.25,0.55
45,0.7,0.55,0.45,0.35,0.5,0.3,0.55,0.75,0.35,0.5
