Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.4,0.6,0.55,0.4,0.55
1,0.4,0.65,0.55,0.55,0.8
2,0.25,0.6,0.5,0.5,0.85
3,0.05,0.45,0.25,0.3,0.8
4,0.25,0.4,0.4,0.4,0.5
5,0.15,0.45,0.55,0.55,0.4
6,0.4,0.25,0.5,0.65,0.4
7,0.45,0.35,0.35,0.8,0.3
8,0.45,0.75,0.1,0.9,0.55
9,0.35,0.85,0.15,0.8,0.6
10,0.5,0.65,0.35,0.6,0.35
11,0.6,0.65,0.5,0.55,0.45
12,0.65,0.55,0.3,0.65,0.45
13,0.7,0.3,0.45,0.75,0.35
14,0.6,0.2,0.5,0.45,0.45
15,0.7,0.2,0.5,0.5,0.45
16,0.6,0.15,0.35,0.4,0.4
17,0.45,0.15,0.35,0.4,0.35
18,0.5,0.2,0.35,0.25,0.2
19,0.45,0.35,0.15,0.4,0.5
20,0.45,0.55,0.35,0.6,0.55
21,0.3,0.35,0.35,0.35,0.35
22,0.6,0.1,0.45,0.25,0.4
23,0.6,0.15,0.75,0.45,0.45
24,0.55,0.3,0.75,0.55,0.6
25,0.8,0.5,0.6,0.25,0.5
26,0.8,0.3,0.4,0.2,0.5
27,0.6,0.35,0.35,0.35,0.6
28,0.65,0.35,0.3,0.45,0.6
29,0.65,0.55,0.4,0.2,0.4
30,0.55,0.6,0.45,0.4,0.45
31,0.5,0.6,0.4,0.35,0.5
32,0.4,0.6,0.6,0.3,0.35
33,0.35,0.45,0.6,0.4,0.3
34,0.35,0.25,0.65,0.4,0.25
35,0.35,0.45,0.5,0.3,0.45
36,0.35,0.5,0.65,0.1,0.65
37,0.4,0.35,0.6,0.25,0.5
38,0.6,0.35,0.55,0.35,0.55
39,0.6,0.45,0.4,0.3,0.75
40,0.75,0.45,0.4,0.1,0.75
41,0.5,0.4,0.4,0.35,0.65
42,0.2,0.4,0.45,0.4,0.4
43,0.25,0.5,0.35,0.4,0.2
44,0.2,0.55,0.3,0.45,0.25
45,0.55,0.5,0.5,0.45,0.4
46,0.55,0.4,0.45,0.35,0.2
47,0.65,0.45,0.55,0.15,0.2
48,0.6,0.55,0.65,0.25,0.2
49,0.8,0.5,0.35,0.05,0.3
50,0.8,0.25,0.45,0.1,0.3
51,0.65,0.3,0.55,0.3,0.3
52,0.55,0.4,0.7,0.25,0.45
53,0.4,0.4,0.65,0.2,0.3
54,0.35,0.45,0.45,0.4,0.2
55,0.45,0.35,0.35,0.5,0.4
56,0.35,0.45,0.3,0.3,0.35
57,0.4,0.5,0.55,0.3,0.45
58,0.35,0.45,0.6,0.3,0.3
59,0.5,0.4,0.75,0.25,0.3
60,0.65,0.4,0.55,0.2,0.4
61,0.7,0.3,0.2,0.25,0.35
62,0.7,0.65,0.4,0.25,0.45
63,0.6,0.75,0.45,0.45,0.3
64,0.45,0.75,0.35,0.65,0.2
65,0.55,0.6,0.4,0.25,0.35
66,0.65,0.35,0.05,0.35,0.4
67,0.75,0.25,0.0,0.4,0.2
68,0.75,0.45,0.35,0.4,0.15
69,0.65,0.3,0.4,0.3,0.2
70,0.6,0.6,0.35,0.25,0.2
71,0.35,0.6,0.4,0.2,0.15
72,0.4,0.35,0.4,0.5,0.3
73,0.45,0.35,0.45,0.45,0.35
74,0.45,0.4,0.45,0.45,0.3
75,0.7,0.35,0.15,0.45,0.25
76,0.8,0.55,0.45,0.55,0.35
77,0.75,0.5,0.65,0.65,0.35
78,0.75,0.65,0.75,0.4,0.25
79,0.35,0.55,0.5,0.5,0.25
80,0.45,0.65,0.5,0.25,0.3
81,0.45,0.55,0.5,0.3,0.5
82,0.5,0.6,0.55,0.4,0.2
83,0.55,0.45,0.6,0.25,0.2
84,0.55,0.35,0.55,0.45,0.4
85,0.65,0.45,0.55,0.4,0.35
86,0.4,0.4,0.35,0.55,0.45
87,0.4,0.4,0.25,0.4,0.05
88,0.35,0.25,0.4,0.4,0.05
89,0.4,0.45,0.45,0.45,0.2
90,0.4,0.4,0.75,0.75,0.2
91,0.1,0.45,0.7,0.75,0.15
92,0.1,0.35,0.85,0.6,0.2
93,0.4,0.4,0.6,0.55,0.45
94,0.7,0.6,0.6,0.45,0.7
95,0.65,0.5,0.4,0.5,0.5
96,0.85,0.4,0.3,0.25,0.5
97,0.95,0.45,0.25,0.15,0.55
98,0.65,0.3,0.4,0.15,0.55
99,0.65,0.3,0.5,0.1,0.5
