Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.6,0.6,0.7,0.6,0.6,0.7,0.45,0.55,0.45,0.4
1,0.6,0.45,0.65,0.65,0.5,0.45,0.45,0.25,0.5,0.15
2,0.8,0.5,0.45,0.6,0.6,0.55,0.35,0.3,0.75,0.3
3,0.85,0.15,0.45,0.35,0.8,0.45,0.45,0.45,0.9,0.4
4,0.75,0.35,0.35,0.3,0.7,0.45,0.4,0.55,0.8,0.4
5,0.55,0.3,0.55,0.45,0.8,0.35,0.45,0.85,0.9,0.35
6,0.55,0.35,0.45,0.1,0.65,0.1,0.1,0.65,0.9,0.1
7,0.6,0.2,0.6,0.3,0.7,0.35,0.15,0.5,0.8,0.1
8,0.6,0.55,0.45,0.2,0.65,0.45,0.15,0.4,0.65,0.05
9,0.55,0.35,0.4,0.25,0.8,0.4,0.15,0.7,0.8,0.1
10,0.65,0.25,0.25,0.25,0.75,0.6,0.25,0.8,0.7,0.1
11,0.5,0.25,0.2,0.55,0.55,0.4,0.1,0.65,0.6,0.25
12,0.5,0.35,0.3,0.75,0.55,0.2,0.15,0.4,0.6,0.25
13,0.35,0.5,0.5,0.5,0.45,0.45,0.2,0.65,0.5,0.5
14,0.5,0.5,0.45,0.6,0.55,0.85,0.15,0.75,0.2,0.75
15,0.5,0.65,0.4,0.6,0.5,0.55,0.1,0.9,0.45,0.8
16,0.75,0.6,0.45,0.7,0.3,0.55,0.05,0.85,0.45,0.85
17,0.4,0.75,0.25,0.85,0.55,0.7,0.05,0.75,0.35,0.75
18,0.3,0.7,0.3,0.85,0.65,0.6,0.1,0.9,0.55,0.6
19,0.2,0.8,0.4,0.7,0.8,0.6,0.2,0.6,0.25,0.45
20,0.4,0.3,0.25,0.7,0.75,0.45,0.1,0.65,0.25,0.75
21,0.4,0.15,0.2,0.85,0.5,0.55,0.15,0.45,0.45,0.4
22,0.35,0.05,0.35,0.65,0.5,0.6,0.2,0.3,0.35,0.35
23,0.4,0.35,0.05,0.5,0.4,0.55,0.15,0.5,0.35,0.35
24,0.5,0.25,0.15,0.3,0.55,0.35,0.3,0.8,0.3,0.5
25,0.6,0.6,0.2,0.35,0.7,0.4,0.2,0.85,0.35,0.55
26,0.25,0.3,0.1,0.4,0.7,0.25,0.1,0.85,0.2,0.75
27,0.45,0.25,0.15,0.65,0.7,0.4,0.0,0.75,0.25,0.6
28,0.5,0.15,0.2,0.8,0.75,0.3,0.05,0.85,0.25,0.6
