Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.55,0.55,0.7,0.5,0.45,0.45,0.35,0.55,0.35,0.45
1,0.6,0.55,0.65,0.65,0.65,0.45,0.35,0.65,0.5,0.5
2,0.6,0.6,0.6,0.75,0.6,0.15,0.15,0.75,0.85,0.65
3,0.6,0.5,0.6,0.85,0.55,0.15,0.05,0.55,0.75,0.65
4,0.6,0.3,0.55,0.75,0.8,0.15,0.1,0.3,0.8,0.8
5,1.0,0.15,0.4,0.55,0.95,0.25,0.3,0.3,0.75,0.95
6,0.85,0.4,0.3,0.45,0.8,0.2,0.35,0.65,0.6,0.95
7,0.8,0.15,0.4,0.25,0.85,0.3,0.35,0.65,0.65,0.85
8,0.8,0.2,0.25,0.15,0.8,0.55,0.5,0.45,0.55,0.8
9,0.7,0.35,0.6,0.25,0.4,0.55,0.15,0.45,0.5,0.55
10,0.65,0.55,0.7,0.3,0.55,0.6,0.5,0.4,0.7,0.5
11,0.85,0.5,0.55,0.25,0.5,0.6,0.35,0.3,0.8,0.4
12,0.8,0.15,0.6,0.1,0.55,0.65,0.35,0.15,0.95,0.45
13,0.95,0.2,0.9,0.05,0.35,0.55,0.35,0.35,0.55,0.55
14,0.75,0.4,0.7,0.2,0.4,0.45,0.45,0.25,0.6,0.65
15,0.85,0.4,0.6,0.3,0.5,0.8,0.35,0.5,0.65,0.7
16,0.9,0.2,0.45,0.35,0.55,0.75,0.55,0.3,0.75,0.55
17,0.85,0.1,0.35,0.3,0.75,0.55,0.5,0.3,0.65,0.25
18,0.8,0.2,0.35,0.4,0.6,0.6,0.35,0.3,0.65,0.15
19,0.8,0.2,0.35,0.3,0.65,0.45,0.35,0.15,0.6,0.35
20,0.7,0.3,0.35,0.3,0.5,0.55,0.35,0.1,0.6,0.2
21,0.85,0.35,0.4,0.5,0.5,0.5,0.3,0.25,0.5,0.15
22,1.0,0.55,0.55,0.6,0.3,0.6,0.2,0.35,0.65,0.2
23,0.95,0.6,0.7,0.7,0.6,0.6,0.2,0.3,0.7,0.35
24,0.8,0.5,0.55,0.85,0.7,0.45,0.25,0.35,0.65,0.35
25,0.65,0.45,0.75,0.8,0.75,0.55,0.35,0.4,0.85,0.55
26,0.75,0.4,0.8,1.0,0.6,0.4,0.5,0.45,0.85,0.4
27,0.9,0.45,0.65,0.9,0.45,0.45,0.55,0.45,0.75,0.3
28,0.9,0.7,0.7,0.85,0.55,0.3,0.7,0.55,0.9,0.15
29,0.95,0.9,0.65,0.8,0.65,0.35,0.65,0.75,0.85,0.35
30,0.8,0.9,0.6,0.65,0.7,0.5,0.4,0.5,0.95,0.2
31,0.65,0.85,0.75,0.6,0.75,0.3,0.5,0.4,0.95,0.2
32,0.9,0.75,0.6,0.65,0.75,0.3,0.3,0.55,0.9,0.4
33,0.85,0.65,0.6,0.65,0.8,0.45,0.35,0.65,0.8,0.2
34,0.85,0.55,0.65,0.65,0.95,0.4,0.55,0.45,0.95,0.05
35,0.6,0.8,0.7,0.7,0.8,0.5,0.35,0.3,0.75,0.15
36,0.45,0.8,0.75,0.7,0.7,0.5,0.3,0.4,0.6,0.0
37,0.75,0.85,0.95,0.55,0.5,0.25,0.3,0.2,0.4,0.15
38,0.85,0.8,1.0,0.35,0.55,0.15,0.15,0.2,0.25,0.15
39,0.85,0.65,0.9,0.5,0.45,0.05,0.15,0.25,0.35,0.4
40,0.6,0.85,0.8,0.45,0.6,0.05,0.2,0.1,0.6,0.2
41,0.75,0.8,0.75,0.5,0.5,0.05,0.2,0.1,0.45,0.3
42,0.75,0.7,0.8,0.4,0.8,0.1,0.3,0.15,0.5,0.15
43,0.75,0.75,0.75,0.55,0.75,0.1,0.4,0.1,0.4,0.05
44,0.85,0.6,0.85,0.7,0.8,0.15,0.65,0.1,0.65,0.15
45,0.75,0.6,0.9,0.45,0.7,0.2,0.65,0.15,0.9,0.25
46,0.85,0.45,0.95,0.35,0.6,0.3,0.6,0.35,0.8,0.35
47,0.85,0.25,0.85,0.3,0.5,0.35,0.85,0.4,0.7,0.45
48,0.9,0.3,0.9,0.25,0.5,0.35,0.7,0.4,0.7,0.35
49,0.6,0.25,0.65,0.05,0.55,0.7,0.7,0.3,0.65,0.35
50,0.65,0.4,0.6,0.15,0.5,0.45,0.55,0.35,0.85,0.15
51,0.75,0.4,0.6,0.3,0.4,0.5,0.45,0.45,0.9,0.25
52,0.75,0.45,0.6,0.25,0.5,0.35,0.35,0.25,0.75,0.5
53,0.7,0.4,0.45,0.3,0.6,0.5,0.15,0.25,0.65,0.4
54,0.75,0.6,0.55,0.15,0.25,0.5,0.1,0.2,0.7,0.75
55,0.75,0.6,0.85,0.05,0.1,0.6,0.25,0.2,0.65,0.85
56,0.7,0.6,0.8,0.3,0.0,0.5,0.4,0.15,0.75,0.7
57,0.55,0.5,0.6,0.45,0.15,0.25,0.25,0.2,0.75,1.0
58,0.5,0.6,0.7,0.25,0.25,0.35,0.1,0.25,0.5,0.85
59,0.4,0.5,0.6,0.3,0.1,0.5,0.15,0.2,0.55,0.8
60,0.35,0.4,0.25,0.7,0.1,0.4,0.35,0.25,0.55,0.75
61,0.4,0.3,0.4,0.85,0.15,0.25,0.3,0.4,0.4,0.35
62,0.4,0.35,0.2,0.8,0.15,0.5,0.35,0.15,0.3,0.4
63,0.4,0.2,0.15,0.75,0.2,0.45,0.35,0.35,0.1,0.15
64,0.5,0.2,0.15,0.75,0.3,0.3,0.3,0.5,0.1,0.2
65,0.5,0.3,0.15,0.8,0.3,0.3,0.2,0.3,0.15,0.25
66,0.25,0.4,0.3,0.8,0.35,0.3,0.1,0.55,0.5,0.2
67,0.4,0.35,0.35,0.7,0.35,0.25,0.2,0.6,0.6,0.05
68,0.65,0.6,0.35,0.6,0.45,0.3,0.35,0.9,0.6,0.2
69,0.75,0.35,0.1,0.25,0.15,0.1,0.5,0.5,0.4,0.25
70,0.7,0.6,0.15,0.45,0.25,0.1,0.5,0.6,0.5,0.3
71,0.6,0.6,0.15,0.45,0.45,0.2,0.45,0.75,0.8,0.25
72,0.75,0.75,0.15,0.25,0.15,0.35,0.65,0.7,0.65,0.55
73,0.7,0.55,0.25,0.15,0.1,0.35,0.65,0.65,0.7,0.2
74,0.9,0.5,0.35,0.25,0.0,0.3,0.45,0.6,0.6,0.2
75,0.85,0.4,0.3,0.1,0.05,0.5,0.35,0.45,0.25,0.35
76,0.75,0.35,0.3,0.05,0.1,0.25,0.5,0.4,0.2,0.15
77,0.8,0.4,0.35,0.15,0.05,0.4,0.3,0.55,0.35,0.05
78,0.55,0.5,0.3,0.25,0.2,0.45,0.2,0.3,0.45,0.3
79,0.45,0.4,0.4,0.3,0.15,0.65,0.3,0.4,0.45,0.35
80,0.55,0.2,0.25,0.25,0.3,0.6,0.35,0.15,0.3,0.2
81,0.65,0.15,0.3,0.3,0.15,0.35,0.15,0.25,0.5,0.3
82,0.55,0.35,0.5,0.25,0.1,0.25,0.3,0.25,0.6,0.45
83,0.5,0.25,0.55,0.15,0.3,0.15,0.15,0.2,0.5,0.6
84,0.55,0.05,0.45,0.1,0.35,0.05,0.35,0.05,0.5,0.4
85,0.6,0.05,0.5,0.2,0.25,0.25,0.55,0.15,0.45,0.5
86,0.2,0.05,0.3,0.3,0.25,0.35,0.4,0.3,0.25,0.3
87,0.15,0.1,0.45,0.05,0.2,0.3,0.3,0.45,0.15,0.2
88,0.3,0.2,0.55,0.1,0.3,0.1,0.3,0.6,0.3,0.2
89,0.2,0.25,0.55,0.0,0.45,0.05,0.3,0.7,0.45,0.2
90,0.2,0.4,0.55,0.0,0.4,0.05,0.4,0.55,0.35,0.2
91,0.35,0.55,0.7,0.1,0.4,0.1,0.6,0.8,0.4,0.55
92,0.7,0.5,0.5,0.1,0.6,0.1,0.25,0.6,0.35,0.45
93,0.7,0.5,0.7,0.0,0.65,0.1,0.35,0.6,0.35,0.45
94,0.5,0.75,0.55,0.15,0.4,0.1,0.5,0.8,0.2,0.55
95,0.7,0.7,0.35,0.15,0.55,0.1,0.3,0.65,0.3,0.5
96,0.65,0.4,0.3,0.05,0.25,0.1,0.6,0.5,0.45,0.3
97,0.65,0.3,0.3,0.25,0.3,0.1,0.55,0.35,0.6,0.15
98,0.6,0.2,0.25,0.25,0.3,0.2,0.8,0.25,0.8,0.15
99,0.6,0.5,0.1,0.15,0.2,0.2,0.95,0.05,0.8,0.2
