Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.65,0.55,0.45,0.5,0.6,0.45,0.5,0.5,0.5,0.45,0.4,0.45,0.4,0.55,0.4,0.7,0.45,0.5,0.55,0.35
1,0.45,0.55,0.3,0.45,0.75,0.3,0.75,0.65,0.45,0.35,0.25,0.4,0.65,0.45,0.15,0.8,0.45,0.25,0.4,0.5
2,0.65,0.55,0.35,0.35,0.75,0.35,0.85,0.55,0.35,0.3,0.25,0.35,0.75,0.55,0.1,0.95,0.55,0.1,0.3,0.45
3,0.85,0.45,0.35,0.5,0.95,0.45,0.8,0.35,0.2,0.4,0.15,0.5,0.65,0.75,0.4,0.75,0.6,0.0,0.3,0.35
4,0.65,0.3,0.3,0.6,0.95,0.4,0.65,0.6,0.45,0.55,0.35,0.6,0.75,0.5,0.3,0.6,0.5,0.0,0.25,0.25
5,0.9,0.65,0.0,0.35,0.95,0.8,0.9,0.75,0.2,0.2,0.1,0.4,0.95,0.55,0.2,0.3,0.55,0.0,0.15,0.2
6,0.8,0.75,0.05,0.3,0.85,0.9,0.9,0.9,0.1,0.2,0.1,0.3,1.0,0.35,0.2,0.1,0.6,0.05,0.0,0.15
7,1.0,0.8,0.0,0.2,0.85,1.0,1.0,0.85,0.2,0.15,0.05,0.25,0.95,0.35,0.1,0.15,0.7,0.05,0.05,0.25
8,0.9,0.9,0.05,0.05,0.95,0.95,0.85,1.0,0.45,0.1,0.05,0.2,0.85,0.55,0.15,0.05,0.45,0.1,0.15,0.25
9,0.95,0.8,0.1,0.0,0.85,0.9,0.9,0.95,0.2,0.2,0.05,0.1,0.7,0.55,0.15,0.05,0.55,0.2,0.05,0.25
10,0.85,0.95,0.2,0.05,0.9,1.0,0.9,0.8,0.3,0.3,0.05,0.0,0.7,0.6,0.0,0.0,0.3,0.4,0.0,0.3
11,1.0,0.85,0.2,0.05,0.9,0.9,0.95,0.8,0.25,0.2,0.1,0.05,0.8,0.5,0.0,0.05,0.4,0.6,0.1,0.2
12,1.0,1.0,0.35,0.05,0.9,0.75,0.9,0.7,0.6,0.3,0.2,0.2,0.8,0.7,0.0,0.15,0.05,0.55,0.25,0.35
13,0.9,0.85,0.65,0.1,0.75,0.8,0.8,0.35,0.75,0.7,0.3,0.05,0.9,1.0,0.05,0.25,0.25,0.7,0.45,0.55
14,0.85,0.9,0.5,0.1,0.9,0.7,0.9,0.5,0.6,0.35,0.5,0.3,0.75,1.0,0.1,0.4,0.05,0.55,0.3,0.25
15,0.8,0.85,0.35,0.35,1.0,0.5,0.9,0.8,0.35,0.25,0.65,0.25,0.75,1.0,0.15,0.3,0.1,0.3,0.15,0.0
16,0.6,0.85,0.3,0.15,0.9,0.55,0.75,0.55,0.4,0.1,0.6,0.4,0.3,0.95,0.3,0.3,0.05,0.4,0.4,0.05
17,0.6,0.9,0.15,0.1,0.95,0.7,0.8,0.3,0.35,0.1,0.55,0.15,0.3,1.0,0.25,0.15,0.1,0.3,0.6,0.2
18,0.7,0.9,0.1,0.1,0.95,0.75,0.85,0.3,0.45,0.05,0.55,0.15,0.45,0.95,0.35,0.1,0.15,0.3,0.55,0.1
19,0.7,0.8,0.2,0.15,1.0,0.6,0.75,0.55,0.5,0.15,0.55,0.35,0.55,0.9,0.35,0.15,0.2,0.45,0.5,0.1
20,0.6,0.75,0.4,0.15,0.95,0.8,0.7,0.5,0.5,0.05,0.55,0.55,0.5,0.9,0.2,0.2,0.2,0.55,0.4,0.35
21,0.7,0.65,0.45,0.15,0.95,0.7,0.7,0.65,0.5,0.1,0.65,0.65,0.5,0.85,0.3,0.15,0.15,0.5,0.45,0.35
22,0.65,0.55,0.45,0.25,1.0,0.6,0.6,0.75,0.6,0.25,0.6,0.85,0.5,0.9,0.4,0.2,0.05,0.55,0.3,0.6
23,0.7,0.55,0.5,0.35,0.85,0.6,0.7,0.8,0.45,0.3,0.65,0.8,0.55,0.75,0.4,0.4,0.0,0.7,0.35,0.4
24,0.55,0.75,0.3,0.35,0.7,0.95,0.85,0.6,0.3,0.3,0.75,0.7,0.8,0.7,0.2,0.5,0.05,0.8,0.8,0.55
25,0.7,0.55,0.1,0.0,0.35,0.85,0.85,0.2,0.2,0.1,0.65,0.65,0.85,0.4,0.25,0.75,0.05,0.6,0.9,0.35
