Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.35,0.3,0.7,0.55,0.7,0.6,0.25,0.4,0.35,0.6,0.4,0.45,0.5,0.5,0.45,0.65,0.55,0.35,0.65,0.35
1,0.4,0.35,0.55,0.5,0.75,0.65,0.45,0.6,0.35,0.6,0.5,0.45,0.45,0.35,0.55,0.4,0.7,0.25,0.4,0.55
2,0.4,0.2,0.55,0.8,0.7,0.5,0.45,0.4,0.3,0.6,0.55,0.55,0.5,0.25,0.7,0.5,0.65,0.35,0.45,0.5
3,0.85,0.1,0.75,0.7,0.85,0.4,0.2,0.3,0.3,0.65,0.5,0.5,0.4,0.1,0.55,0.35,0.35,0.4,0.3,0.3
4,0.9,0.2,0.85,0.65,0.85,0.5,0.05,0.35,0.4,0.6,0.25,0.5,0.45,0.1,0.55,0.35,0.4,0.35,0.45,0.3
5,0.95,0.25,0.75,0.8,0.85,0.5,0.15,0.25,0.2,0.9,0.3,0.35,0.25,0.05,0.45,0.35,0.6,0.45,0.55,0.55
6,1.0,0.2,0.65,0.9,0.85,0.5,0.15,0.25,0.1,0.9,0.3,0.55,0.1,0.0,0.35,0.25,0.55,0.3,0.6,0.55
7,1.0,0.05,0.7,1.0,0.95,0.55,0.15,0.05,0.05,0.6,0.3,0.4,0.05,0.0,0.3,0.1,0.7,0.2,0.65,0.65
8,0.95,0.0,0.75,1.0,1.0,0.45,0.3,0.0,0.1,0.55,0.45,0.4,0.15,0.0,0.4,0.0,0.45,0.15,0.4,0.4
9,1.0,0.2,0.7,0.95,0.95,0.55,0.4,0.15,0.05,0.35,0.3,0.6,0.2,0.1,0.2,0.0,0.65,0.1,0.7,0.4
10,0.9,0.2,0.85,0.95,0.9,0.45,0.4,0.2,0.35,0.7,0.35,0.6,0.3,0.1,0.3,0.0,0.55,0.05,0.55,0.3
11,0.9,0.1,0.8,1.0,1.0,0.35,0.1,0.4,0.05,0.4,0.35,0.75,0.0,0.05,0.2,0.05,0.75,0.1,0.8,0.25
12,0.9,0.05,0.9,1.0,0.95,0.35,0.1,0.35,0.1,0.35,0.2,0.9,0.1,0.05,0.0,0.1,0.8,0.35,1.0,0.5
13,0.9,0.05,0.7,1.0,0.9,0.3,0.15,0.5,0.3,0.15,0.3,0.7,0.1,0.1,0.1,0.15,0.8,0.45,0.95,0.55
14,0.9,0.15,0.5,0.95,0.75,0.4,0.25,0.5,0.3,0.15,0.5,0.65,0.15,0.1,0.45,0.1,0.85,0.5,0.85,0.55
