Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0.9912170340996368,4.92599920610901,10.2352587263867,2.11762823063411,70019,4,6,1.1271340539194332,1.7301868458977523,3.320618754969032,9.9771837648418,2.2433030513090264,77457,4,6
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.9600826731742896,5.79812982732593,9.93388871637989,2.18591042661314,77715,5,5,1.0964299463514566,2.022135371326044,2.8910819116874347,10.20440480400868,2.2219324698983005,16738,5,5
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.9811202505090677,5.24744728398596,10.11281309813,2.24289354971438,15939,3,7,1.179880797888264,1.6897936082957208,3.597375669933881,10.138097722745146,2.19891203360658,99842,3,7
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0.9811988761881801,5.42145165389404,9.98391868226384,2.19380708192144,88499,4,6,1.1435777032721923,1.6626349532613949,3.461856360463411,10.028171572254696,2.227764360524513,66523,4,6
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0.9719327935724599,5.20303174306679,9.94676547348871,2.22662350489554,73887,4,6,1.1571767225906682,1.8210871654250609,3.364342776408095,10.097816827985149,2.196624732996152,85867,4,6
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.981697570591662,5.70277533875137,10.1339671863962,2.32260877543208,75199,4,6,1.1560871938886228,1.6564424797882256,3.524105169959565,10.109851221170477,2.196985939022666,49937,4,6
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0.9985561671615856,5.79607506609349,10.0894459096956,2.19660377948925,12624,5,5,1.0950968750762429,1.960355396679722,2.9468882545019524,10.146102826342442,2.132842236148068,97771,5,5
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0.9863915296792837,6.04993098417328,10.2153078157454,2.22179608213899,53104,5,5,1.0837418628973166,1.840304225423025,3.016056428379767,10.17336737759241,2.241165955484233,4656,5,5
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.9597358191955792,4.7814568747204,10.0507568523517,2.22711308949286,29166,2,8,1.2062500214883023,1.6575212057418451,3.747811321824824,9.952072938461908,2.154965336064429,85370,2,8
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.9783879580706042,5.38507562304359,10.1762575054046,2.15764340597665,24531,3,7,1.1889599516710705,1.6314871298547504,3.6963667862117338,10.277434815387888,2.164204005307261,89452,3,7
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0.9630636725589488,5.10646397021739,10.0683505474861,2.21339116602457,38270,3,7,1.1596373990136375,1.733737951156813,3.462718539129774,9.862451200033732,2.1495351292841653,78705,3,7
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.9443054539760091,4.61040376283617,9.88718722408954,2.21923127528786,57152,3,7,1.1869990933226104,1.545801920243299,3.77326518444572,10.144923288195503,2.0674708165766,78980,3,7
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0.9914647899287111,5.89279701433831,10.0576935973787,2.18053278889516,76411,5,5,1.0614697929033206,1.8178965050896383,2.9386606732725884,9.973919378594822,2.0956624216161983,40022,5,5
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.9681402702711852,4.91289489335049,10.0899159533682,2.31597916129603,39051,3,7,1.171255159725605,1.668587575181836,3.5799293161453267,9.976404123114165,2.164920898799468,13860,3,7
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0.9758002909408195,4.94680758077547,10.0508369062026,2.2947952348099,6984,4,6,1.1654779904448935,1.7381200266947483,3.484508764757598,10.106051439618996,2.049838804989008,77415,4,6
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0.9993937291996128,5.65337455641515,10.1625010619996,2.28044537141987,28065,4,6,1.1435475345707449,1.598828585611282,3.525527539006504,10.216631728859946,2.291571270853759,38212,4,6
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0.9722522869944036,4.82594644433622,10.0279895537225,2.18965474175956,14949,3,7,1.1804779311970675,1.6803129357353292,3.60953215931489,10.22656329882286,2.1611537479875245,37874,3,7
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0.9925832797237791,5.34152913948155,10.034125774272,2.16812651642779,48269,4,6,1.1679216005556856,1.7625520181204597,3.4710268458552087,10.116552511515067,2.205602119508613,74687,4,6
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0.9893240678291412,6.13720983713698,10.009032487629,2.16845119586569,17256,5,5,1.0615307141978472,1.8711073147738733,2.885722858281875,10.163918764217966,2.142414303253232,40656,5,5
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0.9861332059927604,4.99124530810701,10.0619052281672,2.08025003703078,20373,4,6,1.154895090474234,1.7390310476575257,3.436174661988936,10.203901826232016,2.178435827995385,28347,4,6
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0.9756055124281557,5.15022404395981,10.0182701668669,2.20066685936675,24573,4,6,1.1309593703914118,1.7708043180965858,3.2971429260331027,10.083446469659057,2.212775548165137,20410,4,6
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0.9892716035259922,6.40187230038136,10.0365572266535,2.17054941650361,83943,6,4,1.0174808868996024,1.8812572811726236,2.678181007872944,10.143509792360728,2.1795619159856194,43101,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9639876649630196,6.44571964540801,10.0216523636889,2.17228131575919,29321,6,4,1.0200405647361053,1.98635309551356,2.584555377675648,10.318098629640811,2.25195357317852,33329,6,4
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0.9647175654079668,4.84017762644635,10.2878587522641,2.1333137532369,17494,3,7,1.1800057959457513,1.6226249898247342,3.665104417776044,10.079179697438075,2.2092978835406183,28088,3,7
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0.9951687218007104,5.96871963344398,10.0564720423377,2.35379731231236,14170,5,5,1.0923756408439602,1.778745033915227,3.1163044820135117,10.104865041732598,2.174049528278289,67645,5,5
"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0.9981629976889766,5.17659726167872,10.119550588625,2.14230279611594,15504,4,6,1.1395328673508311,1.762386777856582,3.3439792029895337,10.201739509425831,2.160867858103279,5631,4,6
"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0.9899854536306921,4.90256393283871,10.0885195447979,2.23906148831035,71831,4,6,1.136536568780603,1.735865642058256,3.357073611463144,10.01007093519792,2.116951848644843,37199,4,6
"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1]",0.9585636208262857,5.95311243210688,10.0703554070169,2.18942732579767,46808,5,5,1.0809366449292455,1.7591243460609098,3.0846658325836547,10.085772039844898,2.1574095116024243,41368,5,5
"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0.9612834663998652,5.68749067662369,9.89939506262664,2.2499806785563,35992,5,5,1.1013366127742952,1.8038930236344408,3.131311544887696,10.101125921793818,2.071136242211321,54720,5,5
