Generation,Ave_Fitness,Std_Fitness,Ave_Threshold,Std_Threhold
0,10.066701493859247,2.730615048240034,9.94902071874166,0.9145281907826973
1,12.518362845108227,2.711511720874928,10.412411152347907,0.8265333310170487
2,12.069461782558726,4.069689590107789,10.726023881433575,0.8919558652520879
3,12.736685467528078,3.779798956839203,11.173521181551994,0.7885554148948044
4,11.059478963758536,5.358885576969532,11.279057300190123,0.6583454907409888
5,11.386149033244182,5.556130939316981,11.444793475449526,0.6518055101634707
6,12.213924597556188,4.767091087801666,11.65920754580706,0.6090081654329165
7,11.536306786740386,5.206200128403157,11.732111137423399,0.5486731771492059
8,12.10174172227371,5.381766988798115,11.858832857767618,0.5092807625213032
9,12.294138770204531,4.970595507288693,11.980274134436026,0.49479188934348034
10,11.31733040348085,5.616300400115075,12.07513926199569,0.4194907324874775
11,11.196071840513046,5.935416559623362,12.062012205267452,0.39760918925026706
12,11.537702438319773,5.759306268114035,12.105840222100339,0.36895667110359875
13,10.59457291480159,6.2246468903278815,12.107845207974762,0.45201976853454934
14,12.017881065333379,5.426821451893822,12.128743389606209,0.4476083844849632
15,10.501975964334909,6.312996461574748,12.197768881855257,0.42103303048077645
16,9.15306995257336,6.971799265497359,12.24536789633758,0.5260662033950149
17,10.854155444425807,6.395346939305303,12.281970841829605,0.3775134843261041
18,10.255594027344852,6.681350207178576,12.237096851998468,0.38610316709804526
19,10.546827325675649,6.5748702300603465,12.268540752961824,0.4075623226446373
20,12.107280321541996,6.277934274537484,12.343244242183639,0.4106208246970628
21,11.68463256251694,6.042635565123839,12.379484191302172,0.3463234095104812
22,11.222506851351216,6.117102218252714,12.423810925202151,0.36643496933237807
23,11.103822711284142,6.243418955691806,12.454792196650201,0.35128527543554156
24,10.66078018731914,7.032563862930838,12.559576471975479,0.3140316433294982
25,11.871902508322526,6.113215391614334,12.557243028527077,0.3138432285543524
26,11.040759773035576,6.531354890659696,12.57527496584591,0.33644364385471304
27,11.500926293303042,6.0995904790794055,12.524595692550163,0.32219424680749764
28,10.45812714711258,6.98433339724879,12.567453862002088,0.30079027001313535
29,11.333244041497062,6.339254225690319,12.564615040195173,0.3058653689997092
30,10.273149781962443,7.012134820079136,12.657479454246861,0.32285632612182086
31,11.217318074438277,6.502655692225354,12.651679829503045,0.24416418462100548
32,10.88565077645202,6.7506008806697535,12.742464076570304,0.2928419456502145
33,11.336928235126354,6.564691554142039,12.715270822924065,0.3193703137979911
34,10.6612291242643,6.914717851981397,12.700717951826535,0.34376109226558177
35,9.967111725006005,7.097020742410436,12.657414990234349,0.36539933592128065
36,10.151260072299987,6.9099137216915425,12.665885239902932,0.3237184596859005
37,11.07662535660396,6.334606751845442,12.695642682438686,0.30506652009399216
38,10.74892870020073,7.173229608632007,12.724664419573168,0.31339876330169364
39,11.217554176400652,6.426226504027219,12.744525844567113,0.350841680095603
40,10.574934992581687,6.540381747374094,12.81239131357524,0.3788225472865155
41,11.589360696339208,6.675133786235339,12.854532677067905,0.36326829785024034
42,10.019620217191754,7.166158076553145,12.903128454128883,0.3773480702541188
43,10.400789080677804,7.33127555509892,12.980143942434184,0.39427448547063426
44,11.189439614781643,6.824641955979406,12.962380018753905,0.4103231983394598
45,9.999639001087706,7.281222883837087,13.01945071883492,0.4072159070652451
46,10.152098025138747,7.0648462766715,13.005456116445636,0.39929263589577346
47,10.097240847960274,7.3574815892104946,13.072828761380686,0.4085541588825512
48,8.593050925734804,7.700532149757167,13.228096754690712,0.38076800829591556
49,9.745839022309314,7.4336567526900215,13.160849584580149,0.4102246650033575
50,9.52328334067429,7.549014574927079,13.190024446539894,0.44088140601591047
51,9.769996660174966,7.427330161847744,13.305637150480216,0.3820246718223353
52,9.80983452680535,7.103731556888054,13.36822379949701,0.33540548279493243
53,8.840605833187468,7.609459208489909,13.31134501065388,0.33585120175656386
54,8.782734988962561,7.73777473239327,13.265427085267754,0.36110865412742055
55,9.894583955630207,7.239258395214527,13.182438597625174,0.40510361135893225
56,10.21373552850391,7.278088073217077,13.15086792777525,0.40969328773538377
57,8.766505547870628,7.585905747892702,13.18451616383392,0.4129250563021655
58,9.44422495108346,7.351090342696798,13.181199327531097,0.42207650628099713
59,10.667576716061326,6.912194963819864,13.076524719956842,0.4063792522576448
60,10.709645508404698,7.303797622299481,13.080380492295344,0.42252310721835207
